date,subways,buses,lirr,mnr,access_a_ride,bridges_tunnels,staten_island,crz_entries,cbd_entries,total_riders,captured_at
2026-04-13,3982381,1350682,255307,222790,44761,918865,7838,451628,513654,5863759,2026-04-27T23:06:53Z
2026-04-14,4446513,1434890,284780,250019,50417,942597,8694,471034,533601,6475313,2026-04-27T23:06:53Z
2026-04-15,4492475,1421217,280305,253123,51392,963179,8521,469541,529548,6507033,2026-04-27T23:06:53Z
2026-04-16,4498715,1404455,283310,250075,49769,989437,8578,474326,539425,6494902,2026-04-27T23:06:53Z
2026-04-17,4183581,1329582,265678,240167,47673,1008691,7185,470811,534271,6073866,2026-04-27T23:06:53Z
2026-04-18,3059598,930189,153460,150443,31586,971767,2856,460635,521966,4328132,2026-04-27T23:06:53Z
2026-04-19,2104723,641133,105273,98969,29257,851711,1684,,,2981039,2026-04-27T23:06:53Z
2026-04-20,4099601,1366554,262373,223303,44061,929617,7745,,,6003637,2026-04-27T23:06:53Z
2026-04-21,4441897,1418046,281884,246155,48934,927914,8459,,,6445375,2026-04-27T23:06:53Z
2026-04-22,4482641,1405029,282919,247815,49769,938516,8336,,,6476509,2026-04-27T23:06:53Z
2026-04-23,4576707,1433786,299239,256200,50202,992296,8595,,,6624729,2026-04-27T23:06:53Z
2026-04-24,4264645,1357299,279397,245042,47478,1014159,7257,,,6201118,2026-04-27T23:06:53Z
2026-04-25,2683046,751910,125261,111587,28666,880842,2358,,,3702828,2026-04-27T23:06:53Z
2026-04-26,2338441,683287,117184,112778,29409,893407,2186,,,3283285,2026-04-27T23:06:53Z
