ticker,list_name,list_date,reason
CVLG,sec_top_gappers,2026-03-07,no_next_trading_day
OESX,sec_top_gappers,2026-03-07,no_next_trading_day
AIOS,sec_top_gappers,2026-03-07,no_next_trading_day
SLVM,sec_top_gappers,2026-03-07,no_next_trading_day
COOTW,sec_top_gappers,2026-03-07,no_next_trading_day
LOB-PA,sec_top_gappers,2026-03-07,no_next_trading_day
PSTV,sec_top_gappers,2026-03-07,no_next_trading_day
CLDWW,sec_top_gappers,2026-03-07,no_price_data
BLBX,sec_top_gappers,2026-03-07,no_next_trading_day
VENU,sec_top_gappers,2026-03-07,no_next_trading_day
PPCB,sec_top_gappers,2026-03-07,no_next_trading_day
MMA,sec_top_gappers,2026-03-07,no_next_trading_day
TAPR,sec_top_gappers,2026-03-07,no_next_trading_day
GPN,sec_top_gappers,2026-03-07,no_next_trading_day
C-PR,sec_top_gappers,2026-03-07,no_next_trading_day
MMED,sec_top_gappers,2026-03-07,no_next_trading_day
HUM,sec_top_gappers,2026-03-07,no_next_trading_day
INGM,sec_top_gappers,2026-03-07,no_next_trading_day
JBIO,sec_top_gappers,2026-03-07,no_next_trading_day
DUKB,sec_top_gappers,2026-03-07,no_next_trading_day
TRNR,sec_top_gappers,2026-03-07,no_next_trading_day
MDLN,sec_top_gappers,2026-03-07,no_next_trading_day
VCIG,sec_top_gappers,2026-03-07,no_next_trading_day
ETN,sec_top_gappers,2026-03-07,no_next_trading_day
ACHR-WT,sec_top_gappers,2026-03-07,no_next_trading_day
BIOT,sec_top_gappers,2026-03-07,no_price_data
CTNM,sec_top_gappers,2026-03-07,no_next_trading_day
AMPH,sec_top_gappers,2026-03-07,no_next_trading_day
MYI,sec_top_gappers,2026-03-07,no_next_trading_day
TDBCP,sec_top_gappers,2026-03-07,no_next_trading_day
MVF,sec_top_gappers,2026-03-07,no_price_data
ASPI,sec_top_gappers,2026-03-07,no_next_trading_day
LAWIL,sec_top_gappers,2026-03-07,no_next_trading_day
CRSF,sec_top_gappers,2026-03-07,no_next_trading_day
BFRIW,sec_top_gappers,2026-03-07,no_next_trading_day
BYFC,sec_top_gappers,2026-03-07,no_next_trading_day
KDOZF,sec_top_gappers,2026-03-07,no_next_trading_day
INAI,sec_top_gappers,2026-03-07,no_price_data
PLAI,sec_top_gappers,2026-03-07,no_price_data
IBIO,sec_top_gappers,2026-03-07,no_next_trading_day
ALZN,sec_top_gappers,2026-03-07,no_next_trading_day
FIS,sec_top_gappers,2026-03-07,no_next_trading_day
STEM,sec_top_gappers,2026-03-07,no_next_trading_day
SOPH,sec_top_gappers,2026-03-07,no_next_trading_day
GLED-UN,sec_top_gappers,2026-03-07,no_next_trading_day
GREEL,sec_top_value,2026-03-07,no_next_trading_day
BFRIW,sec_top_value,2026-03-07,no_next_trading_day
CRMD,sec_top_value,2026-03-07,no_next_trading_day
DSX-WT,sec_top_value,2026-03-07,no_next_trading_day
YPF,sec_top_value,2026-03-07,no_next_trading_day
MYI,sec_top_value,2026-03-07,no_next_trading_day
TDBCP,sec_top_value,2026-03-07,no_next_trading_day
AMPH,sec_top_value,2026-03-07,no_next_trading_day
ASPI,sec_top_value,2026-03-07,no_next_trading_day
LAWIL,sec_top_value,2026-03-07,no_next_trading_day
CRSF,sec_top_value,2026-03-07,no_next_trading_day
MVF,sec_top_value,2026-03-07,no_price_data
