kind,ticker,cik,company,file_date,accession_id,captured_at
settlement,CNP,0001130310,CENTERPOINT ENERGY INC,2026-03-19,0001130310-26-000021,2026-04-27T22:50:55Z
hsr_clearance,COLL,0001267565,"COLLEGIUM PHARMACEUTICAL, INC",2026-03-19,0001104659-26-032166,2026-04-27T22:50:55Z
class_action,PL,0001836833,Planet Labs PBC,2026-03-19,0001193125-26-115951,2026-04-27T22:50:55Z
settlement,EZRA,0001812727,"Reliance Global Group, Inc.",2026-03-17,0001493152-26-010622,2026-04-27T22:50:55Z
hsr_clearance,TFX,0000096943,TELEFLEX INC,2026-03-17,0000096943-26-000031,2026-04-27T22:50:55Z
settlement,ZVRA,0001434647,"ZEVRA THERAPEUTICS, INC.",2026-03-16,0001434647-26-000015,2026-04-27T22:50:55Z
settlement,VWAV,0002038439,"VisionWave Holdings, Inc.",2026-03-16,0001731122-26-000401,2026-04-27T22:50:55Z
settlement,IIPR,0001677576,INNOVATIVE INDUSTRIAL PROPERTIES INC,2026-03-16,0001104659-26-027927,2026-04-27T22:50:55Z
settlement,HE,0000354707,HAWAIIAN ELECTRIC INDUSTRIES INC,2026-03-16,0000354707-26-000012,2026-04-27T22:50:55Z
settlement,FENC,0001211583,FENNEC PHARMACEUTICALS INC.,2026-03-16,0001104659-26-028595,2026-04-27T22:50:55Z
settlement,DMLP,0001172358,"DORCHESTER MINERALS, L.P.",2026-03-16,0001437749-26-008396,2026-04-27T22:50:55Z
hsr_clearance,SR,0001126956,SPIRE INC,2026-03-16,0001193125-26-108363,2026-04-27T22:50:55Z
hsr_clearance,SNCY,0001743907,"Sun Country Airlines Holdings, Inc.",2026-03-16,0001193125-26-107418,2026-04-27T22:50:55Z
hsr_clearance,ALGT,0001362468,Allegiant Travel CO,2026-03-16,0001140361-26-009506,2026-04-27T22:50:55Z
settlement,PPL,0000922224,PPL Corp,2026-03-13,0000922224-26-000020,2026-04-27T22:50:55Z
settlement,PGNY,0001551306,"Progyny, Inc.",2026-03-13,0001551306-26-000040,2026-04-27T22:50:55Z
hsr_clearance,AVAH,0001832332,"Aveanna Healthcare Holdings, Inc.",2026-03-12,0001193125-26-103067,2026-04-27T22:50:55Z
settlement,ALV,0001034670,AUTOLIV INC,2026-03-11,0001193125-26-101158,2026-04-27T22:50:55Z
class_action,SFIX,0001576942,"Stitch Fix, Inc.",2026-03-11,0001628280-26-016819,2026-04-27T22:50:55Z
settlement,MSGM,0001821175,Motorsport Games Inc.,2026-03-10,0001493152-26-009535,2026-04-27T22:50:55Z
settlement,FLNT,0001460329,"Fluent, Inc.",2026-03-09,0001437749-26-007362,2026-04-27T22:50:55Z
hsr_clearance,TALK,0001803901,"Talkspace, Inc.",2026-03-09,0000950157-26-000267,2026-04-27T22:50:55Z
hsr_clearance,,,PRESIDIO PRODUCTION Co  (CIK 0002083125),2026-03-09,0001213900-26-025222,2026-04-27T22:50:55Z
class_action,JETBF,0001846084,Global Crossing Airlines Group Inc.,2026-03-09,0001193125-26-098353,2026-04-27T22:50:55Z
settlement,TUSK,0001679268,"MAMMOTH ENERGY SERVICES, INC.",2026-03-06,0001628280-26-015465,2026-04-27T22:50:55Z
settlement,HWNI,0001413891,"HIGH WIRE NETWORKS, INC.",2026-03-06,0001683168-26-001572,2026-04-27T22:50:55Z
hsr_clearance,DAWN,0001845337,"Day One Biopharmaceuticals, Inc.",2026-03-06,0001193125-26-095174,2026-04-27T22:50:55Z
settlement,TRNR,0001785056,"Interactive Strength, Inc.",2026-03-05,0001193125-26-094084,2026-04-27T22:50:55Z
settlement,MRNA,0001682852,"Moderna, Inc.",2026-03-05,0001682852-26-000047,2026-04-27T22:50:55Z
sec_investigation,FLYE,0001975940,"Fly-E Group, Inc.",2026-03-05,0001213900-26-024173,2026-04-27T22:50:55Z
class_action,COOK,0001857853,"Traeger, Inc.",2026-03-05,0001628280-26-015161,2026-04-27T22:50:55Z
settlement,NAGE,0001386570,"Niagen Bioscience, Inc.",2026-03-04,0001386570-26-000014,2026-04-27T22:50:55Z
settlement,MAIA,0001878313,"MAIA Biotechnology, Inc.",2026-03-04,0001493152-26-008897,2026-04-27T22:50:55Z
settlement,ABCP,0000020639,AmBase Corp,2026-03-04,0001140361-26-007783,2026-04-27T22:50:55Z
sec_investigation,FARM,0000034563,FARMER BROTHERS CO,2026-03-04,0001104659-26-023464,2026-04-27T22:50:55Z
hsr_clearance,ZD,0001084048,"ZIFF DAVIS, INC.",2026-03-04,0001193125-26-089778,2026-04-27T22:50:55Z
class_action,OCGN,0001372299,"Ocugen, Inc.",2026-03-04,0001104659-26-023290,2026-04-27T22:50:55Z
class_action,IPI,0001421461,"Intrepid Potash, Inc.",2026-03-04,0001421461-26-000005,2026-04-27T22:50:55Z
settlement,ROIV,0001635088,Roivant Sciences Ltd.,2026-03-03,0001140361-26-007548,2026-04-27T22:50:55Z
settlement,GTII,0000356590,"GLOBAL TECH INDUSTRIES GROUP, INC.",2026-03-03,0001493152-26-008699,2026-04-27T22:50:55Z
settlement,ABUS,0001447028,Arbutus Biopharma Corp,2026-03-03,0001171843-26-001299,2026-04-27T22:50:55Z
hsr_clearance,SEM,0001320414,SELECT MEDICAL HOLDINGS CORP,2026-03-03,0001104659-26-022577,2026-04-27T22:50:55Z
hsr_clearance,FOLD,0001178879,"AMICUS THERAPEUTICS, INC.",2026-03-03,0001140361-26-007544,2026-04-27T22:50:55Z
settlement,RLYB,0001739410,Rallybio Corp,2026-03-02,0001193125-26-084444,2026-04-27T22:50:55Z
settlement,NUCL,0002089283,Eagle Nuclear Energy Corp.,2026-03-02,0001104659-26-022330,2026-04-27T22:50:55Z
settlement,AWK,0001410636,"American Water Works Company, Inc.",2026-03-02,0001410636-26-000053,2026-04-27T22:50:55Z
sec_investigation,AES,0000874761,AES CORP,2026-03-02,0001193125-26-084157,2026-04-27T22:50:55Z
hsr_clearance,SEMR,0001831840,"SEMrush Holdings, Inc.",2026-03-02,0001628280-26-013251,2026-04-27T22:50:55Z
hsr_clearance,RLYB,0001739410,Rallybio Corp,2026-03-02,0001193125-26-084444,2026-04-27T22:50:55Z
hsr_clearance,PSKY,0002041610,Paramount Skydance Corp,2026-03-02,0001104659-26-021911,2026-04-27T22:50:55Z
hsr_clearance,LITE,0001633978,Lumentum Holdings Inc.,2026-03-02,0001193125-26-085412,2026-04-27T22:50:55Z
hsr_clearance,GYRE,0001124105,"GYRE THERAPEUTICS, INC.",2026-03-02,0001140361-26-007249,2026-04-27T22:50:55Z
hsr_clearance,EB,0001475115,"Eventbrite, Inc.",2026-03-02,0001140361-26-007198,2026-04-27T22:50:55Z
hsr_clearance,AES,0000874761,AES CORP,2026-03-02,0001193125-26-084157,2026-04-27T22:50:55Z
hsr_clearance,WBD,0001437107,"Warner Bros. Discovery, Inc.",2026-02-27,0001437107-26-000018,2026-04-27T22:50:55Z
hsr_clearance,TXNM,0001108426,TXNM ENERGY INC,2026-02-27,0001108426-26-000004,2026-04-27T22:50:55Z
hsr_clearance,KORE,0001855457,"KORE Group Holdings, Inc.",2026-02-27,0001104659-26-021030,2026-04-27T22:50:55Z
settlement,HTZ,0001657853,"HERTZ GLOBAL HOLDINGS, INC",2026-02-26,0001657853-26-000010,2026-04-27T22:50:55Z
hsr_clearance,TLN,0001622536,Talen Energy Corp,2026-02-26,0001622536-26-000014,2026-04-27T22:50:55Z
