month,direction,hs2,label,value_usd,mom_pct,yoy_pct,captured_at
2026-01,EXPORT,18,COCOA AND COCOA PREPARATIONS,203968341,-13.69,-12.73,2026-04-27T23:05:12Z
2026-01,EXPORT,17,SUGARS AND SUGAR CONFECTIONARY,194599370,-6.89,-13.79,2026-04-27T23:05:12Z
2026-01,EXPORT,91,CLOCKS AND WATCHES AND PARTS THEREOF,188977108,7.73,30.52,2026-04-27T23:05:12Z
2026-01,EXPORT,62,"APPAREL ARTICLES AND ACCESSORIES, NOT KNIT ET",187190113,-7.52,-3.81,2026-04-27T23:05:12Z
2026-01,EXPORT,56,"WADDING, FELT ETC; SP YARN; TWINE, ROPES ETC.",186995275,10.07,-2.91,2026-04-27T23:05:12Z
2026-01,EXPORT,96,MISCELLANEOUS MANUFACTURED ARTICLES,185603289,3.03,-8.95,2026-04-27T23:05:12Z
2026-01,EXPORT,63,TEXTILE ART NESOI; NEEDLECRAFT SETS; WORN TEX,181439331,-13.52,-16.39,2026-04-27T23:05:12Z
2026-01,EXPORT,69,CERAMIC PRODUCTS,154229385,-6.25,-6.05,2026-04-27T23:05:12Z
2026-01,EXPORT,89,"SHIPS, BOATS AND FLOATING STRUCTURES",141458061,-25.35,-38.54,2026-04-27T23:05:12Z
2026-01,EXPORT,59,IMPREGNATED ETC TEXT FABRICS; TEX ART FOR IND,137163350,3.50,-3.92,2026-04-27T23:05:12Z
2026-01,EXPORT,01,LIVE ANIMALS,129229654,-17.56,39.09,2026-04-27T23:05:12Z
2026-01,EXPORT,55,"MANMADE STAPLE FIBERS, INCL YARNS & WOVEN FAB",122275181,2.34,-29.97,2026-04-27T23:05:12Z
2026-01,EXPORT,24,TOBACCO & SUBS;PROD FOR INHAL W/O COMBUST;NIC,122114175,27.62,19.15,2026-04-27T23:05:12Z
2026-01,EXPORT,09,"COFFEE, TEA, MATE & SPICES",109942610,4.82,-8.02,2026-04-27T23:05:12Z
2026-01,EXPORT,54,"MANMADE FILAMENTS, INCLUDING YARNS & WOVEN FA",108581176,12.56,-5.27,2026-04-27T23:05:12Z
2026-01,EXPORT,05,"PRODUCTS OF ANIMAL ORIGIN, NESOI",108160656,-7.52,2.18,2026-04-27T23:05:12Z
2026-01,EXPORT,42,LEATHER ART; SADDLERY ETC; HANDBAGS ETC; GUT ,95659453,-11.13,-12.27,2026-04-27T23:05:12Z
2026-01,EXPORT,11,MILLING PRODUCTS; MALT; STARCH; INULIN; WHT G,95618938,12.98,-11.56,2026-04-27T23:05:12Z
2026-01,EXPORT,64,"FOOTWEAR, GAITERS ETC. AND PARTS THEREOF",93280071,-5.31,0.17,2026-04-27T23:05:12Z
2026-01,EXPORT,41,RAW HIDES AND SKINS (NO FURSKINS) AND LEATHER,86035258,-2.41,-17.48,2026-04-27T23:05:12Z
2026-01,EXPORT,36,EXPLOSIVES; PYROTECHNICS; MATCHES; PYRO ALLOY,73667735,-21.67,-11.06,2026-04-27T23:05:12Z
2026-01,EXPORT,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES TH,58456713,-5.51,3.37,2026-04-27T23:05:12Z
2026-01,EXPORT,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS,51598966,-7.65,-11.90,2026-04-27T23:05:12Z
2026-01,EXPORT,60,KNITTED OR CROCHETED FABRICS,50256046,11.81,-9.59,2026-04-27T23:05:12Z
2026-01,EXPORT,65,HEADGEAR AND PARTS THEREOF,49756880,19.73,0.26,2026-04-27T23:05:12Z
2026-01,EXPORT,13,"LAC; GUMS, RESINS & OTHER VEGETABLE SAP & EXT",43643293,7.43,-17.69,2026-04-27T23:05:12Z
2026-01,EXPORT,58,SPEC WOV FABRICS; TUFTED FAB; LACE; TAPESTRIE,29678503,5.13,-14.96,2026-04-27T23:05:12Z
2026-01,EXPORT,06,"LIVE TREES, PLANTS, BULBS ETC.; CUT FLOWERS E",27456773,2.72,-3.65,2026-04-27T23:05:12Z
2026-01,EXPORT,80,TIN AND ARTICLES THEREOF,22626714,33.26,21.67,2026-04-27T23:05:12Z
2026-01,EXPORT,79,ZINC AND ARTICLES THEREOF,22349142,2.15,-12.89,2026-04-27T23:05:12Z
2026-01,EXPORT,78,LEAD AND ARTICLES THEREOF,18043559,-1.03,16.04,2026-04-27T23:05:12Z
2026-01,EXPORT,67,"PREP FEATHERS, DOWN ETC; ARTIF FLOWERS; H HAI",8243318,-8.54,-12.33,2026-04-27T23:05:12Z
2026-01,EXPORT,51,"WOOL & ANIMAL HAIR, INCLUDING YARN & WOVEN FA",4223933,-36.06,7.37,2026-04-27T23:05:12Z
2026-01,EXPORT,53,VEG TEXT FIB NESOI; VEG FIB & PAPER YNS & WOV,4167277,58.62,172.06,2026-04-27T23:05:12Z
2026-01,EXPORT,66,"UMBRELLAS, WALKING-STICKS, RIDING-CROPS ETC, ",2661448,-33.67,22.76,2026-04-27T23:05:12Z
2026-01,EXPORT,43,FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THE,2486061,-63.86,-31.66,2026-04-27T23:05:12Z
2026-01,EXPORT,45,CORK AND ARTICLES OF CORK,1492356,-36.95,-51.22,2026-04-27T23:05:12Z
2026-01,EXPORT,14,VEGETABLE PLAITING MATERIALS & PRODUCTS NESOI,1372283,-5.42,-34.49,2026-04-27T23:05:12Z
2026-01,EXPORT,46,"MFR OF STRAW, ESPARTO ETC.; BASKETWARE & WICK",1157671,-17.68,-25.20,2026-04-27T23:05:12Z
2026-01,EXPORT,50,"SILK, INCLUDING YARNS AND WOVEN FABRIC THEREO",276659,51.59,-9.20,2026-04-27T23:05:12Z
2026-01,IMPORT,84,"NUCLEAR REACTORS, BOILERS, MACHINERY ETC.; PA",61316858729,-5.28,31.07,2026-04-27T23:05:12Z
2026-01,IMPORT,85,ELECTRIC MACHINERY ETC; SOUND EQUIP; TV EQUIP,43173786750,-6.40,4.65,2026-04-27T23:05:12Z
2026-01,IMPORT,87,"VEHICLES, EXCEPT RAILWAY OR TRAMWAY, AND PART",22100361918,-18.99,-22.25,2026-04-27T23:05:12Z
2026-01,IMPORT,27,"MINERAL FUEL, OIL ETC.; BITUMIN SUBST; MINERA",16780305788,-2.63,-13.77,2026-04-27T23:05:12Z
2026-01,IMPORT,30,PHARMACEUTICAL PRODUCTS,11282492780,-27.37,-39.17,2026-04-27T23:05:12Z
2026-01,IMPORT,98,"SPECIAL CLASSIFICATION PROVISIONS, NESOI",10353228162,-2.98,12.93,2026-04-27T23:05:12Z
2026-01,IMPORT,90,"OPTIC, PHOTO ETC, MEDIC OR SURGICAL INSTRMENT",8940788896,-12.76,-9.00,2026-04-27T23:05:12Z
2026-01,IMPORT,71,"NAT ETC PEARLS, PREC ETC STONES, PR MET ETC; ",5604160874,-22.77,-85.67,2026-04-27T23:05:12Z
2026-01,IMPORT,39,PLASTICS AND ARTICLES THEREOF,5393038911,3.47,-15.88,2026-04-27T23:05:12Z
