ticker,signal_type,nt_form,filed_date,filer_name,has_insider_buy,insider_count,link
KARX,CAUTION_NT,NT 10-Q,2026-04-13,Karbon-X Corp.  (KARX)  (CIK 0001729637),False,0,https://www.sec.gov/Archives/edgar/data/1729637/000147793226002145/0001477932-26-002145-index.htm
GRST,CAUTION_NT,NT 10-K,2026-04-13,ETHEMA HEALTH Corp  (GRST)  (CIK 0000792935),False,0,https://www.sec.gov/Archives/edgar/data/792935/000190359626000150/0001903596-26-000150-index.htm
LIVG,CAUTION_NT,NT 10-K/A,2026-04-08,"Livento Group, Inc.  (LIVG)  (CIK 0001593549)",False,0,https://www.sec.gov/Archives/edgar/data/1593549/000206362826000010/0002063628-26-000010-index.htm
DAIO,CAUTION_NT,NT 10-K/A,2026-04-08,DATA I/O CORP  (DAIO)  (CIK 0000351998),False,0,https://www.sec.gov/Archives/edgar/data/351998/000165495426003322/0001654954-26-003322-index.htm
SKFG,CAUTION_NT,NT 10-K,2026-04-02,"Stark Focus Group, Inc.  (SKFG)  (CIK 0001794942)",False,0,https://www.sec.gov/Archives/edgar/data/1794942/000164033426000619/0001640334-26-000619-index.htm
MTEX,CAUTION_NT,NT 10-K/A,2026-04-02,MANNATECH INC  (MTEX)  (CIK 0001056358),False,0,https://www.sec.gov/Archives/edgar/data/1056358/000143774926011099/0001437749-26-011099-index.htm
AIXN,CAUTION_NT,NT 10-K,2026-04-02,"AiXin Life International, Inc.  (AIXN)  (CIK 0000835662)",False,0,https://www.sec.gov/Archives/edgar/data/835662/000149315226014729/0001493152-26-014729-index.htm
ROYL,CAUTION_NT,NT 10-K,2026-04-02,"Royale Energy, Inc.  (ROYL)  (CIK 0001694617)",False,0,https://www.sec.gov/Archives/edgar/data/1694617/000118518526001236/0001185185-26-001236-index.htm
ASFT,CAUTION_NT,NT 10-K,2026-04-02,"Appsoft Technologies, Inc.  (ASFT)  (CIK 0001651992)",False,0,https://www.sec.gov/Archives/edgar/data/1651992/000147793226001951/0001477932-26-001951-index.htm
BLNC,CAUTION_NT,NT 10-K,2026-04-02,"Balance Labs, Inc.  (BLNC)  (CIK 0001632121)",False,0,https://www.sec.gov/Archives/edgar/data/1632121/000149315226014846/0001493152-26-014846-index.htm
CFOO,CAUTION_NT,NT 10-K,2026-04-01,China Foods Holdings Ltd.  (CFOO)  (CIK 0001310630),False,0,https://www.sec.gov/Archives/edgar/data/1310630/000149315226014425/0001493152-26-014425-index.htm
IVF,CAUTION_NT,NT 10-K,2026-04-01,"INVO Fertility, Inc.  (IVF)  (CIK 0001417926)",False,0,https://www.sec.gov/Archives/edgar/data/1417926/000149315226014527/0001493152-26-014527-index.htm
BRGX,CAUTION_NT,NT 10-K,2026-04-01,"BIOREGENX, INC.  (BRGX)  (CIK 0001593184)",False,0,https://www.sec.gov/Archives/edgar/data/1593184/000168316826002567/0001683168-26-002567-index.htm
GLVT,CAUTION_NT,NT 10-K,2026-04-01,GREENLIT VENTURES INC.  (GLVT)  (CIK 0001693687),False,0,https://www.sec.gov/Archives/edgar/data/1693687/000164033426000611/0001640334-26-000611-index.htm
STQN,CAUTION_NT,NT 10-K,2026-04-01,STRATEGIC ACQUISITIONS INC /NV/  (STQN)  (CIK 0000847942),False,0,https://www.sec.gov/Archives/edgar/data/847942/000149315226014487/0001493152-26-014487-index.htm
BIXT,CAUTION_NT,NT 10-K,2026-04-01,"BIOXYTRAN, INC  (BIXT)  (CIK 0001445815)",False,0,https://www.sec.gov/Archives/edgar/data/1445815/000149315226014474/0001493152-26-014474-index.htm
TXMD,CAUTION_NT,NT 10-K,2026-04-01,"TherapeuticsMD, Inc.  (TXMD)  (CIK 0000025743)",False,0,https://www.sec.gov/Archives/edgar/data/25743/000121390026037914/0001213900-26-037914-index.htm
QWTR,CAUTION_NT,NT 10-K,2026-04-01,"Quest Water Global, Inc.  (QWTR)  (CIK 0001487091)",False,0,https://www.sec.gov/Archives/edgar/data/1487091/000149315226014393/0001493152-26-014393-index.htm
ASFH,CAUTION_NT,NT 10-K,2026-04-01,ASIAFIN HOLDINGS CORP.  (ASFH)  (CIK 0001828748),False,0,https://www.sec.gov/Archives/edgar/data/1828748/000149315226014445/0001493152-26-014445-index.htm
BRQL,CAUTION_NT,NT 10-K,2026-04-01,DYNAMIC AEROSPACE SYSTEMS Corp  (BRQL)  (CIK 0001854526),False,0,https://www.sec.gov/Archives/edgar/data/1854526/000147793226001912/0001477932-26-001912-index.htm
RBTK,CAUTION_NT,NT 10-K,2026-04-01,ZHEN DING RESOURCES INC.  (RBTK)  (CIK 0001594204),False,0,https://www.sec.gov/Archives/edgar/data/1594204/000121465926004137/0001214659-26-004137-index.htm
MNTR,CAUTION_NT,NT 10-K,2026-04-01,"Mentor Capital, Inc.  (MNTR)  (CIK 0001599117)",False,0,https://www.sec.gov/Archives/edgar/data/1599117/000149315226014585/0001493152-26-014585-index.htm
AAPI,CAUTION_NT,NT 10-K,2026-04-01,"Apple iSports Group, Inc.  (AAPI)  (CIK 0001134982)",False,0,https://www.sec.gov/Archives/edgar/data/1134982/000147793226001904/0001477932-26-001904-index.htm
AUMN,CAUTION_NT,NT 10-K,2026-04-01,Golden Minerals Co  (AUMN)  (CIK 0001011509),False,0,https://www.sec.gov/Archives/edgar/data/1011509/000117625626000038/0001176256-26-000038-index.htm
OBTC,CAUTION_NT,NT 10-K,2026-04-01,Osprey Bitcoin Trust  (OBTC)  (CIK 0001767057),False,0,https://www.sec.gov/Archives/edgar/data/1767057/000149315226014436/0001493152-26-014436-index.htm
SNYR,CAUTION_NT,NT 10-K,2026-04-01,Synergy CHC Corp.  (SNYR)  (CIK 0001562733),False,0,https://www.sec.gov/Archives/edgar/data/1562733/000121390026037819/0001213900-26-037819-index.htm
IPST,CAUTION_NT,NT 10-K,2026-04-01,"IP STRATEGY HOLDINGS, INC.  (IPST)  (CIK 0001788230)",False,0,https://www.sec.gov/Archives/edgar/data/1788230/000178823026000031/0001788230-26-000031-index.htm
PMHS,CAUTION_NT,NT 10-K,2026-04-01,"Polomar Health Services, Inc.  (PMHS)  (CIK 0001265521)",False,0,https://www.sec.gov/Archives/edgar/data/1265521/000149315226014496/0001493152-26-014496-index.htm
AAME,CAUTION_NT,NT 10-K,2026-04-01,ATLANTIC AMERICAN CORP  (AAME)  (CIK 0000008177),False,0,https://www.sec.gov/Archives/edgar/data/8177/000114036126012660/0001140361-26-012660-index.htm
SGA,CAUTION_NT,NT 10-K,2026-04-01,SAGA COMMUNICATIONS INC  (SGA)  (CIK 0000886136),False,0,https://www.sec.gov/Archives/edgar/data/886136/000110465926038286/0001104659-26-038286-index.htm
PNRG,CAUTION_NT,NT 10-K,2026-04-01,PRIMEENERGY RESOURCES CORP  (PNRG)  (CIK 0000056868),False,0,https://www.sec.gov/Archives/edgar/data/56868/000143774926010798/0001437749-26-010798-index.htm
TGLO,CAUTION_NT,NT 10-K,2026-04-01,THEGLOBE COM INC  (TGLO)  (CIK 0001066684),False,0,https://www.sec.gov/Archives/edgar/data/1066684/000110465926038013/0001104659-26-038013-index.htm
CYCA,CAUTION_NT,NT 10-Q,2026-04-01,CYTTA CORP.  (CYCA)  (CIK 0001383088),False,0,https://www.sec.gov/Archives/edgar/data/1383088/000147793226001938/0001477932-26-001938-index.htm
QNCX,CAUTION_NT,NT 10-K,2026-04-01,"Quince Therapeutics, Inc.  (QNCX)  (CIK 0001662774)",False,0,https://www.sec.gov/Archives/edgar/data/1662774/000119312526138017/0001193125-26-138017-index.htm
AMZE,CAUTION_NT,NT 10-K,2026-04-01,"AMAZE HOLDINGS, INC.  (AMZE)  (CIK 0001880343)",False,0,https://www.sec.gov/Archives/edgar/data/1880343/000149315226014428/0001493152-26-014428-index.htm
OZSC,CAUTION_NT,NT 10-K,2026-04-01,"OZOP ENERGY SOLUTIONS, INC.  (OZSC)  (CIK 0001679817)",False,0,https://www.sec.gov/Archives/edgar/data/1679817/000149315226014607/0001493152-26-014607-index.htm
TKLS,CAUTION_NT,NT 10-K,2026-04-01,"Trutankless, Inc.  (TKLS)  (CIK 0001429393)",False,0,https://www.sec.gov/Archives/edgar/data/1429393/000147793226001893/0001477932-26-001893-index.htm
OLOX,CAUTION_NT,NT 10-K,2026-04-01,OLENOX INDUSTRIES INC.  (OLOX)  (CIK 0001023994),False,0,https://www.sec.gov/Archives/edgar/data/1023994/000121390026038062/0001213900-26-038062-index.htm
APTN,CAUTION_NT,NT 10-K,2026-04-01,"ADAPTIN BIO, INC.  (APTN)  (CIK 0001938571)",False,0,https://www.sec.gov/Archives/edgar/data/1938571/000121390026038402/0001213900-26-038402-index.htm
VS,CAUTION_NT,NT 10-K,2026-04-01,Versus Systems Inc.  (VS)  (CIK 0001701963),False,0,https://www.sec.gov/Archives/edgar/data/1701963/000121390026038582/0001213900-26-038582-index.htm
OLB,CAUTION_NT,NT 10-K,2026-04-01,"OLB GROUP, INC.  (OLB)  (CIK 0001314196)",False,0,https://www.sec.gov/Archives/edgar/data/1314196/000121390026037815/0001213900-26-037815-index.htm
NFSN,CAUTION_NT,NT 10-K,2026-04-01,"Nongfu Shop Digital New Retail Co., Ltd  (NFSN)  (CIK 0001284454)",False,0,https://www.sec.gov/Archives/edgar/data/1284454/000147793226001914/0001477932-26-001914-index.htm
ILAL,CAUTION_NT,NT 10-K,2026-04-01,International Land Alliance Inc.  (ILAL)  (CIK 0001657214),False,0,https://www.sec.gov/Archives/edgar/data/1657214/000149315226014604/0001493152-26-014604-index.htm
MLP,CAUTION_NT,NT 10-K,2026-04-01,MAUI LAND & PINEAPPLE CO INC  (MLP)  (CIK 0000063330),False,0,https://www.sec.gov/Archives/edgar/data/63330/000143774926010800/0001437749-26-010800-index.htm
