cik,company,form,filed_at,accession,description,captured_at
0001912215,BSN Holdings Ltd (0001912215) (Filer),13F-NT,2026-04-27T08:49:20-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001911876-26-000018 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001911815,BSN Capital LLP (0001911815) (Filer),13F-NT,2026-04-27T08:48:35-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001911876-26-000017 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002057421,General Pension Society PZU Joint Stock Co (0002057421) (Filer),13F-HR/A,2026-04-27T08:29:56-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002057421-26-000006 <b>Size:</b> 11 KB,2026-04-27T23:05:39Z
0002055176,Allianz ZB Mandatory & Voluntary Pension Funds Management Co Ltd. (0002055176) (Filer),13F-NT,2026-04-27T07:10:42-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-178816 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001302797,Boston Trust Walden Inc. (0001302797) (Filer),13F-NT,2026-04-24T13:35:48-04:00,,<b>Filed:</b> 2026-04-24 <b>AccNo:</b> 0001302797-26-000002 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0000829937,BOSTON TRUST WALDEN NATIONAL ASSOCIATION (0000829937) (Filer),13F-NT,2026-04-24T13:30:21-04:00,,<b>Filed:</b> 2026-04-24 <b>AccNo:</b> 0000829937-26-000003 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002011135,Key National Trust Co of Delaware (0002011135) (Filer),13F-NT,2026-04-24T13:23:28-04:00,,<b>Filed:</b> 2026-04-24 <b>AccNo:</b> 0002011135-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001074714,"KEYBANC CAPITAL MARKETS,INC /OH/ (0001074714) (Filer)",13F-NT,2026-04-24T13:18:11-04:00,,<b>Filed:</b> 2026-04-24 <b>AccNo:</b> 0001074714-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002110681,Attestor Services Ltd (0002110681) (Filer),13F-NT,2026-04-24T11:38:18-04:00,,<b>Filed:</b> 2026-04-24 <b>AccNo:</b> 0000947871-26-000467 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001760131,Attestor Ltd (0001760131) (Filer),13F-NT,2026-04-24T11:30:32-04:00,,<b>Filed:</b> 2026-04-24 <b>AccNo:</b> 0000947871-26-000466 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001140465,HSBC BANK PLC (0001140465) (Filer),13F-NT,2026-04-24T10:24:24-04:00,,<b>Filed:</b> 2026-04-24 <b>AccNo:</b> 0001140465-26-000046 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0000857855,UNITED COMMUNITY BANKS INC (0000857855) (Filer),13F-NT,2026-04-24T09:43:06-04:00,,<b>Filed:</b> 2026-04-24 <b>AccNo:</b> 0001104659-26-048240 <b>Size:</b> 4 KB,2026-04-27T23:05:39Z
0002042059,MarketDesk Indices LLC (0002042059) (Filer),13F-NT,2026-04-24T08:47:42-04:00,,<b>Filed:</b> 2026-04-24 <b>AccNo:</b> 0002042059-26-000003 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002056899,Limited Liability Co Raiffeisen Capital Management Co (0002056899) (Filer),13F-NT,2026-04-24T07:27:16-04:00,,<b>Filed:</b> 2026-04-24 <b>AccNo:</b> 0002056899-26-000002 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002055341,Raiffeisen FUTURE a.d. Beograd DUDPF (0002055341) (Filer),13F-NT,2026-04-24T07:24:50-04:00,,<b>Filed:</b> 2026-04-24 <b>AccNo:</b> 0002055341-26-000002 <b>Size:</b> 2 KB,2026-04-27T23:05:39Z
0002055921,Raiffeisen investicni spolecnost a.s. (0002055921) (Filer),13F-NT,2026-04-24T07:22:26-04:00,,<b>Filed:</b> 2026-04-24 <b>AccNo:</b> 0002055921-26-000002 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002055977,Raiffeisen Invest JSC (0002055977) (Filer),13F-NT,2026-04-24T07:19:00-04:00,,<b>Filed:</b> 2026-04-24 <b>AccNo:</b> 0002055977-26-000002 <b>Size:</b> 2 KB,2026-04-27T23:05:39Z
0002055548,Raiffeisen Kapitalanlage-Gesellschaft m.b.H. (0002055548) (Filer),13F-NT,2026-04-24T07:14:35-04:00,,<b>Filed:</b> 2026-04-24 <b>AccNo:</b> 0002055548-26-000002 <b>Size:</b> 2 KB,2026-04-27T23:05:39Z
0001828822,"XXEC, Inc. (0001828822) (Filer)",13F-HR/A,2026-04-23T18:41:28-04:00,,<b>Filed:</b> 2026-04-24 <b>AccNo:</b> 0001828822-26-000003 <b>Size:</b> 16 KB,2026-04-27T23:05:39Z
0001734460,"Stokes Capital Advisors, LLC (0001734460) (Filer)",13F-HR/A,2026-04-23T17:40:09-04:00,,<b>Filed:</b> 2026-04-24 <b>AccNo:</b> 0001734460-26-000003 <b>Size:</b> 103 KB,2026-04-27T23:05:39Z
0002076215,Sarver Vrooman Wealth Advisors (0002076215) (Filer),13F-HR/A,2026-04-23T15:52:58-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0002076215-26-000004 <b>Size:</b> 82 KB,2026-04-27T23:05:39Z
0000090498,SIMMONS FIRST NATIONAL CORP (0000090498) (Filer),13F-NT,2026-04-23T15:14:13-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001193125-26-173388 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001767652,Data LLC (0001767652) (Filer),13F-NT,2026-04-23T14:37:55-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001437749-26-013141 <b>Size:</b> 2 KB,2026-04-27T23:05:39Z
0001015247,COURIER CAPITAL LLC (0001015247) (Filer),13F-HR/A,2026-04-23T11:58:11-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001420506-26-000719 <b>Size:</b> 168 KB,2026-04-27T23:05:39Z
0001259968,UNION BANK & TRUST CO /NE/ (0001259968) (Filer),13F-NT,2026-04-23T10:13:48-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001140361-26-016281 <b>Size:</b> 2 KB,2026-04-27T23:05:39Z
0002011645,Abich Financial Wealth Management LLC (0002011645) (Filer),13F-NT,2026-04-23T09:43:23-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0002011645-26-000002 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001976065,"Noble Family Wealth, LLC (0001976065) (Filer)",13F-HR/A,2026-04-23T09:31:02-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001420506-26-000714 <b>Size:</b> 36 KB,2026-04-27T23:05:39Z
0001315868,Burgundy Asset Management Ltd. (0001315868) (Filer),13F-NT,2026-04-23T09:28:43-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001193125-26-172100 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001512780,"Private Wealth Group, LLC (0001512780) (Filer)",13F-HR/A,2026-04-23T09:16:58-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001420506-26-000712 <b>Size:</b> 34 KB,2026-04-27T23:05:39Z
0002110570,Zulia Investments Pte. Ltd. (0002110570) (Filer),13F-NT,2026-04-23T08:33:43-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0002110570-26-000002 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002053341,Whitecap Investments Pte. Ltd. (0002053341) (Filer),13F-NT,2026-04-23T08:32:04-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0002053341-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002110571,Walsh Investments Pte. Ltd. (0002110571) (Filer),13F-NT,2026-04-23T08:30:28-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0002110571-26-000002 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002053227,Waddington Investments Pte. Ltd. (0002053227) (Filer),13F-NT,2026-04-23T08:28:35-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0002053227-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001379350,V-Sciences Investments Pte Ltd (0001379350) (Filer),13F-NT,2026-04-23T08:26:47-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001379350-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001765993,Venezio Investments Pte. Ltd. (0001765993) (Filer),13F-NT,2026-04-23T08:24:53-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001765993-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001673754,TLS Beta Pte. Ltd. (0001673754) (Filer),13F-NT,2026-04-23T08:23:10-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001673754-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001568354,Thomson Capital Pte. Ltd. (0001568354) (Filer),13F-NT,2026-04-23T08:21:29-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001568354-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001512449,Tembusu Capital Pte. Ltd. (0001512449) (Filer),13F-NT,2026-04-23T08:19:53-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001512449-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001379349,Temasek Life Sciences Private Ltd (0001379349) (Filer),13F-NT,2026-04-23T08:18:15-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001379349-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001434866,Temasek Capital (Private) Ltd (0001434866) (Filer),13F-NT,2026-04-23T08:16:20-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001434866-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002053370,Temasek Capital (Americas) Holdings Pte. Ltd. (0002053370) (Filer),13F-NT,2026-04-23T08:14:15-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0002053370-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002110575,Taibai Investments Pte. Ltd. (0002110575) (Filer),13F-NT,2026-04-23T08:12:13-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0002110575-26-000002 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001434867,Seletar Investments Pte Ltd (0001434867) (Filer),13F-NT,2026-04-23T08:10:33-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001434867-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002053398,Robson Investments Pte. Ltd. (0002053398) (Filer),13F-NT,2026-04-23T08:08:48-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0002053398-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001810133,Ossa Investments Pte. Ltd. (0001810133) (Filer),13F-NT,2026-04-23T08:06:58-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001810133-26-000005 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001766186,Napier Investments Pte. Ltd. (0001766186) (Filer),13F-NT,2026-04-23T08:04:59-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001766186-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001512375,Munday Investments Pte. Ltd. (0001512375) (Filer),13F-NT,2026-04-23T08:03:02-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001512375-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002110586,Mana Peak Investments Pte. Ltd. (0002110586) (Filer),13F-NT,2026-04-23T08:01:00-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0002110586-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001666721,Ixora Investments Pte. Ltd. (0001666721) (Filer),13F-NT,2026-04-23T07:56:48-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001666721-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001810114,Hotham Investments Pte. Ltd. (0001810114) (Filer),13F-NT,2026-04-23T07:54:58-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001810114-26-000005 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002053372,Hong Lim Fund Investments Pte Ltd (0002053372) (Filer),13F-NT,2026-04-23T07:53:02-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0002053372-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001379348,Fullerton Management Pte Ltd (0001379348) (Filer),13F-NT,2026-04-23T07:50:01-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001379348-26-000006 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001568353,Fullerton Fund Investments Pte Ltd (0001568353) (Filer),13F-NT,2026-04-23T07:48:01-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001568353-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001666149,Evans Investments Pte. Ltd. (0001666149) (Filer),13F-NT,2026-04-23T07:46:01-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001666149-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001599334,Esta Investments Pte. Ltd. (0001599334) (Filer),13F-NT,2026-04-23T07:44:18-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001599334-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001766188,Ellington Investments Pte. Ltd. (0001766188) (Filer),13F-NT,2026-04-23T07:42:35-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001766188-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001568351,Dahlia Investments Pte. Ltd. (0001568351) (Filer),13F-NT,2026-04-23T07:40:01-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001568351-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001434871,Canhill Investments Pte. Ltd. (0001434871) (Filer),13F-NT,2026-04-23T07:38:13-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001434871-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001841292,Birchtree Fund Investments Private Ltd (0001841292) (Filer),13F-NT,2026-04-23T07:36:10-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001841292-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002110588,Bayfront Investments Pte. Ltd. (0002110588) (Filer),13F-NT,2026-04-23T07:33:59-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0002110588-26-000005 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001735865,Bartley Investments Pte. Ltd. (0001735865) (Filer),13F-NT,2026-04-23T07:31:20-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001735865-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001666144,Aranda Investments Pte. Ltd. (0001666144) (Filer),13F-NT,2026-04-23T07:28:12-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001666144-26-000005 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002053326,Antero Investments Pte. Ltd. (0002053326) (Filer),13F-NT,2026-04-23T07:24:45-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0002053326-26-000007 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001767731,Anderson Investments Pte. Ltd. (0001767731) (Filer),13F-NT,2026-04-23T07:18:56-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001767731-26-000006 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002053304,Alsek Investments Pte. Ltd. (0002053304) (Filer),13F-NT,2026-04-23T07:16:04-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0002053304-26-000005 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001962781,Alberta Investments Pte. Ltd. (0001962781) (Filer),13F-NT,2026-04-23T07:08:43-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001962781-26-000016 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001634147,Analyst Provident Funds Ltd. (0001634147) (Filer),13F-NT,2026-04-23T06:36:04-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001178913-26-002192 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001831222,Analyst I.M.S. Mutual Funds Management (0001831222) (Filer),13F-NT,2026-04-23T06:33:29-04:00,,<b>Filed:</b> 2026-04-23 <b>AccNo:</b> 0001178913-26-002189 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
