filed_utc,source,kind,title,link,summary
2002-12-20T22:59:00Z,research,research,Corporate dollar debt and depreciations much ado about nothing,https://www.bostonfed.org/publications/research-department-working-paper/2002/corporate-dollar-debt-and-depreciations-much-ado-about-nothing.aspx,
2002-12-01T22:59:00Z,research,research,Economic effects of currency unions,https://www.bostonfed.org/publications/research-department-working-paper/2002/economic-effects-of-currency-unions.aspx,
2002-12-01T22:59:00Z,research,research,Inventory investment and output volatility,https://www.bostonfed.org/publications/research-department-working-paper/2002/inventory-investment-and-output-volatility.aspx,
2002-12-01T22:59:00Z,research,research,Job creation job destruction and international competition a literature review,https://www.bostonfed.org/publications/research-department-working-paper/2002/job-creation-job-destruction-and-international-competition-a-literature-review.aspx,
2002-12-01T22:59:00Z,research,research,Job creation job destruction and international competition job flows and trade the case of nafta,https://www.bostonfed.org/publications/research-department-working-paper/2002/job-creation-job-destruction-and-international-competition-job-flows-and-trade-the-case-of-nafta.aspx,
2002-11-12T22:59:00Z,research,research,A quantile regression analysis of the cross section of stock market returns,https://www.bostonfed.org/publications/research-department-working-paper/2002/a-quantile-regression-analysis-of-the-cross-section-of-stock-market-returns.aspx,
2002-07-01T21:59:00Z,research,research,Estimating the euler equation for output,https://www.bostonfed.org/publications/research-department-working-paper/2002/estimating-the-euler-equation-for-output.aspx,
2002-05-14T21:59:00Z,research,research,The behavior of chinas stock prices in response to the proposal and approval of bonus issues,https://www.bostonfed.org/publications/research-department-working-paper/2002/the-behavior-of-chinas-stock-prices-in-response-to-the-proposal-and-approval-of-bonus-issues.aspx,
2001-12-11T21:52:00Z,research,research,Measuring the incentive effects of state tax policies toward capital investment,https://www.bostonfed.org/publications/research-department-working-paper/2001/measuring-the-incentive-effects-of-state-tax-policies-toward-capital-investment.aspx,
2001-12-01T22:59:00Z,research,research,Optimal monetary policy in a model with habit formation and explicit tax distortions,https://www.bostonfed.org/publications/research-department-working-paper/2001/optimal-monetary-policy-in-a-model-with-habit-formation-and-explicit-tax-distortions.aspx,
2001-11-01T22:59:00Z,research,research,Are taste and technology parameters stable a test of deep parameter stability in real business cycle models of the us economy,https://www.bostonfed.org/publications/research-department-working-paper/2001/are-taste-and-technology-parameters-stable-a-test-of-deep-parameter-stability-in-real-business-cycle-models-of-the-us-economy.aspx,
2001-05-10T21:59:00Z,research,research,State user costs of capital,https://www.bostonfed.org/publications/research-department-working-paper/2001/state-user-costs-of-capital.aspx,
2001-02-01T22:59:00Z,research,research,Time present and time past a duration analysis of imf program spells,https://www.bostonfed.org/publications/research-department-working-paper/2001/time-present-and-time-past-a-duration-analysis-of-imf-program-spells.aspx,
2001-01-01T22:59:00Z,research,research,Transition dynamics in vintage capital models explaining the postwar catch up of germany and japan,https://www.bostonfed.org/publications/research-department-working-paper/2001/transition-dynamics-in-vintage-capital-models-explaining-the-postwar-catch-up-of-germany-and-japan.aspx,
2000-12-01T22:59:00Z,research,research,Optimal monetary policy in a model with habit formation,https://www.bostonfed.org/publications/research-department-working-paper/2000/optimal-monetary-policy-in-a-model-with-habit-formation.aspx,
2000-08-21T21:59:00Z,research,research,Troubled banks impaired foreign direct investment the role of relative access to credit,https://www.bostonfed.org/publications/research-department-working-paper/2000/troubled-banks-impaired-foreign-direct-investment-the-role-of-relative-access-to-credit.aspx,
2000-06-27T21:59:00Z,research,research,Deposit insurance capital requirements and financial stability,https://www.bostonfed.org/publications/research-department-working-paper/2000/deposit-insurance-capital-requirements-and-financial-stability.aspx,
2000-05-02T21:03:00Z,research,research,Identifying the macroeconomic effect of loan supply shocks,https://www.bostonfed.org/publications/research-department-working-paper/2000/identifying-the-macroeconomic-effect-of-loan-supply-shocks.aspx,
