period,category_code,category_name,ba_ba,ba_hba,ba_cba,ba_wba,bf_pbf4q,bf_pbf8q,bf_sbf4q,bf_sbf8q,captured_at
2025-01,NAICS62,Health Care / Social Assistance,24503,17900,3657,4484,2548,3526,2548,3526,2026-04-27T23:00:25Z
2025-01,NAICS61,Educational Services,6353,1249,539,735,341,474,341,474,2026-04-27T23:00:25Z
2025-01,NAICS56,Administrative / Support / Waste,27260,5314,2221,3272,1453,2009,1453,2009,2026-04-27T23:00:25Z
2025-01,NAICS55,Management of Companies,4434,941,817,143,37,45,37,45,2026-04-27T23:00:25Z
2025-01,NAICS54,Professional / Scientific / Technical,49714,13366,6298,4523,3323,4446,3323,4446,2026-04-27T23:00:25Z
2025-01,NAICS53,Real Estate / Rental / Leasing,18940,2410,1510,1096,833,1133,833,1133,2026-04-27T23:00:25Z
2025-01,NAICS52,Finance & Insurance,17112,5039,1854,1138,728,960,728,960,2026-04-27T23:00:25Z
2025-01,NAICS51,Information / Media / Tech,7594,1536,1007,719,336,445,336,445,2026-04-27T23:00:25Z
2025-01,NAICS42,Wholesale Trade,8584,2576,1919,866,413,564,413,564,2026-04-27T23:00:25Z
2025-01,NAICS23,Construction,39674,20705,4822,4443,2732,3867,2732,3867,2026-04-27T23:00:25Z
2025-01,NAICS22,Utilities,567,108,50,69,29,43,29,43,2026-04-27T23:00:25Z
2025-01,NAICS21,Mining / Oil & Gas Extraction,408,78,45,39,34,38,34,38,2026-04-27T23:00:25Z
2025-01,NAICS11,Agriculture / Forestry / Fishing,3858,641,186,477,46,65,46,65,2026-04-27T23:00:25Z
2024-12,TOTAL,All Industries (Headline),464450,148917,47049,48204,25916,35500,25916,35500,2026-04-27T23:00:25Z
2024-12,NAICS81,Other Services,42954,7112,3434,4285,2197,3054,2197,3054,2026-04-27T23:00:25Z
2024-12,NAICS72,Accommodation / Food Services,24976,24976,2725,6768,3433,4541,3433,4541,2026-04-27T23:00:25Z
2024-12,NAICS71,Arts / Entertainment / Recreation,13516,2074,928,1286,610,842,610,842,2026-04-27T23:00:25Z
2024-12,NAICS62,Health Care / Social Assistance,29753,20789,4005,5113,2954,4070,2954,4070,2026-04-27T23:00:25Z
2024-12,NAICS61,Educational Services,7641,1440,685,840,399,559,399,559,2026-04-27T23:00:25Z
2024-12,NAICS56,Administrative / Support / Waste,33803,6244,2595,3994,1786,2509,1786,2509,2026-04-27T23:00:25Z
2024-12,NAICS55,Management of Companies,5523,956,858,158,43,52,43,52,2026-04-27T23:00:25Z
2024-12,NAICS54,Professional / Scientific / Technical,58518,15712,7259,5646,3930,5241,3930,5241,2026-04-27T23:00:25Z
2024-12,NAICS53,Real Estate / Rental / Leasing,23760,2983,1862,1379,1085,1469,1085,1469,2026-04-27T23:00:25Z
2024-12,NAICS52,Finance & Insurance,20692,5617,2094,1258,854,1120,854,1120,2026-04-27T23:00:25Z
2024-12,NAICS51,Information / Media / Tech,9253,1858,1245,830,399,537,399,537,2026-04-27T23:00:25Z
2024-12,NAICS42,Wholesale Trade,10561,3019,2472,954,518,705,518,705,2026-04-27T23:00:25Z
2024-12,NAICS23,Construction,45966,22951,5295,5137,3237,4557,3237,4557,2026-04-27T23:00:25Z
2024-12,NAICS22,Utilities,730,72,39,46,25,32,25,32,2026-04-27T23:00:25Z
2024-12,NAICS21,Mining / Oil & Gas Extraction,504,95,44,65,47,52,47,52,2026-04-27T23:00:25Z
2024-12,NAICS11,Agriculture / Forestry / Fishing,4631,801,255,552,65,83,65,83,2026-04-27T23:00:25Z
2024-11,TOTAL,All Industries (Headline),446146,141489,44762,45373,24573,33572,24573,33572,2026-04-27T23:00:25Z
2024-11,NAICS81,Other Services,40954,6677,3275,3948,2095,2891,2095,2891,2026-04-27T23:00:25Z
2024-11,NAICS72,Accommodation / Food Services,23802,23802,2708,6593,3350,4457,3350,4457,2026-04-27T23:00:25Z
2024-11,NAICS71,Arts / Entertainment / Recreation,12266,1953,920,1167,567,778,567,778,2026-04-27T23:00:25Z
2024-11,NAICS62,Health Care / Social Assistance,28113,19666,3803,5015,2861,3919,2861,3919,2026-04-27T23:00:25Z
2024-11,NAICS61,Educational Services,6931,1264,553,732,365,512,365,512,2026-04-27T23:00:25Z
2024-11,NAICS56,Administrative / Support / Waste,30412,5517,2296,3539,1622,2272,1622,2272,2026-04-27T23:00:25Z
2024-11,NAICS55,Management of Companies,5374,940,834,161,39,47,39,47,2026-04-27T23:00:25Z
2024-11,NAICS54,Professional / Scientific / Technical,55562,14426,6770,5055,3767,5033,3767,5033,2026-04-27T23:00:25Z
2024-11,NAICS53,Real Estate / Rental / Leasing,22023,2696,1660,1250,972,1309,972,1309,2026-04-27T23:00:25Z
2024-11,NAICS52,Finance & Insurance,19645,5529,2072,1254,843,1097,843,1097,2026-04-27T23:00:25Z
2024-11,NAICS51,Information / Media / Tech,8558,1699,1149,794,385,514,385,514,2026-04-27T23:00:25Z
2024-11,NAICS42,Wholesale Trade,10987,2882,2271,854,501,689,501,689,2026-04-27T23:00:25Z
2024-11,NAICS23,Construction,44067,22637,5324,4901,3073,4326,3073,4326,2026-04-27T23:00:25Z
2024-11,NAICS22,Utilities,713,94,51,49,21,31,21,31,2026-04-27T23:00:25Z
2024-11,NAICS21,Mining / Oil & Gas Extraction,430,74,38,54,35,39,35,39,2026-04-27T23:00:25Z
2024-11,NAICS11,Agriculture / Forestry / Fishing,4427,742,249,497,54,74,54,74,2026-04-27T23:00:25Z
2024-10,TOTAL,All Industries (Headline),426875,139532,44583,44439,24549,33628,24549,33628,2026-04-27T23:00:25Z
2024-10,NAICS81,Other Services,40483,6768,3327,3938,2096,2886,2096,2886,2026-04-27T23:00:25Z
2024-10,NAICS72,Accommodation / Food Services,22505,22505,2735,6020,3253,4329,3253,4329,2026-04-27T23:00:25Z
2024-10,NAICS71,Arts / Entertainment / Recreation,11841,1957,955,1148,568,777,568,777,2026-04-27T23:00:25Z
2024-10,NAICS62,Health Care / Social Assistance,27045,19454,3766,4955,2817,3863,2817,3863,2026-04-27T23:00:25Z
2024-10,NAICS61,Educational Services,6652,1254,543,696,365,508,365,508,2026-04-27T23:00:25Z
2024-10,NAICS56,Administrative / Support / Waste,29708,5607,2327,3538,1648,2322,1648,2322,2026-04-27T23:00:25Z
2024-10,NAICS55,Management of Companies,5039,941,840,142,38,50,38,50,2026-04-27T23:00:25Z
2024-10,NAICS54,Professional / Scientific / Technical,55549,14795,7072,5157,3861,5159,3861,5159,2026-04-27T23:00:25Z
2024-10,NAICS53,Real Estate / Rental / Leasing,21033,2683,1601,1254,969,1307,969,1307,2026-04-27T23:00:25Z
2024-10,NAICS52,Finance & Insurance,18918,5602,2112,1147,859,1118,859,1118,2026-04-27T23:00:25Z
2024-10,NAICS51,Information / Media / Tech,8364,1629,1083,789,376,502,376,502,2026-04-27T23:00:25Z
2024-10,NAICS42,Wholesale Trade,10180,2781,2157,904,506,687,506,687,2026-04-27T23:00:25Z
2024-10,NAICS23,Construction,42703,22561,5287,4976,3077,4326,3077,4326,2026-04-27T23:00:25Z
2024-10,NAICS22,Utilities,763,102,57,57,24,36,24,36,2026-04-27T23:00:25Z
2024-10,NAICS21,Mining / Oil & Gas Extraction,434,75,37,50,38,42,38,42,2026-04-27T23:00:25Z
2024-10,NAICS11,Agriculture / Forestry / Fishing,4113,741,233,535,60,78,60,78,2026-04-27T23:00:25Z
2024-09,TOTAL,All Industries (Headline),427221,142589,45431,45895,24928,34194,24928,34194,2026-04-27T23:00:25Z
2024-09,NAICS81,Other Services,40601,6817,3338,4019,2098,2870,2098,2870,2026-04-27T23:00:25Z
2024-09,NAICS72,Accommodation / Food Services,22765,22765,2952,6201,3249,4317,3249,4317,2026-04-27T23:00:25Z
2024-09,NAICS71,Arts / Entertainment / Recreation,11734,1942,922,1125,547,759,547,759,2026-04-27T23:00:25Z
2024-09,NAICS62,Health Care / Social Assistance,27185,19827,3857,5076,2875,3946,2875,3946,2026-04-27T23:00:25Z
2024-09,NAICS61,Educational Services,6688,1262,580,717,360,499,360,499,2026-04-27T23:00:25Z
2024-09,NAICS56,Administrative / Support / Waste,30148,5841,2367,3649,1671,2366,1671,2366,2026-04-27T23:00:25Z
2024-09,NAICS55,Management of Companies,4902,941,826,147,41,48,41,48,2026-04-27T23:00:25Z
2024-09,NAICS54,Professional / Scientific / Technical,57869,14833,6936,5151,3896,5256,3896,5256,2026-04-27T23:00:25Z
2024-09,NAICS53,Real Estate / Rental / Leasing,21621,2805,1701,1329,999,1341,999,1341,2026-04-27T23:00:25Z
2024-09,NAICS52,Finance & Insurance,18947,5496,2162,1242,846,1109,846,1109,2026-04-27T23:00:25Z
2024-09,NAICS51,Information / Media / Tech,8600,1765,1165,839,391,519,391,519,2026-04-27T23:00:25Z
2024-09,NAICS42,Wholesale Trade,10713,3004,2355,1004,540,738,540,738,2026-04-27T23:00:25Z
2024-09,NAICS23,Construction,43108,23025,5417,4981,3088,4356,3088,4356,2026-04-27T23:00:25Z
2024-09,NAICS22,Utilities,742,84,54,35,18,27,18,27,2026-04-27T23:00:25Z
2024-09,NAICS21,Mining / Oil & Gas Extraction,425,86,37,57,36,43,36,43,2026-04-27T23:00:25Z
2024-09,NAICS11,Agriculture / Forestry / Fishing,4189,758,254,529,50,68,50,68,2026-04-27T23:00:25Z
2024-08,TOTAL,All Industries (Headline),436267,144689,45834,46183,25446,34942,25446,34942,2026-04-27T23:00:25Z
2024-08,NAICS81,Other Services,40579,6804,3329,3994,2128,2930,2128,2930,2026-04-27T23:00:25Z
2024-08,NAICS72,Accommodation / Food Services,23492,23492,2739,6001,3259,4333,3259,4333,2026-04-27T23:00:25Z
2024-08,NAICS71,Arts / Entertainment / Recreation,12016,1954,948,1142,575,786,575,786,2026-04-27T23:00:25Z
2024-08,NAICS62,Health Care / Social Assistance,27949,19886,3910,4890,2875,3975,2875,3975,2026-04-27T23:00:25Z
2024-08,NAICS61,Educational Services,7115,1342,621,745,382,536,382,536,2026-04-27T23:00:25Z
2024-08,NAICS56,Administrative / Support / Waste,31082,5803,2376,3923,1736,2434,1736,2434,2026-04-27T23:00:25Z
2024-08,NAICS55,Management of Companies,4800,911,818,135,46,54,46,54,2026-04-27T23:00:25Z
2024-08,NAICS54,Professional / Scientific / Technical,58264,15040,6989,5115,3938,5278,3938,5278,2026-04-27T23:00:25Z
2024-08,NAICS53,Real Estate / Rental / Leasing,22034,2825,1700,1411,1029,1380,1029,1380,2026-04-27T23:00:25Z
2024-08,NAICS52,Finance & Insurance,19243,5653,2168,1266,841,1110,841,1110,2026-04-27T23:00:25Z
2024-08,NAICS51,Information / Media / Tech,8825,1750,1137,839,405,542,405,542,2026-04-27T23:00:25Z
2024-08,NAICS42,Wholesale Trade,11699,3312,2611,963,616,841,616,841,2026-04-27T23:00:25Z
2024-08,NAICS23,Construction,44701,22902,5205,4946,3095,4402,3095,4402,2026-04-27T23:00:25Z
2024-08,NAICS22,Utilities,729,102,48,64,22,35,22,35,2026-04-27T23:00:25Z
2024-08,NAICS21,Mining / Oil & Gas Extraction,526,107,52,65,45,50,45,50,2026-04-27T23:00:25Z
2024-08,NAICS11,Agriculture / Forestry / Fishing,4684,915,307,604,53,76,53,76,2026-04-27T23:00:25Z
2024-07,TOTAL,All Industries (Headline),424927,139439,44817,44808,24706,33816,24706,33816,2026-04-27T23:00:25Z
2024-07,NAICS81,Other Services,40058,6598,3257,3880,2076,2873,2076,2873,2026-04-27T23:00:25Z
2024-07,NAICS72,Accommodation / Food Services,22679,22679,2708,6128,3211,4249,3211,4249,2026-04-27T23:00:25Z
2024-07,NAICS71,Arts / Entertainment / Recreation,11608,1843,895,1067,547,753,547,753,2026-04-27T23:00:25Z
2024-07,NAICS62,Health Care / Social Assistance,27343,19225,3925,4873,2854,3908,2854,3908,2026-04-27T23:00:25Z
2024-07,NAICS61,Educational Services,7125,1322,616,759,385,530,385,530,2026-04-27T23:00:25Z
2024-07,NAICS56,Administrative / Support / Waste,29798,5508,2316,3684,1652,2323,1652,2323,2026-04-27T23:00:25Z
2024-07,NAICS55,Management of Companies,4880,934,836,128,53,61,53,61,2026-04-27T23:00:25Z
2024-07,NAICS54,Professional / Scientific / Technical,55855,14833,6875,5113,3821,5115,3821,5115,2026-04-27T23:00:25Z
2024-07,NAICS53,Real Estate / Rental / Leasing,21449,2806,1802,1277,991,1335,991,1335,2026-04-27T23:00:25Z
2024-07,NAICS52,Finance & Insurance,18724,5121,2009,1217,805,1056,805,1056,2026-04-27T23:00:25Z
2024-07,NAICS51,Information / Media / Tech,8269,1676,1132,799,379,504,379,504,2026-04-27T23:00:25Z
2024-07,NAICS42,Wholesale Trade,10470,3086,2439,935,549,753,549,753,2026-04-27T23:00:25Z
2024-07,NAICS23,Construction,43501,22304,5126,4812,3061,4313,3061,4313,2026-04-27T23:00:25Z
2024-07,NAICS22,Utilities,672,59,33,32,16,23,16,23,2026-04-27T23:00:25Z
2024-07,NAICS21,Mining / Oil & Gas Extraction,423,78,23,61,40,46,40,46,2026-04-27T23:00:25Z
2024-07,NAICS11,Agriculture / Forestry / Fishing,4133,686,194,520,53,76,53,76,2026-04-27T23:00:25Z
2024-06,TOTAL,All Industries (Headline),436016,142131,45650,45881,24976,34060,24976,34060,2026-04-27T23:00:25Z
2024-06,NAICS81,Other Services,40437,6823,3399,3938,2117,2916,2117,2916,2026-04-27T23:00:25Z
2024-06,NAICS72,Accommodation / Food Services,22357,22357,2792,6097,3220,4228,3220,4228,2026-04-27T23:00:25Z
2024-06,NAICS71,Arts / Entertainment / Recreation,11646,1923,977,1088,568,772,568,772,2026-04-27T23:00:25Z
2024-06,NAICS62,Health Care / Social Assistance,27313,19757,3962,4883,2849,3895,2849,3895,2026-04-27T23:00:25Z
2024-06,NAICS61,Educational Services,6817,1299,611,730,366,510,366,510,2026-04-27T23:00:25Z
2024-06,NAICS56,Administrative / Support / Waste,30365,5785,2451,3825,1708,2381,1708,2381,2026-04-27T23:00:25Z
2024-06,NAICS55,Management of Companies,4933,991,901,116,49,59,49,59,2026-04-27T23:00:25Z
2024-06,NAICS54,Professional / Scientific / Technical,55578,15221,6893,5275,3876,5167,3876,5167,2026-04-27T23:00:25Z
2024-06,NAICS53,Real Estate / Rental / Leasing,21608,2793,1752,1262,1009,1353,1009,1353,2026-04-27T23:00:25Z
2024-06,NAICS52,Finance & Insurance,18999,5395,1980,1268,821,1067,821,1067,2026-04-27T23:00:25Z
2024-06,NAICS51,Information / Media / Tech,8165,1756,1131,835,389,517,389,517,2026-04-27T23:00:25Z
2024-06,NAICS42,Wholesale Trade,10083,3025,2383,938,543,739,543,739,2026-04-27T23:00:25Z
2024-06,NAICS23,Construction,44216,22770,5402,4868,3114,4362,3114,4362,2026-04-27T23:00:25Z
2024-06,NAICS22,Utilities,705,64,43,29,22,29,22,29,2026-04-27T23:00:25Z
2024-06,NAICS21,Mining / Oil & Gas Extraction,434,77,40,55,39,45,39,45,2026-04-27T23:00:25Z
2024-06,NAICS11,Agriculture / Forestry / Fishing,4005,669,223,476,49,70,49,70,2026-04-27T23:00:25Z
2024-05,TOTAL,All Industries (Headline),427923,140171,44542,46510,24472,33575,24472,33575,2026-04-27T23:00:25Z
2024-05,NAICS81,Other Services,40312,6683,3320,3903,2097,2869,2097,2869,2026-04-27T23:00:25Z
2024-05,NAICS72,Accommodation / Food Services,22182,22182,2642,5998,3135,4157,3135,4157,2026-04-27T23:00:25Z
2024-05,NAICS71,Arts / Entertainment / Recreation,11428,1870,914,1083,565,770,565,770,2026-04-27T23:00:25Z
2024-05,NAICS62,Health Care / Social Assistance,26271,19005,3759,4750,2775,3818,2775,3818,2026-04-27T23:00:25Z
2024-05,NAICS61,Educational Services,6866,1323,625,776,379,527,379,527,2026-04-27T23:00:25Z
2024-05,NAICS56,Administrative / Support / Waste,29188,5554,2346,3761,1638,2303,1638,2303,2026-04-27T23:00:25Z
2024-05,NAICS55,Management of Companies,4644,890,800,139,49,59,49,59,2026-04-27T23:00:25Z
2024-05,NAICS54,Professional / Scientific / Technical,53790,14982,6842,5110,3765,5051,3765,5051,2026-04-27T23:00:25Z
2024-05,NAICS53,Real Estate / Rental / Leasing,20915,2800,1752,1281,1021,1376,1021,1376,2026-04-27T23:00:25Z
2024-05,NAICS52,Finance & Insurance,18491,5323,1989,1210,792,1038,792,1038,2026-04-27T23:00:25Z
2024-05,NAICS51,Information / Media / Tech,7939,1649,1089,769,374,500,374,500,2026-04-27T23:00:25Z
2024-05,NAICS42,Wholesale Trade,10105,3117,2364,979,548,750,548,750,2026-04-27T23:00:25Z
2024-05,NAICS23,Construction,42449,22194,5327,4802,3035,4278,3035,4278,2026-04-27T23:00:25Z
2024-05,NAICS22,Utilities,669,90,57,42,23,33,23,33,2026-04-27T23:00:25Z
2024-05,NAICS21,Mining / Oil & Gas Extraction,470,116,46,87,51,58,51,58,2026-04-27T23:00:25Z
2024-05,NAICS11,Agriculture / Forestry / Fishing,4015,736,243,557,47,71,47,71,2026-04-27T23:00:25Z
2024-04,TOTAL,All Industries (Headline),431531,139518,44029,44966,24094,33189,24094,33189,2026-04-27T23:00:25Z
2024-04,NAICS81,Other Services,39248,6351,3199,3710,2032,2801,2032,2801,2026-04-27T23:00:25Z
2024-04,NAICS72,Accommodation / Food Services,22108,22108,2658,5963,3182,4233,3182,4233,2026-04-27T23:00:25Z
2024-04,NAICS71,Arts / Entertainment / Recreation,11316,1865,911,1106,557,757,557,757,2026-04-27T23:00:25Z
2024-04,NAICS62,Health Care / Social Assistance,26113,18893,3693,4704,2742,3786,2742,3786,2026-04-27T23:00:25Z
2024-04,NAICS61,Educational Services,6608,1318,599,756,368,513,368,513,2026-04-27T23:00:25Z
2024-04,NAICS56,Administrative / Support / Waste,29611,5574,2343,3673,1644,2310,1644,2310,2026-04-27T23:00:25Z
2024-04,NAICS55,Management of Companies,4464,912,838,109,52,58,52,58,2026-04-27T23:00:25Z
2024-04,NAICS54,Professional / Scientific / Technical,53727,15132,6882,4989,3745,5055,3745,5055,2026-04-27T23:00:25Z
2024-04,NAICS53,Real Estate / Rental / Leasing,21297,2903,1795,1323,1015,1376,1015,1376,2026-04-27T23:00:25Z
2024-04,NAICS52,Finance & Insurance,18025,5158,1974,1183,794,1045,794,1045,2026-04-27T23:00:25Z
2024-04,NAICS51,Information / Media / Tech,7749,1615,1073,751,363,487,363,487,2026-04-27T23:00:25Z
2024-04,NAICS42,Wholesale Trade,10047,3048,2222,1031,556,760,556,760,2026-04-27T23:00:25Z
2024-04,NAICS23,Construction,41533,22383,5112,4858,3037,4300,3037,4300,2026-04-27T23:00:25Z
2024-04,NAICS22,Utilities,720,102,60,51,26,40,26,40,2026-04-27T23:00:25Z
2024-04,NAICS21,Mining / Oil & Gas Extraction,452,105,44,68,45,52,45,52,2026-04-27T23:00:25Z
2024-04,NAICS11,Agriculture / Forestry / Fishing,4567,827,354,598,39,61,39,61,2026-04-27T23:00:25Z
2024-03,TOTAL,All Industries (Headline),431289,143583,44988,45988,24810,33787,24810,33787,2026-04-27T23:00:25Z
2024-03,NAICS81,Other Services,39332,6694,3173,3871,2046,2870,2046,2870,2026-04-27T23:00:25Z
2024-03,NAICS72,Accommodation / Food Services,22258,22258,2728,6143,3235,4239,3235,4239,2026-04-27T23:00:25Z
2024-03,NAICS71,Arts / Entertainment / Recreation,11577,2017,967,1154,570,772,570,772,2026-04-27T23:00:25Z
2024-03,NAICS62,Health Care / Social Assistance,26930,19700,3698,4921,2833,3854,2833,3854,2026-04-27T23:00:25Z
2024-03,NAICS61,Educational Services,6942,1316,612,763,381,525,381,525,2026-04-27T23:00:25Z
2024-03,NAICS56,Administrative / Support / Waste,31693,5778,2352,3825,1706,2337,1706,2337,2026-04-27T23:00:25Z
2024-03,NAICS55,Management of Companies,4896,1329,1255,131,74,105,74,105,2026-04-27T23:00:25Z
2024-03,NAICS54,Professional / Scientific / Technical,55378,15415,6806,5063,3824,5060,3824,5060,2026-04-27T23:00:25Z
2024-03,NAICS53,Real Estate / Rental / Leasing,20953,2956,1811,1329,1030,1387,1030,1387,2026-04-27T23:00:25Z
2024-03,NAICS52,Finance & Insurance,17952,5187,1924,1231,800,1032,800,1032,2026-04-27T23:00:25Z
2024-03,NAICS51,Information / Media / Tech,8036,1677,1052,777,370,490,370,490,2026-04-27T23:00:25Z
2024-03,NAICS42,Wholesale Trade,10181,3127,2295,999,547,738,547,738,2026-04-27T23:00:25Z
2024-03,NAICS23,Construction,42849,23024,5113,4970,3113,4341,3113,4341,2026-04-27T23:00:25Z
2024-03,NAICS22,Utilities,777,87,55,40,27,38,27,38,2026-04-27T23:00:25Z
2024-03,NAICS21,Mining / Oil & Gas Extraction,491,103,45,70,46,52,46,52,2026-04-27T23:00:25Z
2024-03,NAICS11,Agriculture / Forestry / Fishing,6258,1133,559,669,S,S,S,S,2026-04-27T23:00:25Z
2024-02,TOTAL,All Industries (Headline),443944,146859,45754,45952,25148,34208,25148,34208,2026-04-27T23:00:25Z
2024-02,NAICS81,Other Services,41294,6885,3454,3929,2130,2928,2130,2928,2026-04-27T23:00:25Z
2024-02,NAICS72,Accommodation / Food Services,25438,25438,2781,6284,3333,4394,3333,4394,2026-04-27T23:00:25Z
2024-02,NAICS71,Arts / Entertainment / Recreation,12031,1958,990,1127,569,772,569,772,2026-04-27T23:00:25Z
2024-02,NAICS62,Health Care / Social Assistance,27094,19336,3765,4759,2799,3801,2799,3801,2026-04-27T23:00:25Z
2024-02,NAICS61,Educational Services,7217,1264,601,687,365,507,365,507,2026-04-27T23:00:25Z
2024-02,NAICS56,Administrative / Support / Waste,34321,5886,2376,3988,1757,2400,1757,2400,2026-04-27T23:00:25Z
2024-02,NAICS55,Management of Companies,4383,832,762,93,39,49,39,49,2026-04-27T23:00:25Z
2024-02,NAICS54,Professional / Scientific / Technical,55192,14977,6881,5020,3822,5085,3822,5085,2026-04-27T23:00:25Z
2024-02,NAICS53,Real Estate / Rental / Leasing,21719,2963,1841,1350,1040,1403,1040,1403,2026-04-27T23:00:25Z
2024-02,NAICS52,Finance & Insurance,17982,5114,1911,1173,780,1011,780,1011,2026-04-27T23:00:25Z
2024-02,NAICS51,Information / Media / Tech,8166,1645,1087,765,366,487,366,487,2026-04-27T23:00:25Z
2024-02,NAICS42,Wholesale Trade,10742,2989,2179,1001,519,710,519,710,2026-04-27T23:00:25Z
2024-02,NAICS23,Construction,44872,23622,5475,5053,3181,4434,3181,4434,2026-04-27T23:00:25Z
2024-02,NAICS22,Utilities,725,97,52,51,27,41,27,41,2026-04-27T23:00:25Z
2024-02,NAICS21,Mining / Oil & Gas Extraction,487,116,51,68,45,53,45,53,2026-04-27T23:00:25Z
2024-02,NAICS11,Agriculture / Forestry / Fishing,9864,1754,987,628,S,S,S,S,2026-04-27T23:00:25Z
2024-01,TOTAL,All Industries (Headline),450041,151258,46102,47503,25163,34534,25163,34534,2026-04-27T23:00:25Z
2024-01,NAICS81,Other Services,40637,7071,3605,4083,2136,2918,2136,2918,2026-04-27T23:00:25Z
2024-01,NAICS72,Accommodation / Food Services,26387,26387,2751,6139,3374,4494,3374,4494,2026-04-27T23:00:25Z
2024-01,NAICS71,Arts / Entertainment / Recreation,12389,2044,1004,1217,577,796,577,796,2026-04-27T23:00:25Z
2024-01,NAICS62,Health Care / Social Assistance,26428,19061,3722,4722,2727,3757,2727,3757,2026-04-27T23:00:25Z
2024-01,NAICS61,Educational Services,7044,1285,585,743,362,506,362,506,2026-04-27T23:00:25Z
2024-01,NAICS56,Administrative / Support / Waste,33865,6313,2476,3978,1749,2424,1749,2424,2026-04-27T23:00:25Z
2024-01,NAICS55,Management of Companies,4324,865,781,127,40,46,40,46,2026-04-27T23:00:25Z
2024-01,NAICS54,Professional / Scientific / Technical,55889,15520,6949,5182,3823,5125,3823,5125,2026-04-27T23:00:25Z
2024-01,NAICS53,Real Estate / Rental / Leasing,21577,3044,1808,1399,1021,1396,1021,1396,2026-04-27T23:00:25Z
2024-01,NAICS52,Finance & Insurance,17903,5320,1923,1255,808,1067,808,1067,2026-04-27T23:00:25Z
2024-01,NAICS51,Information / Media / Tech,8384,1779,1123,874,389,509,389,509,2026-04-27T23:00:25Z
2024-01,NAICS42,Wholesale Trade,10484,3039,2247,1015,542,744,542,744,2026-04-27T23:00:25Z
2024-01,NAICS23,Construction,44895,23716,5354,5275,3135,4398,3135,4398,2026-04-27T23:00:25Z
2024-01,NAICS22,Utilities,723,117,62,65,33,50,33,50,2026-04-27T23:00:25Z
2024-01,NAICS21,Mining / Oil & Gas Extraction,502,99,37,61,49,58,49,58,2026-04-27T23:00:25Z
2024-01,NAICS11,Agriculture / Forestry / Fishing,8156,1192,521,703,17,33,17,33,2026-04-27T23:00:25Z
