ticker,cik,company,filed_date,form,phrase,filing_url
,0001697884,VITASPRING BIOMEDICAL CO. LTD.  (CIK 0001697884),2026-04-22,10-Q,material weakness,https://www.sec.gov/Archives/edgar/data/1697884/000164033426000788:vsbc_10q.htm/0001640334-26-000788:vsbc_10q.htm-index.html
VERI,0001615165,"Veritone, Inc.  (VERI)  (CIK 0001615165)",2026-04-15,10-Q/A,material weakness,https://www.sec.gov/Archives/edgar/data/1615165/000162828026025211:veri20250930.htm/0001628280-26-025211:veri-20250930.htm-index.html
PAXH,0001350156,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.  (PAXH)  (CIK 0001350156),2026-04-21,8-K,material weakness,https://www.sec.gov/Archives/edgar/data/1350156/000107997326000518:paxh_8k.htm/0001079973-26-000518:paxh_8k.htm-index.html
,0001864943,"FGI Industries Ltd.  (FGI, FGIWW)  (CIK 0001864943)",2026-04-23,8-K,material weakness,https://www.sec.gov/Archives/edgar/data/1864943/000162828026026841:fgi20260420.htm/0001628280-26-026841:fgi-20260420.htm-index.html
,0001448038,Redwood Mortgage Investors IX  (CIK 0001448038),2026-04-24,8-K,material weakness,https://www.sec.gov/Archives/edgar/data/1448038/000119312526177632:d138456d8k.htm/0001193125-26-177632:d138456d8k.htm-index.html
,0001828972,"BuzzFeed, Inc.  (BZFD, BZFDW)  (CIK 0001828972)",2026-04-16,8-K,material weakness,https://www.sec.gov/Archives/edgar/data/1828972/000182897226000033:bzfd20260413.htm/0001828972-26-000033:bzfd-20260413.htm-index.html
EACO,0000784539,EACO CORP  (EACO)  (CIK 0000784539),2026-04-13,10-Q,material weakness,https://www.sec.gov/Archives/edgar/data/784539/000110465926042138:eaco20260228x10q.htm/0001104659-26-042138:eaco-20260228x10q.htm-index.html
LAKE,0000798081,LAKELAND INDUSTRIES INC  (LAKE)  (CIK 0000798081),2026-04-16,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/798081/000119312526159176:lake20260131.htm/0001193125-26-159176:lake-20260131.htm-index.html
BRVO,0001444839,Bravo Multinational Inc.  (BRVO)  (CIK 0001444839),2026-04-14,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/1444839/000109181826000044:brvo123125_10k.htm/0001091818-26-000044:brvo-123125_10k.htm-index.html
,0001930021,"New Horizon Aircraft Ltd.  (HOVR, HOVRW)  (CIK 0001930021)",2026-04-14,10-Q,material weakness,https://www.sec.gov/Archives/edgar/data/1930021/000121390026043197:ea028176910q_newhorizon.htm/0001213900-26-043197:ea0281769-10q_newhorizon.htm-index.html
SGRP,0001004989,"SPAR Group, Inc.  (SGRP)  (CIK 0001004989)",2026-04-13,8-K,material weakness,https://www.sec.gov/Archives/edgar/data/1004989/000143774926012159:sgrp20260408_8k.htm/0001437749-26-012159:sgrp20260408_8k.htm-index.html
VERI,0001615165,"Veritone, Inc.  (VERI)  (CIK 0001615165)",2026-04-14,8-K,material weakness,https://www.sec.gov/Archives/edgar/data/1615165/000162828026025100:veri20260408.htm/0001628280-26-025100:veri-20260408.htm-index.html
LAKE,0000798081,LAKELAND INDUSTRIES INC  (LAKE)  (CIK 0000798081),2026-04-16,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/798081/000119312526159176:lakeex23_1.htm/0001193125-26-159176:lake-ex23_1.htm-index.html
CSDX,0001106861,CS DIAGNOSTICS CORP.  (CSDX)  (CIK 0001106861),2026-04-15,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/1106861/000121465926004694:csd32026010k.htm/0001214659-26-004694:csd32026010k.htm-index.html
,0000067887,"MOOG INC.  (MOG-A, MOG-B)  (CIK 0000067887)",2026-04-24,10-Q,material weakness,https://www.sec.gov/Archives/edgar/data/67887/000162828026027064:mog20260328.htm/0001628280-26-027064:mog-20260328.htm-index.html
ARAI,0001818274,Arrive AI Inc.  (ARAI)  (CIK 0001818274),2026-04-15,10-Q/A,material weakness,https://www.sec.gov/Archives/edgar/data/1818274/000149315226016849:form10qa.htm/0001493152-26-016849:form10-qa.htm-index.html
,0001419951,"Data Storage Corp  (DTST, DTSTW)  (CIK 0001419951)",2026-04-14,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/1419951/000173112226000564:e7502_10k.htm/0001731122-26-000564:e7502_10k.htm-index.html
VNCE,0001579157,VINCE HOLDING CORP.  (VNCE)  (CIK 0001579157),2026-04-16,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/1579157/000119312526158986:vnce20260131.htm/0001193125-26-158986:vnce-20260131.htm-index.html
DAIO,0000351998,DATA I/O CORP  (DAIO)  (CIK 0000351998),2026-04-16,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/351998/000165495426003625:daio_10k.htm/0001654954-26-003625:daio_10k.htm-index.html
BGLC,0001737523,BioNexus Gene Lab Corp  (BGLC)  (CIK 0001737523),2026-04-14,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/1737523/000147793226002218:bglc_ex312.htm/0001477932-26-002218:bglc_ex312.htm-index.html
BGLC,0001737523,BioNexus Gene Lab Corp  (BGLC)  (CIK 0001737523),2026-04-14,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/1737523/000147793226002218:bglc_ex311.htm/0001477932-26-002218:bglc_ex311.htm-index.html
