ticker,signal_type,form,signal_count,latest_date,description,link
EXLS,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-181983:d94506ddefa14a.htm%22
SPRO,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-182256:d120525ddefa14a.htm%22
BCPC,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001140361-26-017104:ny20063370x2_defa14a.htm%22
PAYO,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001104659-26-049470:tm261500d3_defa14a.htm%22
STEM,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001758766-26-000040:stem-20260427.htm%22
KYNB,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-182071:kynb-defa14a-2026_na.htm%22
BRLT,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001628280-26-027583:brlt-defa14ajhhfornoticean.htm%22
FRPT,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001140361-26-017087:ny20064241x772_defa14a.htm%22
MAIA,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001493152-26-019015:formdefa14a.htm%22
ORC,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001437749-26-013360:orc20260309_defa14a.htm%22
NVAX,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001628280-26-027330:novavaxincdefa14a2026.htm%22
ALH,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001628280-26-027536:defa14afiling-proxycard.htm%22
XGN,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001274737-26-000021:a2026defa14a.htm%22
SNDA,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-182108:d140006ddefa14a.htm%22
ABTC,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-178759:abtc-20260427.htm%22
RGEN,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-182014:defa14a_-_shareholder_le.htm%22
BOOM,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220000034067-26-000030:a2026dmcglobalsupplementto.htm%22
MGX,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-182339:mgx-20260427.htm%22
SVV,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001883313-26-000035:a2026defa14a.htm%22
ASTI,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001079973-26-000544:asti_defa14a.htm%22
CGTX,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001104659-26-049436:tm261513d3_defa14a.htm%22
DNUT,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-182145:d148958ddefa14a.htm%22
ALIT,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001628280-26-027623:defa14a2026.htm%22
UAMY,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001140361-26-016778:ef20071491_defa14a.htm%22
ALDX,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-182118:d136169ddefa14a.htm%22
XNCR,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001326732-26-000032:xencorincdefa14a-2026.htm%22
DFTX,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-182066:defa14a_2026_proxy_notic.htm%22
HUBS,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-182218:hubs-20260427.htm%22
FTRE,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-178735:d28152ddefa14a.htm%22
SN,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001957132-26-000023:sn-2026defa14a.htm%22
CPNG,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001140361-26-017105:ny20063059x2_defa14a.htm%22
FMC,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220000950103-26-006189:dp245678_defa14a.htm%22
SWKS,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001104659-26-048820:tm261577d10_defa14a.htm%22
SKYT,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001140361-26-016810:ny20064068x2_defa14a.htm%22
VITL,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-182084:d105594ddefa14a.htm%22
OVID,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001628280-26-027624:ovid-20260427.htm%22
RYM,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001213900-26-047685:ea0286708-03.htm%22
CDNA,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001217234-26-000029:caredx-2026definitiveaddit.htm%22
EYPT,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-182077:eypt_defa_14a_04-27-2026.htm%22
VERX,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001104659-26-049446:verx-20260427xdefa14a.htm%22
SNSE,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-182149:d79730ddefa14a.htm%22
SVC,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001104659-26-049433:tm2612749-1_defa14a.htm%22
MCRB,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001140361-26-017092:ef20071345_defa14a.htm%22
MIAX,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001628280-26-027314:defa14a-noticeandproxycard.htm%22
PENN,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001140361-26-016848:ny20062568x2_defa14a.htm%22
NVCT,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001104659-26-049480:tm261542d3_defa14a.htm%22
ULYX,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-178999:d119244dsctota.htm%22
TRUP,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001371285-26-000082:defa14ainternetavailabilit.htm%22
ANNX,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001140361-26-017088:ny20063060x3_defa14a.htm%22
BCAX,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001628280-26-027321:defa14anotice2026.htm%22
RIVN,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001874178-26-000025:a2026proxystatementnoticed.htm%22
SD,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001140361-26-017134:ny20066631x2_defa14a.htm%22
EBS,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-182326:d109259ddefa14a.htm%22
REAL,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001573221-26-000037:defa14a-2026additionalvoti.htm%22
SION,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001628280-26-027496:a2026sionnatherapeuticsinc.htm%22
TLF,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001140361-26-016858:ny20064725x2_defa14a.htm%22
BFLY,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001140361-26-017120:ny20068165x2_defa14a.htm%22
GTBIF,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-178839:ntce_avlbty_2026_disable.htm%22
GYRE,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001140361-26-017130:ny20063852x4_defa14a.htm%22
COOK,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001628280-26-027528:traeger-2026proxycarddefa1.htm%22
QURE,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001104659-26-048975:qure-20260427xdefa14a.htm%22
YEXT,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001628280-26-027492:yext2026proxynotice.htm%22
IMKTA,TENDER_OFFER,"SC TO-T,DEFA14A",1,2026-04-27,Tender/Proxy,https://efts.sec.gov/LATEST/search-index?q=%220001140361-26-017109:ef20071599_defa14a.htm%22
QNCX,STRATEGIC_REVIEW,8-K,1,2026-03-30,Strategic Review,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-130489:d57124dex991.htm%22
BIRD,STRATEGIC_REVIEW,8-K,1,2026-04-20,Strategic Review,https://efts.sec.gov/LATEST/search-index?q=%220001193125-26-164338:d34261dex992.htm%22
NVRI,STRATEGIC_REVIEW,8-K,1,2026-04-27,Strategic Review,https://efts.sec.gov/LATEST/search-index?q=%220000045876-26-000075:hsc-20260427.htm%22
LBRT,STRATEGIC_REVIEW,8-K,1,2026-03-30,Strategic Review,https://efts.sec.gov/LATEST/search-index?q=%220001999371-26-007202:ex10-1.htm%22
ELSE,STRATEGIC_REVIEW,8-K,1,2026-04-27,Strategic Review,https://efts.sec.gov/LATEST/search-index?q=%220000897101-26-000148:a04242026_ex2-1.htm%22
