season,year,sst_total,anomaly,regime,captured_at
DJF,2019,27.39,+0.89,Weak El Nino,2026-04-27T22:58:38Z
JFM,2019,27.59,+0.86,Weak El Nino,2026-04-27T22:58:38Z
FMA,2019,28.01,+0.84,Weak El Nino,2026-04-27T22:58:38Z
MAM,2019,28.34,+0.77,Weak El Nino,2026-04-27T22:58:38Z
AMJ,2019,28.37,+0.64,Weak El Nino,2026-04-27T22:58:38Z
MJJ,2019,28.10,+0.52,Weak El Nino,2026-04-27T22:58:38Z
JJA,2019,27.57,+0.33,Neutral,2026-04-27T22:58:38Z
JAS,2019,27.10,+0.19,Neutral,2026-04-27T22:58:38Z
ASO,2019,26.95,+0.23,Neutral,2026-04-27T22:58:38Z
SON,2019,27.06,+0.39,Neutral,2026-04-27T22:58:38Z
OND,2019,27.18,+0.58,Weak El Nino,2026-04-27T22:58:38Z
NDJ,2019,27.17,+0.66,Weak El Nino,2026-04-27T22:58:38Z
DJF,2020,27.14,+0.64,Weak El Nino,2026-04-27T22:58:38Z
JFM,2020,27.35,+0.63,Weak El Nino,2026-04-27T22:58:38Z
FMA,2020,27.70,+0.53,Weak El Nino,2026-04-27T22:58:38Z
MAM,2020,27.87,+0.30,Neutral,2026-04-27T22:58:38Z
AMJ,2020,27.75,+0.01,Neutral,2026-04-27T22:58:38Z
MJJ,2020,27.35,-0.23,Neutral,2026-04-27T22:58:38Z
JJA,2020,26.88,-0.36,Neutral,2026-04-27T22:58:38Z
JAS,2020,26.38,-0.53,Weak La Nina,2026-04-27T22:58:38Z
ASO,2020,25.87,-0.85,Weak La Nina,2026-04-27T22:58:38Z
SON,2020,25.54,-1.12,Moderate La Nina,2026-04-27T22:58:38Z
OND,2020,25.40,-1.20,Moderate La Nina,2026-04-27T22:58:38Z
NDJ,2020,25.43,-1.08,Moderate La Nina,2026-04-27T22:58:38Z
DJF,2021,25.59,-0.91,Weak La Nina,2026-04-27T22:58:38Z
JFM,2021,25.94,-0.79,Weak La Nina,2026-04-27T22:58:38Z
FMA,2021,26.46,-0.71,Weak La Nina,2026-04-27T22:58:38Z
MAM,2021,27.03,-0.55,Weak La Nina,2026-04-27T22:58:38Z
AMJ,2021,27.35,-0.39,Neutral,2026-04-27T22:58:38Z
MJJ,2021,27.28,-0.30,Neutral,2026-04-27T22:58:38Z
JJA,2021,26.89,-0.35,Neutral,2026-04-27T22:58:38Z
JAS,2021,26.46,-0.45,Neutral,2026-04-27T22:58:38Z
ASO,2021,26.09,-0.63,Weak La Nina,2026-04-27T22:58:38Z
SON,2021,25.90,-0.76,Weak La Nina,2026-04-27T22:58:38Z
OND,2021,25.69,-0.91,Weak La Nina,2026-04-27T22:58:38Z
NDJ,2021,25.63,-0.87,Weak La Nina,2026-04-27T22:58:38Z
DJF,2022,25.67,-0.82,Weak La Nina,2026-04-27T22:58:38Z
JFM,2022,25.94,-0.79,Weak La Nina,2026-04-27T22:58:38Z
FMA,2022,26.31,-0.86,Weak La Nina,2026-04-27T22:58:38Z
MAM,2022,26.62,-0.95,Weak La Nina,2026-04-27T22:58:38Z
AMJ,2022,26.84,-0.90,Weak La Nina,2026-04-27T22:58:38Z
MJJ,2022,26.80,-0.78,Weak La Nina,2026-04-27T22:58:38Z
JJA,2022,26.48,-0.76,Weak La Nina,2026-04-27T22:58:38Z
JAS,2022,26.04,-0.87,Weak La Nina,2026-04-27T22:58:38Z
ASO,2022,25.75,-0.97,Weak La Nina,2026-04-27T22:58:38Z
SON,2022,25.72,-0.94,Weak La Nina,2026-04-27T22:58:38Z
OND,2022,25.76,-0.85,Weak La Nina,2026-04-27T22:58:38Z
NDJ,2022,25.79,-0.71,Weak La Nina,2026-04-27T22:58:38Z
DJF,2023,25.96,-0.54,Weak La Nina,2026-04-27T22:58:38Z
JFM,2023,26.44,-0.29,Neutral,2026-04-27T22:58:38Z
FMA,2023,27.15,-0.02,Neutral,2026-04-27T22:58:38Z
MAM,2023,27.85,+0.27,Neutral,2026-04-27T22:58:38Z
AMJ,2023,28.31,+0.57,Weak El Nino,2026-04-27T22:58:38Z
MJJ,2023,28.42,+0.84,Weak El Nino,2026-04-27T22:58:38Z
JJA,2023,28.36,+1.12,Moderate El Nino,2026-04-27T22:58:38Z
JAS,2023,28.28,+1.37,Moderate El Nino,2026-04-27T22:58:38Z
ASO,2023,28.32,+1.60,Strong El Nino,2026-04-27T22:58:38Z
SON,2023,28.49,+1.83,Strong El Nino,2026-04-27T22:58:38Z
OND,2023,28.60,+1.99,Strong El Nino,2026-04-27T22:58:38Z
NDJ,2023,28.57,+2.06,Strong El Nino,2026-04-27T22:58:38Z
DJF,2024,28.42,+1.92,Strong El Nino,2026-04-27T22:58:38Z
JFM,2024,28.35,+1.62,Strong El Nino,2026-04-27T22:58:38Z
FMA,2024,28.43,+1.26,Moderate El Nino,2026-04-27T22:58:38Z
MAM,2024,28.39,+0.82,Weak El Nino,2026-04-27T22:58:38Z
AMJ,2024,28.22,+0.49,Neutral,2026-04-27T22:58:38Z
MJJ,2024,27.80,+0.22,Neutral,2026-04-27T22:58:38Z
JJA,2024,27.33,+0.08,Neutral,2026-04-27T22:58:38Z
JAS,2024,26.85,-0.07,Neutral,2026-04-27T22:58:38Z
ASO,2024,26.55,-0.17,Neutral,2026-04-27T22:58:38Z
SON,2024,26.46,-0.21,Neutral,2026-04-27T22:58:38Z
OND,2024,26.30,-0.30,Neutral,2026-04-27T22:58:38Z
NDJ,2024,26.09,-0.42,Neutral,2026-04-27T22:58:38Z
DJF,2025,26.05,-0.45,Neutral,2026-04-27T22:58:38Z
JFM,2025,26.48,-0.24,Neutral,2026-04-27T22:58:38Z
FMA,2025,27.11,-0.06,Neutral,2026-04-27T22:58:38Z
MAM,2025,27.60,+0.02,Neutral,2026-04-27T22:58:38Z
AMJ,2025,27.72,-0.02,Neutral,2026-04-27T22:58:38Z
MJJ,2025,27.54,-0.04,Neutral,2026-04-27T22:58:38Z
JJA,2025,27.10,-0.14,Neutral,2026-04-27T22:58:38Z
JAS,2025,26.63,-0.28,Neutral,2026-04-27T22:58:38Z
ASO,2025,26.32,-0.40,Neutral,2026-04-27T22:58:38Z
SON,2025,26.16,-0.51,Weak La Nina,2026-04-27T22:58:38Z
OND,2025,26.05,-0.55,Weak La Nina,2026-04-27T22:58:38Z
NDJ,2025,25.97,-0.54,Weak La Nina,2026-04-27T22:58:38Z
DJF,2026,26.13,-0.37,Neutral,2026-04-27T22:58:38Z
JFM,2026,26.57,-0.16,Neutral,2026-04-27T22:58:38Z
