country,iso3,indicator,year,value_pct,yoy_delta,captured_at
AND,AND,cpi_infl_pct,2028,2.000,-0.300,2026-04-27T23:10:43Z
AND,AND,cpi_infl_pct,2029,2.000,+0.000,2026-04-27T23:10:43Z
AND,AND,cpi_infl_pct,2030,2.000,+0.000,2026-04-27T23:10:43Z
AND,AND,cpi_infl_pct,2031,2.000,+0.000,2026-04-27T23:10:43Z
APQ,APQ,cpi_infl_pct,2016,2.600,+0.100,2026-04-27T23:10:43Z
APQ,APQ,cpi_infl_pct,2017,2.700,+0.100,2026-04-27T23:10:43Z
APQ,APQ,cpi_infl_pct,2018,3.000,+0.300,2026-04-27T23:10:43Z
APQ,APQ,cpi_infl_pct,2019,3.400,+0.400,2026-04-27T23:10:43Z
APQ,APQ,cpi_infl_pct,2020,3.200,-0.200,2026-04-27T23:10:43Z
APQ,APQ,cpi_infl_pct,2021,3.000,-0.200,2026-04-27T23:10:43Z
APQ,APQ,cpi_infl_pct,2022,6.300,+3.300,2026-04-27T23:10:43Z
APQ,APQ,cpi_infl_pct,2023,4.800,-1.500,2026-04-27T23:10:43Z
APQ,APQ,cpi_infl_pct,2024,4.300,-0.500,2026-04-27T23:10:43Z
APQ,APQ,cpi_infl_pct,2025,2.700,-1.600,2026-04-27T23:10:43Z
APQ,APQ,cpi_infl_pct,2026,3.700,+1.000,2026-04-27T23:10:43Z
APQ,APQ,cpi_infl_pct,2027,3.300,-0.400,2026-04-27T23:10:43Z
APQ,APQ,cpi_infl_pct,2028,3.200,-0.100,2026-04-27T23:10:43Z
APQ,APQ,cpi_infl_pct,2029,3.100,-0.100,2026-04-27T23:10:43Z
APQ,APQ,cpi_infl_pct,2030,3.200,+0.100,2026-04-27T23:10:43Z
APQ,APQ,cpi_infl_pct,2031,3.200,+0.000,2026-04-27T23:10:43Z
ARE,ARE,cpi_infl_pct,2016,1.600,-2.500,2026-04-27T23:10:43Z
ARE,ARE,cpi_infl_pct,2017,2.000,+0.400,2026-04-27T23:10:43Z
ARE,ARE,cpi_infl_pct,2018,3.100,+1.100,2026-04-27T23:10:43Z
ARE,ARE,cpi_infl_pct,2019,-1.900,-5.000,2026-04-27T23:10:43Z
ARE,ARE,cpi_infl_pct,2020,-2.100,-0.200,2026-04-27T23:10:43Z
ARE,ARE,cpi_infl_pct,2021,-0.100,+2.000,2026-04-27T23:10:43Z
ARE,ARE,cpi_infl_pct,2022,4.800,+4.900,2026-04-27T23:10:43Z
ARE,ARE,cpi_infl_pct,2023,1.600,-3.200,2026-04-27T23:10:43Z
ARE,ARE,cpi_infl_pct,2024,1.700,+0.100,2026-04-27T23:10:43Z
ARE,ARE,cpi_infl_pct,2025,1.300,-0.400,2026-04-27T23:10:43Z
ARE,ARE,cpi_infl_pct,2026,2.500,+1.200,2026-04-27T23:10:43Z
ARE,ARE,cpi_infl_pct,2027,2.000,-0.500,2026-04-27T23:10:43Z
ARE,ARE,cpi_infl_pct,2028,2.000,+0.000,2026-04-27T23:10:43Z
