country,iso2,period,hicp_annual_pct,mom_delta,captured_at
Euro Area,EA20,2025-11,2.10,+0.00,2026-04-27T23:10:44Z
Euro Area,EA20,2025-12,2.00,-0.10,2026-04-27T23:10:44Z
Spain,ES,2023-01,5.90,,2026-04-27T23:10:44Z
Spain,ES,2023-02,6.00,+0.10,2026-04-27T23:10:44Z
Spain,ES,2023-03,3.10,-2.90,2026-04-27T23:10:44Z
Spain,ES,2023-04,3.80,+0.70,2026-04-27T23:10:44Z
Spain,ES,2023-05,2.90,-0.90,2026-04-27T23:10:44Z
Spain,ES,2023-06,1.60,-1.30,2026-04-27T23:10:44Z
Spain,ES,2023-07,2.10,+0.50,2026-04-27T23:10:44Z
Spain,ES,2023-08,2.40,+0.30,2026-04-27T23:10:44Z
Spain,ES,2023-09,3.30,+0.90,2026-04-27T23:10:44Z
Spain,ES,2023-10,3.50,+0.20,2026-04-27T23:10:44Z
Spain,ES,2023-11,3.30,-0.20,2026-04-27T23:10:44Z
Spain,ES,2023-12,3.30,+0.00,2026-04-27T23:10:44Z
Spain,ES,2024-01,3.50,+0.20,2026-04-27T23:10:44Z
Spain,ES,2024-02,2.90,-0.60,2026-04-27T23:10:44Z
Spain,ES,2024-03,3.30,+0.40,2026-04-27T23:10:44Z
Spain,ES,2024-04,3.40,+0.10,2026-04-27T23:10:44Z
Spain,ES,2024-05,3.80,+0.40,2026-04-27T23:10:44Z
Spain,ES,2024-06,3.60,-0.20,2026-04-27T23:10:44Z
Spain,ES,2024-07,2.90,-0.70,2026-04-27T23:10:44Z
Spain,ES,2024-08,2.40,-0.50,2026-04-27T23:10:44Z
Spain,ES,2024-09,1.70,-0.70,2026-04-27T23:10:44Z
Spain,ES,2024-10,1.80,+0.10,2026-04-27T23:10:44Z
Spain,ES,2024-11,2.40,+0.60,2026-04-27T23:10:44Z
Spain,ES,2024-12,2.80,+0.40,2026-04-27T23:10:44Z
Spain,ES,2025-01,2.90,+0.10,2026-04-27T23:10:44Z
Spain,ES,2025-02,2.90,+0.00,2026-04-27T23:10:44Z
Spain,ES,2025-03,2.20,-0.70,2026-04-27T23:10:44Z
Spain,ES,2025-04,2.20,+0.00,2026-04-27T23:10:44Z
Spain,ES,2025-05,2.00,-0.20,2026-04-27T23:10:44Z
Spain,ES,2025-06,2.30,+0.30,2026-04-27T23:10:44Z
Spain,ES,2025-07,2.70,+0.40,2026-04-27T23:10:44Z
Spain,ES,2025-08,2.70,+0.00,2026-04-27T23:10:44Z
Spain,ES,2025-09,3.00,+0.30,2026-04-27T23:10:44Z
Spain,ES,2025-10,3.20,+0.20,2026-04-27T23:10:44Z
Spain,ES,2025-11,3.20,+0.00,2026-04-27T23:10:44Z
Spain,ES,2025-12,3.00,-0.20,2026-04-27T23:10:44Z
European Union,EU27_2020,2023-01,10.00,,2026-04-27T23:10:44Z
European Union,EU27_2020,2023-02,9.90,-0.10,2026-04-27T23:10:44Z
European Union,EU27_2020,2023-03,8.30,-1.60,2026-04-27T23:10:44Z
European Union,EU27_2020,2023-04,8.10,-0.20,2026-04-27T23:10:44Z
European Union,EU27_2020,2023-05,7.10,-1.00,2026-04-27T23:10:44Z
European Union,EU27_2020,2023-06,6.40,-0.70,2026-04-27T23:10:44Z
European Union,EU27_2020,2023-07,6.10,-0.30,2026-04-27T23:10:44Z
European Union,EU27_2020,2023-08,5.90,-0.20,2026-04-27T23:10:44Z
European Union,EU27_2020,2023-09,4.90,-1.00,2026-04-27T23:10:44Z
European Union,EU27_2020,2023-10,3.60,-1.30,2026-04-27T23:10:44Z
European Union,EU27_2020,2023-11,3.10,-0.50,2026-04-27T23:10:44Z
European Union,EU27_2020,2023-12,3.40,+0.30,2026-04-27T23:10:44Z
European Union,EU27_2020,2024-01,3.10,-0.30,2026-04-27T23:10:44Z
European Union,EU27_2020,2024-02,2.80,-0.30,2026-04-27T23:10:44Z
European Union,EU27_2020,2024-03,2.60,-0.20,2026-04-27T23:10:44Z
European Union,EU27_2020,2024-04,2.60,+0.00,2026-04-27T23:10:44Z
European Union,EU27_2020,2024-05,2.70,+0.10,2026-04-27T23:10:44Z
European Union,EU27_2020,2024-06,2.60,-0.10,2026-04-27T23:10:44Z
European Union,EU27_2020,2024-07,2.80,+0.20,2026-04-27T23:10:44Z
European Union,EU27_2020,2024-08,2.40,-0.40,2026-04-27T23:10:44Z
European Union,EU27_2020,2024-09,2.10,-0.30,2026-04-27T23:10:44Z
European Union,EU27_2020,2024-10,2.30,+0.20,2026-04-27T23:10:44Z
European Union,EU27_2020,2024-11,2.50,+0.20,2026-04-27T23:10:44Z
European Union,EU27_2020,2024-12,2.70,+0.20,2026-04-27T23:10:44Z
European Union,EU27_2020,2025-01,2.80,+0.10,2026-04-27T23:10:44Z
European Union,EU27_2020,2025-02,2.70,-0.10,2026-04-27T23:10:44Z
European Union,EU27_2020,2025-03,2.50,-0.20,2026-04-27T23:10:44Z
European Union,EU27_2020,2025-04,2.40,-0.10,2026-04-27T23:10:44Z
European Union,EU27_2020,2025-05,2.20,-0.20,2026-04-27T23:10:44Z
European Union,EU27_2020,2025-06,2.30,+0.10,2026-04-27T23:10:44Z
European Union,EU27_2020,2025-07,2.40,+0.10,2026-04-27T23:10:44Z
European Union,EU27_2020,2025-08,2.40,+0.00,2026-04-27T23:10:44Z
European Union,EU27_2020,2025-09,2.60,+0.20,2026-04-27T23:10:44Z
European Union,EU27_2020,2025-10,2.50,-0.10,2026-04-27T23:10:44Z
European Union,EU27_2020,2025-11,2.40,-0.10,2026-04-27T23:10:44Z
European Union,EU27_2020,2025-12,2.30,-0.10,2026-04-27T23:10:44Z
Finland,FI,2023-01,7.90,,2026-04-27T23:10:44Z
Finland,FI,2023-02,8.00,+0.10,2026-04-27T23:10:44Z
Finland,FI,2023-03,6.70,-1.30,2026-04-27T23:10:44Z
Finland,FI,2023-04,6.30,-0.40,2026-04-27T23:10:44Z
Finland,FI,2023-05,5.00,-1.30,2026-04-27T23:10:44Z
Finland,FI,2023-06,4.10,-0.90,2026-04-27T23:10:44Z
Finland,FI,2023-07,4.20,+0.10,2026-04-27T23:10:44Z
Finland,FI,2023-08,3.10,-1.10,2026-04-27T23:10:44Z
Finland,FI,2023-09,3.00,-0.10,2026-04-27T23:10:44Z
Finland,FI,2023-10,2.40,-0.60,2026-04-27T23:10:44Z
