filing_date,form,ticker,company,cik,sic,state,period_ending,accession,captured_at
2026-04-01,NT 10-K,STQN,STRATEGIC ACQUISITIONS INC /NV/,0000847942,6199,SC,2025-12-31,0001493152-26-014487,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,BIXT,"BIOXYTRAN, INC",0001445815,2834,MA,2025-12-31,0001493152-26-014474,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,QWTR,"Quest Water Global, Inc.",0001487091,3585,A1,2025-12-31,0001493152-26-014393,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,ASFH,ASIAFIN HOLDINGS CORP.,0001828748,7389,N8,2025-12-31,0001493152-26-014445,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Alchemy Investments Acquisition Corp 1,0001901336,6770,DE,2025-12-31,0001104659-26-038242,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,BRQL,DYNAMIC AEROSPACE SYSTEMS Corp,0001854526,7374,MI,2025-12-31,0001477932-26-001912,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Zeo Energy Corp.,0001865506,1700,TX,2025-12-31,0001213900-26-037780,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Pyrophyte Acquisition Corp.,0001848756,6770,TX,2025-12-31,0001213900-26-038526,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,RBTK,ZHEN DING RESOURCES INC.,0001594204,1000,A8,2025-12-31,0001214659-26-004137,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,MNTR,"Mentor Capital, Inc.",0001599117,6799,TX,2025-12-31,0001493152-26-014585,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,AUMN,Golden Minerals Co,0001011509,1040,CO,2025-12-31,0001176256-26-000038,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,AAPI,"Apple iSports Group, Inc.",0001134982,6411,CA,2025-12-31,0001477932-26-001904,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,OBTC,Osprey Bitcoin Trust,0001767057,6221,FL,2025-12-31,0001493152-26-014436,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,SNYR,Synergy CHC Corp.,0001562733,2833,ME,2025-12-31,0001213900-26-037819,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,WINDTREE THERAPEUTICS INC /DE/,0000946486,2836,PA,2025-12-31,0001437749-26-010838,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,PMHS,"Polomar Health Services, Inc.",0001265521,2834,FL,2025-12-31,0001493152-26-014496,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,"Rain Enhancement Technologies Holdco, Inc.",0002028293,3590,FL,2025-12-31,0001213900-26-038025,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,"Nixxy, Inc.",0001462223,7371,NY,2025-12-31,0001683168-26-002569,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,IPST,"IP STRATEGY HOLDINGS, INC.",0001788230,2080,WA,2025-12-31,0001788230-26-000031,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Scilex Holding Co,0001820190,2836,CA,2025-12-31,0001193125-26-135582,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,AAME,ATLANTIC AMERICAN CORP,0000008177,6311,GA,2025-12-31,0001140361-26-012660,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,SGA,SAGA COMMUNICATIONS INC,0000886136,4832,MI,2025-12-31,0001104659-26-038286,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,"SHF Holdings, Inc.",0001854963,6199,CO,2025-12-31,0001493152-26-014395,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,PNRG,PRIMEENERGY RESOURCES CORP,0000056868,1311,TX,2025-12-31,0001437749-26-010798,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,IX Acquisition Corp.,0001852019,4899,,2025-12-31,0001104659-26-038087,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,TGLO,THEGLOBE COM INC,0001066684,7310,FL,2025-12-31,0001104659-26-038013,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,QNCX,"Quince Therapeutics, Inc.",0001662774,2836,CA,2025-12-31,0001193125-26-138017,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Integrated Wellness Acquisition Corp,0001877557,5960,NY,2025-12-31,0001104659-26-038495,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,AMZE,"AMAZE HOLDINGS, INC.",0001880343,5961,CA,2025-12-31,0001493152-26-014428,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,OZSC,"OZOP ENERGY SOLUTIONS, INC.",0001679817,3690,NY,2025-12-31,0001493152-26-014607,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Plum Acquisition Corp. III,0001845550,6770,NY,2025-12-31,0001213900-26-038504,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,OLOX,OLENOX INDUSTRIES INC.,0001023994,5030,TX,2025-12-31,0001213900-26-038062,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,TKLS,"Trutankless, Inc.",0001429393,3630,AZ,2025-12-31,0001477932-26-001893,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,APTN,"ADAPTIN BIO, INC.",0001938571,2836,NC,2025-12-31,0001213900-26-038402,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,"Aimei Health Technology Co., Ltd.",0001979005,6770,NY,2025-12-31,0001493152-26-014635,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,ATLANTIC INTERNATIONAL CORP.,0001605888,7363,NJ,2025-12-31,0001605888-26-000009,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Data Storage Corp,0001419951,7374,NY,2025-12-31,0001731122-26-000513,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,VS,Versus Systems Inc.,0001701963,7374,,2025-12-31,0001213900-26-038582,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,OLB,"OLB GROUP, INC.",0001314196,7389,NY,2025-12-31,0001213900-26-037815,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,MTEX,MANNATECH INC,0001056358,2833,TX,2025-12-31,0001437749-26-010913,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,"HARBOR DIVERSIFIED, INC.",0000899394,4512,WI,2025-12-31,0001193125-26-138185,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Elite Performance Holding Corp,0001753681,2080,FL,2025-12-31,0001477932-26-001885,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,D. Boral Acquisition I Corp.,0002095161,6770,NY,2025-12-31,0001213900-26-037901,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,NFSN,"Nongfu Shop Digital New Retail Co., Ltd",0001284454,3714,,2025-12-31,0001477932-26-001914,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,MLP,MAUI LAND & PINEAPPLE CO INC,0000063330,6500,HI,2025-12-31,0001437749-26-010800,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,ILAL,International Land Alliance Inc.,0001657214,6552,CA,2025-12-31,0001493152-26-014604,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Drugs Made In America Acquisition Corp.,0002028614,6770,FL,2025-12-31,0001213900-26-038499,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Texas Republic Capital Corp,0001560452,6311,TX,2025-12-31,0001185185-26-001207,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,PPSI,"PIONEER POWER SOLUTIONS, INC.",0001449792,3690,NJ,2025-12-31,0001493152-26-014643,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,VERI,"Veritone, Inc.",0001615165,7374,CA,2025-12-31,0001628280-26-022577,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,BRBF,BRB Foods Inc.,0001976870,2000,DE,2025-12-31,0001477932-26-001933,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,"Sotherly Hotels Inc.  (SOHON, SOHOO)SOTHERLY HOTELS LP",0001301236,6798,VA,2025-12-31,0001193125-26-135570,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,CHUC,"Charlie's Holdings, Inc.",0001134765,2833,CA,2025-12-31,0001437749-26-010784,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,"Graf Global Corp.  (GRAF, GRAF-UN, GRAF-WT)",0001897463,6770,TX,2025-12-31,0001104659-26-038217,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,RENX,RenX Enterprises Corp.,0001959023,4953,FL,2025-12-31,0001213900-26-037997,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,"Nauticus Robotics, Inc.",0001849820,3569,TX,2025-12-31,0001849820-26-000037,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,FOFA,"FAMILY OFFICE OF AMERICA, INC.",0001871181,3841,CO,2025-12-31,0001493152-26-014420,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,FTII,FutureTech II Acquisition Corp.,0001889450,2836,NY,2025-12-31,0001493152-26-014528,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,EHSI,Elite Health Systems Inc.,0001089815,8093,CA,2025-12-31,0001437749-26-010876,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,XWEL,"XWELL, Inc.",0001410428,7200,NY,2025-12-31,0001104659-26-037976,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,JUNS,"JUPITER NEUROSCIENCES, INC.",0001679628,2834,FL,2025-12-31,0001493152-26-014681,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,DREM,Dream Homes & Development Corp.,0001518336,1531,NJ,2025-12-31,0001493152-26-014712,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,WSTRF,Western Uranium & Vanadium Corp.,0001621906,1090,,2025-12-31,0001213900-26-038555,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,"EON Resources Inc.  (EONR, EONR-WT)",0001842556,1311,TX,2025-12-31,0001213900-26-038008,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,HYEX,HEALTHY EXTRACTS INC.,0001630176,2833,NV,2025-12-31,0001096906-26-000452,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,CNFN,CFN Enterprises Inc.,0001352952,7389,MT,2025-12-31,0001096906-26-000467,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,OMQS,OMNIQ Corp.,0000278165,7373,UT,2025-12-31,0001493152-26-014708,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,"GENERATION INCOME PROPERTIES, INC.",0001651721,6798,FL,2026-04-01,0001193125-26-138232,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,RIME,"Algorhythm Holdings, Inc.",0000923601,7373,FL,2025-12-31,0001493152-26-014652,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,FJET,"Starfighters Space, Inc.",0001947016,4512,FL,2025-12-31,0001062993-26-001767,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Sound Cave Technology Inc.,0001912540,2390,A6,2025-12-31,0001477932-26-001888,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Keenova Therapeutics plc,0001567892,2834,,2025-12-31,0001628280-26-022689,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,SIDU,Sidus Space Inc.,0001879726,4812,FL,2025-12-31,0001493152-26-014466,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,LARK,LANDMARK BANCORP INC,0001141688,6021,KS,2025-12-31,0001493152-26-014488,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,CLOW,"Cloudweb, Inc.",0001619227,7370,CA,2025-12-31,0001640334-26-000612,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,SBMW,"Security Midwest Bancorp, Inc.",0002036060,6036,IL,2026-03-31,0000943374-26-000155,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,BRLL,Barrel Energy Inc.,0001631463,1311,NV,2025-12-31,0001477932-26-001908,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,GMER,"GOOD GAMING, INC.",0001454742,7372,PA,2025-12-31,0001493152-26-014571,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Chain Bridge I,0001845149,6770,DE,2025-12-31,0001213900-26-038065,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,BEEM,Beam Global,0001398805,3690,CA,2025-12-31,0001437749-26-010787,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,ClimateRock,0001903392,6770,X0,2025-12-31,0001213900-26-038502,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,JAGX,"Jaguar Health, Inc.",0001585608,2834,CA,2025-12-31,0001193125-26-137948,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,KRMN,Karman Holdings Inc.,0002040127,3728,CA,2025-12-31,0002040127-26-000010,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Cuentas Inc.,0001424657,5140,FL,2025-12-31,0001213900-26-037778,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,RAKR,Rainmaker Worldwide Inc.,0001872292,2086,NV,2025-12-31,0001493152-26-014481,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,"Crucial Innovations, Corp.",0001766016,8200,X0,2025-12-31,0001712543-26-000012,2026-04-27T23:04:07Z
2026-04-01,NT 10-K/A,LRHC,La Rosa Holdings Corp.,0001879403,6531,FL,2025-12-31,0001213900-26-038513,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,SPND,SPINDLETOP OIL & GAS CO,0000867038,1311,TX,2025-12-31,0001017386-26-000021,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Drugs Made In America Acquisition II Corp.,0002040475,6770,FL,2025-12-31,0001213900-26-038498,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,MDEX,Madison Technologies Inc.,0001318268,5900,NY,2025-12-31,0001753926-26-000605,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Unicoin Inc.,0001740742,7372,NY,2025-12-31,0001829126-26-002961,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,ALCE,"Alternus Clean Energy, Inc.",0001883984,4931,NY,2025-12-31,0001437749-26-010825,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,CPHI,"CHINA PHARMA HOLDINGS, INC.",0001106644,2834,F4,2025-12-31,0001213900-26-038495,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,INTEGRATED RAIL & RESOURCES INC.,0002044112,6500,FL,2025-12-31,0001213900-26-037878,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,BBGI,BEASLEY BROADCAST GROUP INC,0001099160,4832,FL,2025-12-31,0001193125-26-137920,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,FSTJ,First America Resources Corp,0001525306,5065,IL,2025-12-31,0001477932-26-001902,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,ESH Acquisition Corp.,0001918661,6770,NY,2025-12-31,0001213900-26-038594,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,NewHold Investment Corp. III,0002043699,6770,NY,2025-12-31,0001213900-26-037913,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,COSM,Cosmos Health Inc.,0001474167,5122,J3,2025-12-31,0001477932-26-001897,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Global Gas Corp,0001817232,2810,NY,2025-12-31,0001213900-26-038486,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,VEEA INC.,0001840317,7373,NY,2025-12-31,0001213900-26-038496,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,"SPLASH BEVERAGE GROUP, INC.",0001553788,2080,FL,2025-12-31,0001731122-26-000516,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Bowen Acquisition Corp,0001973056,2840,NY,2025-12-31,0001493152-26-014648,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,LIFD,LFTD PARTNERS INC.,0001391135,2834,FL,2025-12-31,0001096906-26-000450,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,XELB,"XCel Brands, Inc.",0001083220,6794,NY,2025-12-31,0001104659-26-038281,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,"QVC Group, Inc.",0001355096,5961,PA,2025-12-31,0001104659-26-037941,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,CAPC,"CAPSTONE COMPANIES, INC.",0000814926,3640,FL,2025-12-31,0001903596-26-000122,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,REBN,"Reborn Coffee, Inc.",0001707910,5812,CA,2025-12-31,0001213900-26-038007,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,"Lodging Fund REIT III, Inc.",0001745032,6798,ND,2025-12-31,0001104659-26-038449,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,CDT Equity Inc.,0001896212,2834,FL,2025-12-31,0001493152-26-014626,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Sports Entertainment Gaming Global Corp,0001673481,7372,TX,2025-12-31,0001493152-26-014651,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,"Profusa, Inc.",0001859807,3841,NY,2025-12-31,0001213900-26-037693,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,EQS,"EQUUS TOTAL RETURN, INC.",0000878932,,TX,2025-12-31,0001712543-26-000014,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,FRMM,FORUM MARKETS Inc,0001690080,6199,FL,2025-12-31,0001213900-26-037875,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,NYC,American Strategic Investment Co.,0001595527,6798,RI,2025-12-31,0001104659-26-038111,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,SONM,"DNA X, Inc.",0001178697,3661,CA,2025-12-31,0001493152-26-014515,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,AWHL,Aspira Women's Health Inc.,0000926617,2835,TX,2025-12-31,0000926617-26-000016,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,OCLN,"ORIGINCLEAR, INC.",0001419793,3559,FL,2025-12-31,0001213900-26-038406,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,STI,Solidion Technology Inc.,0001881551,3690,TX,2025-12-31,0001213900-26-038617,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,HGYN,HONG YUAN HOLDING GROUP,0001324759,2821,,2025-12-31,0001493152-26-014715,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,RMTG,Regenerative Medical Technology Group Inc.,0001760026,5990,FL,2025-12-31,0001213900-26-038213,2026-04-27T23:04:07Z
2026-04-01,NT 10-K,,Cactus Acquisition Corp. 1 Ltd,0001865861,6770,NJ,2025-12-31,0001493152-26-014660,2026-04-27T23:04:07Z
2026-04-01,NT 10-Q,CYCA,CYTTA CORP.,0001383088,7372,NV,2026-03-31,0001477932-26-001938,2026-04-27T23:04:07Z
2026-03-31,NT 10-K,NNAX,New Momentum Corp.,0001132509,8741,U0,2025-12-31,0001477932-26-001749,2026-04-27T23:04:07Z
2026-03-31,NT 10-K,DBGI,"Digital Brands Group, Inc.",0001668010,5600,CA,2025-12-31,0001493152-26-014111,2026-04-27T23:04:07Z
2026-03-31,NT 10-K,KUST,"KUSTOM ENTERTAINMENT, INC.",0001342958,3663,KS,2025-12-31,0001493152-26-014112,2026-04-27T23:04:07Z
2026-03-31,NT 10-K,,Sunshine Biopharma Inc.,0001402328,2834,FL,2025-12-31,0001683168-26-002539,2026-04-27T23:04:07Z
2026-03-31,NT 10-K,BFNH,"BIOFORCE NANOSCIENCES HOLDINGS, INC.",0001310488,3826,VA,2025-12-31,0001091818-26-000032,2026-04-27T23:04:07Z
2026-03-31,NT 10-K,TRWD,Tradewinds Universal,0001916558,2000,CA,2025-12-31,0001079973-26-000386,2026-04-27T23:04:07Z
2026-03-31,NT 10-K,CCTC,Catalyst Crew Technologies Corp.,0001477960,7370,,2025-12-31,0001477932-26-001782,2026-04-27T23:04:07Z
2026-03-31,NT 10-K,,TCW Direct Lending LLC,0001603480,,CA,2025-12-31,0001193125-26-134265,2026-04-27T23:04:07Z
2026-03-31,NT 10-K,LRHC,La Rosa Holdings Corp.,0001879403,6531,FL,2025-12-31,0001213900-26-037424,2026-04-27T23:04:07Z
