filed_utc,kind,title,link,summary,pct_change,info_date
2026-01-23T13:30:00Z,gdp,"Gross Domestic Product by State and Personal Income by State, 3rd Quarter 2025",https://www.bea.gov/news/2026/gross-domestic-product-state-and-personal-income-state-3rd-quarter-2025,Real gross domestic product (GDP) increased in all 50 states and the District of Columbia in the third quarter of 2025. State-level changes ranged from a 6.5 percent increase in Kansas to a 0.4 percent increase in North Dakota. Personal income increased in all 50 states and the District of Columbia in the third quarter of 2025. State-level changes ranged from a 6.3 percent increase in Kansas to a ,,3rd Quarter 2025
2026-01-16T15:00:00Z,press,"U.S. International Investment Position, 3rd Quarter 2025",https://www.bea.gov/news/2026/us-international-investment-position-3rd-quarter-2025,"The U.S. net international investment position, the difference between U.S. residents' foreign financial assets and liabilities, was -$27.61 trillion at the end of the third quarter of 2025, according to statistics released today by the U.S. Bureau of Economic Analysis. Assets totaled $41.27 trillion, and liabilities were $68.89 trillion. At the end of the second quarter, the net investment positi",-$27.61 trillion,3rd Quarter 2025
2026-01-14T13:30:00Z,gdp,"U.S. International Transactions, 3rd Quarter 2025",https://www.bea.gov/news/2026/us-international-transactions-3rd-quarter-2025,"The U.S. current-account deficit narrowed by $22.8 billion, or 9.2 percent, to $226.4 billion in the third quarter of 2025, according to statistics released today by BEA. The revised second-quarter deficit was $249.2 billion. The third-quarter deficit was 2.9 percent of current-dollar gross domestic product, down from 3.3 percent in the second quarter. <!--Full Text Link--><a href='https://www.bea",-226.4,3rd quarter 2025
2025-12-05T13:30:00Z,direct_investment,"Activities of U.S. Affiliates of Foreign Multinational Enterprises, 2023",https://www.bea.gov/news/2025/activities-us-affiliates-foreign-multinational-enterprises-2023,"Majority-owned U.S. affiliates of foreign multinational enterprises employed 8.66 million workers in the United States in 2023, a 1.9 percent increase from 8.5 million workers in 2022, according to the U.S. Bureau of Economic Analysis. These affiliates accounted for 6.2 percent of total private-industry employment in the United States in 2023. <!--Full Text Link--><a href='https://www.bea.gov/news",,2023
2025-09-16T14:00:00Z,gdp,"Gross Domestic Product for Puerto Rico, 2023",https://www.bea.gov/news/2025/gross-domestic-product-puerto-rico-2023,"Real gross domestic product for Puerto Rico increased 3.0 percent in 2023 after decreasing 2.1 percent in 2022. The increase in real gross domestic product (GDP) in 2023 primarily reflected an increase in exports. Personal consumption expenditures, government spending, and private fixed investment also increased. These increases were partly offset by a decrease in private inventory investment. Imp",,2023
2025-08-22T12:30:00Z,press,"Activities of U.S. Multinational Enterprises, 2023",https://www.bea.gov/news/2025/activities-us-multinational-enterprises-2023,"Worldwide employment by U.S. multinational enterprises decreased 0.4 percent to 43.9 million workers in 2023 (preliminary) from 44.1 million workers in 2022 (revised), according to statistics released today by the U.S. Bureau of Economic Analysis on the operations and finances of U.S. parent companies and their foreign affiliates. <!--Full Text Link--><a href='https://www.bea.gov/news/2025/activit",,2023
2025-07-22T12:30:00Z,direct_investment,"Direct Investment by Country and Industry, 2024",https://www.bea.gov/news/2025/direct-investment-country-and-industry-2024,"The U.S. direct investment abroad position, or cumulative level of investment, increased $206.3 billion to $6.83 trillion at the end of 2024, according to statistics released today by the U.S. Bureau of Economic Analysis. The increase was led by an $88.4 billion increase in the position in Europe, primarily in Luxembourg and Germany. By industry, manufacturing affiliates had the largest increase, ",,2024
2025-07-11T12:30:00Z,direct_investment,"New Foreign Direct Investment in the United States, 2024",https://www.bea.gov/news/2025/new-foreign-direct-investment-united-states-2024,"Expenditures by foreign direct investors to acquire, establish, or expand U.S. businesses totaled $151.0 billion in 2024, according to preliminary statistics released today by the U.S. Bureau of Economic Analysis. Expenditures decreased $24.9 billion, or 14.2 percent, from $176.0 billion (revised) in 2023 and were below the annual average of $277.2 billion for 2014-2023. As in previous years, acqu",,2024
2025-06-05T14:00:00Z,gdp,"Marine Economy Satellite Account, 2023",https://www.bea.gov/news/2025/marine-economy-satellite-account-2023,"The Marine Economy Satellite Account statistics released today by the U.S. Bureau of Economic Analysis show the marine economy accounted for $511.0 billion, or 1.8 percent, of current-dollar U.S. gross domestic product in 2023, an increase from $482.4 billion in 2022. The marine economy accounted for $826.6 billion, or 1.7 percent, of current-dollar gross output in 2023. <!--Full Text Link--><a hr",,2023
2025-04-02T14:00:00Z,gdp,"Arts and Cultural Production Satellite Account, U.S. and States, 2023",https://www.bea.gov/news/2025/arts-and-cultural-production-satellite-account-us-and-states-2023,"The Arts and Cultural Production Satellite Account released by the U.S. Bureau of Economic Analysis shows that arts and cultural economic activity, adjusted for inflation, increased 6.6 percent in 2023 after increasing 3.8 percent in 2022. By comparison, the broader economy, as measured by real gross domestic product (GDP), increased 2.9 percent in 2023 after increasing 2.5 percent in 2022. Arts a",,"U.S. and States, 2023"
2024-12-12T13:30:00Z,pce_inflation,"Real Personal Consumption Expenditures by State and Real Personal Income by State and Metropolitan Area, 2023",https://www.bea.gov/news/2024/real-personal-consumption-expenditures-state-and-real-personal-income-state-and,"Real personal consumption expenditures (PCE) by state increased in 48 states and the District of Columbia in 2023, with the percent change ranging from 7.3 percent in Maine to -0.6 percent in Alabama. Real PCE for the nation increased 2.5 percent in 2023. <!--Full Text Link--><a href='https://www.bea.gov/news/2024/real-personal-consumption-expenditures-state-and-real-personal-income-state-and'>Ful",,
2024-12-04T13:30:00Z,gdp,"Gross Domestic Product by County and Metropolitan Area, 2023",https://www.bea.gov/news/2024/gross-domestic-product-county-and-metropolitan-area-2023,"In 2023, real gross domestic product (GDP) increased in 2,357 counties, decreased in 734 counties, and was unchanged in 23 counties. The percent change in real GDP ranged from 125.8 percent in Throckmorton County, TX, to -39.6 percent in Lincoln County, WA. <!--Full Text Link--><a href='https://www.bea.gov/news/2024/gross-domestic-product-county-and-metropolitan-area-2023'>Full Text</a><!--Full Te",,
2024-11-21T23:00:00Z,gdp,"Gross Domestic Product for the Commonwealth of the Northern Mariana Islands, 2021 and 2022",https://www.bea.gov/news/2024/gross-domestic-product-commonwealth-northern-mariana-islands-2021-and-2022,"Real gross domestic product (GDP) for the Commonwealth of the Northern Mariana Islands increased 16.7 percent in 2022 and 5.1 percent in 2021 after decreasing 29.1 percent in 2020. The growth in real GDP from 2021 to 2022 reflected increases in exports, government spending, and private fixed investment. These increases were partly offset by a decrease in personal consumption expenditures. Imports,",,
2024-11-20T15:00:00Z,gdp,"Outdoor Recreation Satellite Account, U.S. and States, 2023",https://www.bea.gov/news/2024/outdoor-recreation-satellite-account-us-and-states-2023,"The U.S. Bureau of Economic Analysis released statistics today measuring the outdoor recreation economy for the nation, all 50 states, and the District of Columbia. The new U.S. data show that the value added of the outdoor recreation economy accounted for 2.3 percent ($639.5 billion) of current-dollar gross domestic product (GDP) for the nation in 2023. At the state level, value added for outdoor",,
