recall_id,classification,recall_type,firm,product,reason,recall_initiation_date,status,captured_at
H-0579-2026,Class II,food,"SAPUTO CHEESE USA, INC",CLOVER SONOMA COTTAGE CHEESE LOW FAT 2% MILKFAT NET WT 16OZ UPC 0 70852 54400 7  & 32OZ UPC 0 70852 54200 3 DISTRIBUTED BY: CLOVER-STORNETTA,Potentially under pasteurized. The firm was notified by the California Department of Agriculture that due to the broken seal on the pasteuri,2026-02-21,Ongoing,2026-04-27T23:01:55Z
H-0551-2026,Class II,food,"Willamette Valley Pie Company, LLC",Frozen Raw Bulk 9 inch Blueberry Crumble Pie ES (4 pies/case). Net wt. 38oz. UPC  00022518893257. Handmade - Willamette Valley Pie Company L,Potential contamination with listeria monocytogenes.,2026-02-19,Terminated,2026-04-27T23:01:55Z
H-0567-2026,Class I,food,Made Fresh Salads Inc,Made Fresh Salads brand Whipped Cream Cheese; 5 lb white plastic tub,Products may be contaminated with Listeria monocytogenes.,2026-02-19,Ongoing,2026-04-27T23:01:55Z
H-0561-2026,Class I,food,Made Fresh Salads Inc,Made Fresh Salads brand Lox Cream Cheese; 5 lb white plastic tub,Products may be contaminated with Listeria monocytogenes.,2026-02-19,Ongoing,2026-04-27T23:01:55Z
H-0562-2026,Class I,food,Made Fresh Salads Inc,Made Fresh Salads brand Scallion Cream Cheese; 5 lb white plastic tub,Products may be contaminated with Listeria monocytogenes.,2026-02-19,Ongoing,2026-04-27T23:01:55Z
H-0563-2026,Class I,food,Made Fresh Salads Inc,Made Fresh Salads brand Strawberry Cream Cheese; 5 lb white plastic tub,Products may be contaminated with Listeria monocytogenes.,2026-02-19,Ongoing,2026-04-27T23:01:55Z
H-0550-2026,Class II,food,"Willamette Valley Pie Company, LLC",Frozen Raw Bulk 8 inch Blueberry Crumble Pie (4 pies/case). Net wt. 24.5oz. UPC 0002251881223. Handmade - Willamette Valley Pie Company LLC.,Potential contamination with listeria monocytogenes.,2026-02-19,Terminated,2026-04-27T23:01:55Z
H-0557-2026,Class I,food,Made Fresh Salads Inc,Made Fresh Salads brand Blueberry Cream Cheese; 5 lb white plastic tub,Products may be contaminated with Listeria monocytogenes.,2026-02-19,Ongoing,2026-04-27T23:01:55Z
D-0381-2026,Class III,drug,"Cipla USA, Inc.","Nilotinib Capsules, 150 mg per capsule, packaged in cartons, Rx only, Manufactured by: Cipla Ltd., Verna, Goa, India, Manufactured for: Cipl",Failed Tablet/Capsule Specifications: Observed OOS results at 6-months long-term stability condition for Description test and Appearance by ,2026-02-18,Ongoing,2026-04-27T23:01:55Z
D-0385-2026,Class II,drug,HTO Nevada Inc. dba Kirkman,"FIVE-STAR, VASOCAINE Spray, (Lidocaine HCl 4%, Racepinephrine HCl 0.01%), 4oz bottles, Distributed By: Dermal Source, Portland, OR 97232, ND",Stability Data Does Not Support Expiry Date.,2026-02-18,Ongoing,2026-04-27T23:01:55Z
D-0387-2026,Class II,drug,HTO Nevada Inc. dba Kirkman,"MAXIMUM, ZONE 2, 4% Lidocaine Cream, (Lidocaine 4% and Epinephrine 0.01%),  1 oz bottles, Distributed By: Dermal Source, Portland, OR 97232,",Stability Data Does Not Support Expiry Date.,2026-02-18,Ongoing,2026-04-27T23:01:55Z
D-0386-2026,Class II,drug,HTO Nevada Inc. dba Kirkman,"MAXIMUM, ZONE 1, 4% Lidocaine Cream, 1/2 oz bottles, Distributed By: Dermal Source, Portland, OR 97232, NDC 80069-014.",Stability Data Does Not Support Expiry Date.,2026-02-18,Ongoing,2026-04-27T23:01:55Z
H-0603-2026,Class II,food,"NRS Enterprises, Inc. dba Sunflour Bakery","Sunflour Bakery Hamburger Bun, 18oz plastic bag containing 6 buns.  UPC- 832971001522",Undeclared sesame seed ingredient in hamburger buns.,2026-02-18,Ongoing,2026-04-27T23:01:55Z
Z-1773-2026,Class II,device,"XTANT Medical Holdings, Inc","XTANT MEDICAL Xpress Pedicle Screw System Dual Lead 6.5 x 50 mm, Part Number X073-6555-DL.","Units from one lot were mislabeled with an incorrect part number, identifying the device as a shorter screw length than it physically is.",2026-02-18,Ongoing,2026-04-27T23:01:55Z
Z-1685-2026,Class II,device,"Mentor Texas, LP.","Artoura Breast Tissue Expanders  Reference Numbers: TEXP110RH	TEXP120RH	TEXP120RUH	TEXP130RH	TEXP135RH	TEXP140RH	TEXP150RH  Textured, High &","Infusion sets may contain dull/blunt needle tip, which may be difficult to advance, and/or break.",2026-02-18,Ongoing,2026-04-27T23:01:55Z
Z-1684-2026,Class II,device,"Mentor Texas, LP.","CPX 4 US Breast Tissue Expanders with Suture Tabs  Reference Numbers: SCPX-113TH, SCPX-123TH, SCPX-140TH, SCPX-146TH  Smooth Tall Height Tis","Infusion sets may contain dull/blunt needle tip, which may be difficult to advance, and/or break.",2026-02-18,Ongoing,2026-04-27T23:01:55Z
D-0383-2026,Class II,drug,The Harvard Drug Group LLC,"Midodrine Hydrochloride Tablets, USP, 5 mg, 50 Tablets (5 x 10 blister packs), Rx only, Packaged and Distributed by: Major Pharmaceuticals, ",Defective container; inadequately sealed blister packaging.,2026-02-17,Ongoing,2026-04-27T23:01:55Z
H-0585-2026,Class II,food,Wawa Beverage Company,Wawa Reduced Fat Milk 2% 16 oz (Pint),Foreign plastic material discovered on fill line.,2026-02-17,Terminated,2026-04-27T23:01:55Z
H-0586-2026,Class II,food,Wawa Beverage Company,"Wawa Double Dutch Chocolate Milk ,16 oz (Pint) Plastic bottle Store Refrigerated",Foreign plastic material discovered on fill line.,2026-02-17,Terminated,2026-04-27T23:01:55Z
Z-1707-2026,Class II,device,"Medline Industries, LP","THORACIC ROBOTS, DYNJ908777B",Kits contain recalled Olympus biopsy valves. Olympus is investigating an increase in complaints associated with rubber fragment detachment i,2026-02-16,Ongoing,2026-04-27T23:01:55Z
Z-1705-2026,Class II,device,"Medline Industries, LP","Airway Exam Kit, DYKE1796",Kits contain recalled Olympus biopsy valves. Olympus is investigating an increase in complaints associated with rubber fragment detachment i,2026-02-16,Ongoing,2026-04-27T23:01:55Z
D-0380-2026,Class II,drug,"Harbin Jixianglong Biotech Co., Ltd.","Semaglutide,  For Rx compounding use only, packaged in a) 1g, NDC 84385-106-01; b) 5g, NDC 84385-106-02; c) 10g, NDC 84385-106-06; d) 25g, N",CGMP Deviations This recall has been initiated due to failing to complete process validation and bacterial endotoxin method validation befor,2026-02-13,Ongoing,2026-04-27T23:01:55Z
