category_code,data_type_code,period,value_thousand,mom_pct,yoy_pct,captured_at
APERMITS,SINGLE,2026-01,876,-0.57,-11.34,2026-04-27T23:10:23Z
APERMITS,TOTAL,2024-02,1577,,,2026-04-27T23:10:23Z
APERMITS,TOTAL,2024-03,1476,-6.40,,2026-04-27T23:10:23Z
APERMITS,TOTAL,2024-04,1459,-1.15,,2026-04-27T23:10:23Z
APERMITS,TOTAL,2024-05,1407,-3.56,,2026-04-27T23:10:23Z
APERMITS,TOTAL,2024-06,1461,3.84,,2026-04-27T23:10:23Z
APERMITS,TOTAL,2024-07,1436,-1.71,,2026-04-27T23:10:23Z
APERMITS,TOTAL,2024-08,1476,2.79,,2026-04-27T23:10:23Z
APERMITS,TOTAL,2024-09,1434,-2.85,,2026-04-27T23:10:23Z
APERMITS,TOTAL,2024-10,1428,-0.42,,2026-04-27T23:10:23Z
APERMITS,TOTAL,2024-11,1508,5.60,,2026-04-27T23:10:23Z
APERMITS,TOTAL,2024-12,1480,-1.86,,2026-04-27T23:10:23Z
APERMITS,TOTAL,2025-01,1460,-1.35,,2026-04-27T23:10:23Z
APERMITS,TOTAL,2025-02,1454,-0.41,-7.80,2026-04-27T23:10:23Z
APERMITS,TOTAL,2025-03,1481,1.86,0.34,2026-04-27T23:10:23Z
APERMITS,TOTAL,2025-04,1422,-3.98,-2.54,2026-04-27T23:10:23Z
APERMITS,TOTAL,2025-05,1394,-1.97,-0.92,2026-04-27T23:10:23Z
APERMITS,TOTAL,2025-06,1393,-0.07,-4.65,2026-04-27T23:10:23Z
APERMITS,TOTAL,2025-07,1362,-2.23,-5.15,2026-04-27T23:10:23Z
APERMITS,TOTAL,2025-08,1330,-2.35,-9.89,2026-04-27T23:10:23Z
APERMITS,TOTAL,2025-09,1415,6.39,-1.32,2026-04-27T23:10:23Z
APERMITS,TOTAL,2025-10,1411,-0.28,-1.19,2026-04-27T23:10:23Z
APERMITS,TOTAL,2025-11,1388,-1.63,-7.96,2026-04-27T23:10:23Z
