kind,ticker,cik,company,file_date,accession_id,captured_at
warrant_exercise,NHIV,0002099767,NewHold Investment Corp IV,2026-04-20,0001213900-26-045723,2026-04-27T22:50:37Z
warrant_exercise,ENVB,0000890821,"Enveric Biosciences, Inc.",2026-04-20,0001493152-26-017960,2026-04-27T22:50:37Z
warrant_exercise,DAIC,0002033770,"CID Holdco, Inc.",2026-04-20,0001213900-26-045664,2026-04-27T22:50:37Z
spinoff,TRAX,0002091349,"First Tracks Biotherapeutics, Inc.",2026-04-20,0001193125-26-164328,2026-04-27T22:50:37Z
spinoff,GTII,0000356590,"GLOBAL TECH INDUSTRIES GROUP, INC.",2026-04-20,0001493152-26-017979,2026-04-27T22:50:37Z
spinoff,ATII,0002028516,Archimedes Tech SPAC Partners II Co.,2026-04-20,0001437749-26-012856,2026-04-27T22:50:37Z
spinoff,ANAB,0001370053,"ANAPTYSBIO, INC",2026-04-20,0001193125-26-164330,2026-04-27T22:50:37Z
special_dividend,RBB,0001499422,RBB Bancorp,2026-04-20,0001437749-26-012840,2026-04-27T22:50:37Z
special_dividend,BIRD,0001653909,"Allbirds, Inc.",2026-04-20,0001193125-26-164338,2026-04-27T22:50:37Z
spinoff,RVMD,0001628171,"Revolution Medicines, Inc.",2026-04-17,0001193125-26-161800,2026-04-27T22:50:37Z
spinoff,MKC,0000063754,MCCORMICK & CO INC,2026-04-17,0000063754-26-000212,2026-04-27T22:50:37Z
warrant_exercise,MNTS,0001781162,Momentus Inc.,2026-04-16,0001140361-26-014988,2026-04-27T22:50:37Z
warrant_exercise,FFAI,0001805521,FARADAY FUTURE INTELLIGENT ELECTRIC INC.,2026-04-16,0001213900-26-044633,2026-04-27T22:50:37Z
warrant_exercise,ACXP,0001736243,"Acurx Pharmaceuticals, Inc.",2026-04-16,0001104659-26-044093,2026-04-27T22:50:37Z
warrant_exercise,ACHV,0000949858,"ACHIEVE LIFE SCIENCES, INC.",2026-04-16,0001193125-26-159189,2026-04-27T22:50:37Z
spinoff,XLO,0001840233,"Xilio Therapeutics, Inc.",2026-04-16,0001193125-26-157940,2026-04-27T22:50:37Z
