month,country,imports_usd,exports_usd,trade_balance,captured_at
2025-10,MEXICO,48524201035,29575129143,-18949071892,2026-04-27T23:09:37Z
2025-10,NETHERLANDS,5672804752,5086298972,-586505780,2026-04-27T23:09:37Z
2025-10,SINGAPORE,4823969694,2510578050,-2313391644,2026-04-27T23:09:37Z
2025-10,SOUTH KOREA,211942590,2896848532,2684905942,2026-04-27T23:09:37Z
2025-10,TAIWAN,22252665135,4832012995,-17420652140,2026-04-27T23:09:37Z
2025-10,UNITED KINGDOM,5030358618,11699702058,6669343440,2026-04-27T23:09:37Z
2025-10,VIETNAM,17802274813,1547857042,-16254417771,2026-04-27T23:09:37Z
2025-11,CANADA,28360209355,25339890556,-3020318799,2026-04-27T23:09:37Z
2025-11,CHINA,20950707190,7008414794,-13942292396,2026-04-27T23:09:37Z
2025-11,FRANCE,6842293457,3658411853,-3183881604,2026-04-27T23:09:37Z
2025-11,GERMANY,13486676491,6814975244,-6671701247,2026-04-27T23:09:37Z
2025-11,INDIA,7236779638,3800043513,-3436736125,2026-04-27T23:09:37Z
2025-11,IRELAND,2551673455,8167620113,5615946658,2026-04-27T23:09:37Z
2025-11,JAPAN,11815332930,7040902211,-4774430719,2026-04-27T23:09:37Z
2025-11,MEXICO,44515678588,26616533491,-17899145097,2026-04-27T23:09:37Z
2025-11,NETHERLANDS,6328797053,3237073773,-3091723280,2026-04-27T23:09:37Z
2025-11,SINGAPORE,5037237224,2144605451,-2892631773,2026-04-27T23:09:37Z
2025-11,SOUTH KOREA,251768947,2401186979,2149418032,2026-04-27T23:09:37Z
2025-11,TAIWAN,20258814536,5273771696,-14985042840,2026-04-27T23:09:37Z
2025-11,UNITED KINGDOM,4830138644,8890046344,4059907700,2026-04-27T23:09:37Z
2025-11,VIETNAM,17186677889,1710346304,-15476331585,2026-04-27T23:09:37Z
2025-12,CANADA,31774227312,25511978389,-6262248923,2026-04-27T23:09:37Z
2025-12,CHINA,21104278609,8387883128,-12716395481,2026-04-27T23:09:37Z
2025-12,FRANCE,6400973999,3944220312,-2456753687,2026-04-27T23:09:37Z
2025-12,GERMANY,15277918435,7183876637,-8094041798,2026-04-27T23:09:37Z
2025-12,INDIA,8360372690,3597927787,-4762444903,2026-04-27T23:09:37Z
2025-12,IRELAND,2796888809,8394043922,5597155113,2026-04-27T23:09:37Z
2025-12,JAPAN,12178452449,6330174200,-5848278249,2026-04-27T23:09:37Z
2025-12,MEXICO,42360321615,28161109155,-14199212460,2026-04-27T23:09:37Z
2025-12,NETHERLANDS,6056398944,3106517616,-2949881328,2026-04-27T23:09:37Z
2025-12,SINGAPORE,5732209367,2460545876,-3271663491,2026-04-27T23:09:37Z
2025-12,SOUTH KOREA,247968220,2636759367,2388791147,2026-04-27T23:09:37Z
2025-12,TAIWAN,24696175753,4799314569,-19896861184,2026-04-27T23:09:37Z
2025-12,UNITED KINGDOM,5586288367,8954462039,3368173672,2026-04-27T23:09:37Z
2025-12,VIETNAM,18535643088,1591252756,-16944390332,2026-04-27T23:09:37Z
2026-01,CANADA,28330595475,24510292823,-3820302652,2026-04-27T23:09:37Z
2026-01,CHINA,21057908407,8329116905,-12728791502,2026-04-27T23:09:37Z
2026-01,FRANCE,4650222721,3322038826,-1328183895,2026-04-27T23:09:37Z
2026-01,GERMANY,10457041592,5901440608,-4555600984,2026-04-27T23:09:37Z
2026-01,INDIA,7867869461,4628363336,-3239506125,2026-04-27T23:09:37Z
2026-01,IRELAND,1423984824,7829340701,6405355877,2026-04-27T23:09:37Z
2026-01,JAPAN,11043989675,6043420526,-5000569149,2026-04-27T23:09:37Z
