ticker,company,cik,q_current,val_current_usd,q_prior,val_prior_usd,yoy_pct,direction,filed_current,accn_current,captured_at
NWE,"NORTHWESTERN ENERGY GROUP, INC.",0001993004,CY2025Q4,44691000,CY2024Q4,80552000,-44.52,PROFIT,,0001993004-26-000006,2026-04-27T23:04:08Z
RZLT,"REZOLUTE, INC.",0001509261,CY2025Q4,-22774000,CY2024Q4,-15730000,-44.78,LOSS,,0001104659-26-014334,2026-04-27T23:04:08Z
UHAL-B,U-Haul Holding Company,0000004457,CY2025Q4,36968000,CY2024Q4,67166000,-44.96,PROFIT,,0001193125-26-037685,2026-04-27T23:04:08Z
BV,"BrightView Holdings, Inc.",0001734713,CY2025Q4,-15200000,CY2024Q4,-10400000,-46.15,LOSS,,0001193125-26-035550,2026-04-27T23:04:08Z
CBIH,"CANNABIS BIOSCIENCE INTERNATIONAL HOLDINGS, INC.",0001411057,CY2025Q4,-116966,CY2024Q4,-79528,-47.08,LOSS,,0001683168-26-003012,2026-04-27T23:04:08Z
GIS,"GENERAL MILLS, INC.",0000040704,CY2025Q4,413000000,CY2024Q4,795700000,-48.10,PROFIT,,0001628280-25-057598,2026-04-27T23:04:08Z
APTV,APTIV PLC,0001521332,CY2025Q4,138000000,CY2024Q4,268000000,-48.51,PROFIT,,0001521332-26-000009,2026-04-27T23:04:08Z
AOXY,"ADVANCED OXYGEN TECHNOLOGIES, INC.",0000352991,CY2025Q4,2649,CY2024Q4,5152,-48.58,PROFIT,,0001477932-26-000612,2026-04-27T23:04:08Z
KEQU,KEWAUNEE SCIENTIFIC CORPORATION,0000055529,CY2025Q4,692000,CY2024Q4,1354000,-48.89,PROFIT,,0000055529-26-000009,2026-04-27T23:04:08Z
CNO-PA,"CNO Financial Group, Inc.",0001224608,CY2025Q4,92900000,CY2024Q4,182900000,-49.21,PROFIT,,0001224608-26-000017,2026-04-27T23:04:08Z
KMX,"CARMAX, INC.",0001170010,CY2025Q4,62215000,CY2024Q4,125441000,-50.40,PROFIT,,0001170010-25-000131,2026-04-27T23:04:08Z
SWKS,"Skyworks Solutions, Inc.",0000004127,CY2025Q4,79200000,CY2024Q4,162000000,-51.11,PROFIT,,0000004127-26-000008,2026-04-27T23:04:08Z
CENTA,CENTRAL GARDEN & PET CO,0000887733,CY2025Q4,6841000,CY2024Q4,14009000,-51.17,PROFIT,,0000887733-26-000007,2026-04-27T23:04:08Z
ESMR,E-SMART CORP.,0001995920,CY2025Q4,-22013,CY2024Q4,-14514,-51.67,LOSS,,0001995920-26-000007,2026-04-27T23:04:08Z
CALM,"CAL-MAINE FOODS, INC.",0000016160,CY2025Q4,102759000,CY2024Q4,219064000,-53.09,PROFIT,,0001562762-26-000004,2026-04-27T23:04:08Z
MODD,"MODULAR MEDICAL, INC.",0001074871,CY2025Q4,-7360000,CY2024Q4,-4804000,-53.21,LOSS,,0001213900-26-017262,2026-04-27T23:04:08Z
MVBF,MVB Financial Corp.,0001277902,CY2025Q4,4225000,CY2024Q4,9440000,-55.24,PROFIT,,0001277902-26-000030,2026-04-27T23:04:08Z
