arxiv_id,published,title,authors,ticker_guess,summary,url
2604.22552v1,2026-04-24,Transferable Physical-World Adversarial Patches Against Pedestrian Detection Models,"
      Shihui Yan
     | 
      Ziqi Zhou
     | 
      Yufei Song
     | 
      Yifan Hu
     | 
      Minghui Li
    ",,"Physical adversarial patch attacks critically threaten pedestrian detection, causing surveillance and autonomous driving systems to miss pedestrians and creating severe safety risks. Despite their effectiveness in controlled settings, exist",http://arxiv.org/abs/2604.22552v1
2604.22551v1,2026-04-24,QDTraj: Exploration of Diverse Trajectory Primitives for Articulated Objects Robotic Manipulation,"
      Mathilde Kappel
     | 
      Mahdi Khoramshahi
     | 
      Louis Annabi
     | 
      Faiz Ben Amar
     | 
      Stéphane Doncieux
    ",,"Thanks to the latest advances in learning and robotics, domestic robots are beginning to enter homes, aiming to execute household chores autonomously. However, robots still struggle to perform autonomous manipulation tasks in open-ended env",http://arxiv.org/abs/2604.22551v1
2604.22550v1,2026-04-24,ArmSSL: Adversarial Robust Black-Box Watermarking for Self-Supervised Learning Pre-trained Encoders,"
      Yongqi Jiang
     | 
      Yansong Gao
     | 
      Boyu Kuang
     | 
      Chunyi Zhou
     | 
      Anmin Fu
    ",INTC,"Self-supervised learning (SSL) encoders are invaluable intellectual property (IP). However, no existing SSL watermarking for IP protection can concurrently satisfy the following two practical requirements: (1) provide ownership verification",http://arxiv.org/abs/2604.22550v1
2604.22548v1,2026-04-24,Multi-output Extreme Spatial Model for Complex Aircraft Production Systems,"
      Cheolhei Lee
     | 
      Xing Wang
     | 
      Xiaowei Yue
     | 
      Jianguo Wu
    ",,"Problem definition: Data-driven models in machine learning have enabled efficient management of production systems. However, a majority of machine learning models are devoted to modeling the mean response or average pattern, which is inappr",http://arxiv.org/abs/2604.22548v1
2604.22546v1,2026-04-24,ReLIC-SGG: Relation Lattice Completion for Open-Vocabulary Scene Graph Generation,"
      Amir Hosseini
     | 
      Sara Farahani
     | 
      Xinyi Li
     | 
      Suiyang Guang
    ",,Open-vocabulary scene graph generation (SGG) aims to describe visual scenes with flexible relation phrases beyond a fixed predicate set. Existing methods usually treat annotated triplets as positives and all unannotated object-pair relation,http://arxiv.org/abs/2604.22546v1
2604.22542v1,2026-04-24,Controllable Spoken Dialogue Generation: An LLM-Driven Grading System for K-12 Non-Native English Learners,"
      Haidong Yuan
     | 
      Haokun Zhao
     | 
      Wanshi Xu
     | 
      Songjun Cao
     | 
      Qingyu Zhou
    ",,"Large language models (LLMs) often fail to meet the pedagogical needs of K-12 English learners in non-native contexts due to a proficiency mismatch. To address this widespread challenge, we introduce a proficiency-aligned framework that ada",http://arxiv.org/abs/2604.22542v1
2604.22540v1,2026-04-24,On the Properties of Feature Attribution for Supervised Contrastive Learning,"
      Leonardo Arrighi
     | 
      Julia Eva Belloni
     | 
      Aurélie Gallet
     | 
      Ivan Gentile
     | 
      Matteo Lippi
    ",,"Most Neural Networks (NNs) for classification are trained using Cross-Entropy as a loss function. This approach requires the model to have an explicit classification layer. However, there exist alternative approaches, such as Contrastive Le",http://arxiv.org/abs/2604.22540v1
2604.22539v1,2026-04-24,Evolving Thematic Map Design in Academic Cartography: A Thirty-Year Study Based on Multilingual Journals,"
      Zhiwei Wei
     | 
      Chenxi Song
     | 
      Tazhu Wang
     | 
      Fan Wu
     | 
      Hua Liao
    ",,"Thematic maps play a central role in academic communication, yet their large-scale design evolution has rarely been examined empirically. This study presents a longitudinal and multilingual analysis of thematic map design practices in acade",http://arxiv.org/abs/2604.22539v1
2604.22535v1,2026-04-24,"An Integrated Framework for Explainable, Fair, and Observable Hospital Readmission Prediction: Development and Validation on MIMIC-IV","
      Isaac Tosin Adisa
    ",,"Objective: To propose and retrospectively validate an integrated framework addressing three barriers to clinical translation of readmission prediction: lack of explainability, absence of deployment reliability infrastructure, and inadequate",http://arxiv.org/abs/2604.22535v1
2604.22534v1,2026-04-24,FeatEHR-LLM: Leveraging Large Language Models for Feature Engineering in Electronic Health Records,"
      Hojjat Karami
     | 
      David Atienza
     | 
      Jean-Philippe Thiran
     | 
      Anisoara Ionescu
    ",,"Feature engineering for Electronic Health Records (EHR) is complicated by irregular observation intervals, variable measurement frequencies, and structural sparsity inherent to clinical time series. Existing automated methods either lack cl",http://arxiv.org/abs/2604.22534v1
2604.22529v1,2026-04-24,Distilling Vision Transformers for Distortion-Robust Representation Learning,"
      Konstantinos Alexis
     | 
      Giorgos Giannopoulos
     | 
      Dimitrios Gunopulos
    ",,"Self-supervised learning has achieved remarkable success in learning visual representations from clean data, yet remains challenging when clean observations are sparse or not available at all. In this paper, we demonstrate that pretrained v",http://arxiv.org/abs/2604.22529v1
2604.22520v1,2026-04-24,RouteLMT: Learned Sample Routing for Hybrid LLM Translation Deployment,"
      Yingfeng Luo
     | 
      Hongyu Liu
     | 
      Dingyang Lin
     | 
      Kaiyan Chang
     | 
      Chenglong Wang
    ",,"Large Language Models (LLMs) have achieved remarkable performance in Machine Translation (MT), but deploying them at scale remains prohibitively expensive. A widely adopted remedy is the hybrid system paradigm, which balances cost and quali",http://arxiv.org/abs/2604.22520v1
2604.22518v1,2026-04-24,Non-Minimal Sampling and Consensus for Prohibitively Large Datasets,"
      Seong Hun Lee
     | 
      Patrick Vandewalle
     | 
      Javier Civera
    ",,"We introduce NONSAC (Non-Minimal Sampling and Consensus), a general framework for robust and scalable model estimation from arbitrarily large datasets contaminated with noise and outliers. NONSAC repeatedly samples non-minimal subsets of da",http://arxiv.org/abs/2604.22518v1
2604.22517v1,2026-04-24,Aggregate vs. Personalized Judges in Business Idea Evaluation: Evidence from Expert Disagreement,"
      Wataru Hirota
     | 
      Tomoki Taniguchi
     | 
      Tomoko Ohkuma
     | 
      Kosuke Takahashi
     | 
      Takahiro Omi
    ",,"Evaluating LLM-generated business ideas is often harder to scale than generating them. Unlike standard NLP benchmarks, business idea evaluation relies on multi-dimensional criteria such as feasibility, novelty, differentiation, user need, a",http://arxiv.org/abs/2604.22517v1
2604.22515v1,2026-04-24,Different Strokes for Different Folks: Writer Identification for Historical Arabic Manuscripts,"
      Hamza A. Abushahla
     | 
      Ariel Justine N. Panopio
     | 
      Layth Al-Khairulla
     | 
      Mohamed I. AlHajri
    ",INTC,"Handwritten Arabic manuscripts preserve the Arab world's intellectual and cultural heritage, and writer identification supports provenance, authenticity verification, and historical analysis. Using the Muharaf dataset of historical Arabic m",http://arxiv.org/abs/2604.22515v1
2604.22507v1,2026-04-24,Railway Artificial Intelligence Learning Benchmark (RAIL-BENCH): A Benchmark Suite for Perception in the Railway Domain,"
      Annika Bätz
     | 
      Pavel Klasek
     | 
      Seo-Young Ham
     | 
      Philipp Neumaier
     | 
      Martin Köppel
    ",,"Automated train operation on existing railway infrastructure requires robust camera-based perception, yet the railway domain lacks public benchmark suites with standardized evaluation protocols that would enable reproducible comparison of a",http://arxiv.org/abs/2604.22507v1
2604.22506v1,2026-04-24,ICPR 2026 Competition on Low-Resolution License Plate Recognition,"
      Rayson Laroca
     | 
      Valfride Nascimento
     | 
      Donggun Kim
     | 
      Sanghyeok Chung
     | 
      Subin Bae
    ",,"Low-Resolution License Plate Recognition (LRLPR) remains a challenging problem in real-world surveillance scenarios, where long capture distances, compression artifacts, and adverse imaging conditions can severely degrade license plate legi",http://arxiv.org/abs/2604.22506v1
2604.22505v1,2026-04-24,Information-Theoretic Authenticated PIR: From PIR-RV To APIR,"
      Pengzhen Ke
     | 
      Yuxuan Qin
     | 
      Liang Feng Zhang
    ",,"Private Information Retrieval (PIR) allows clients to retrieve database entries without leaking retrieval indices, yet malicious servers seriously compromise retrieval correctness. Existing Authenticated PIR (APIR) schemes resist selective-",http://arxiv.org/abs/2604.22505v1
2604.22503v1,2026-04-24,Measuring and Mitigating Persona Distortions from AI Writing Assistance,"
      Paul Röttger
     | 
      Kobi Hackenburg
     | 
      Hannah Rose Kirk
     | 
      Christopher Summerfield
    ",INTC,"Hundreds of millions of people use artificial intelligence (AI) for writing assistance. Here, we evaluated how AI writing assistance distorts writer personas - their perceived beliefs, personality, and identity. In three large-scale experim",http://arxiv.org/abs/2604.22503v1
2604.22499v1,2026-04-24,Decoding High-Dimensional Finger Motion from EMG Using Riemannian Features and RNNs,"
      Martin Colot
     | 
      Cédric Simar
     | 
      Guy Cheron
     | 
      Ana Maria Cebolla Alvarez
     | 
      Gianluca Bontempi
    ",ARM,"Continuous estimation of high-dimensional finger kinematics from forearm surface electromyography (EMG) could enable natural control for hand prostheses, AR/XR interfaces, and teleoperation. However, the complexity of human hand gestures an",http://arxiv.org/abs/2604.22499v1
2604.22498v1,2026-04-24,CGC: Compositional Grounded Contrast for Fine-Grained Multi-Image Understanding,"
      Lihao Zheng
     | 
      Zhenwei Shao
     | 
      Yu Zhou
     | 
      Yan Yang
     | 
      Xintian Shen
    ",,"Although Multimodal Large Language Models (MLLMs) have advanced rapidly, they still face notable challenges in fine-grained multi-image understanding, often exhibiting spatial hallucination, attention leakage, and failures in object constan",http://arxiv.org/abs/2604.22498v1
2604.22496v1,2026-04-24,Deep Learning for Model Calibration in Simulation of Itaconic Acid Production,"
      Daria Fokina
     | 
      Marco Baldan
     | 
      Constantin Romankiewicz
     | 
      Wolfgang Laudensack
     | 
      Roland Ulber
    ",,"In this study, deep learning is used to estimate kinetic parameters for modeling itaconic acid production based on real batch experiments conducted at different agitation speeds and reactor scales. Two deep learning strategies, namely direc",http://arxiv.org/abs/2604.22496v1
