decision_date,k_number,applicant,device_name,advisory_committee,country,captured_at
2026-03-25,K253680,ArthroCare Corporation,LYNX COBLATION Laryngeal Wand (72290254),"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-03-25,K252023,Letus Corporation,MiraChlor Antimicrobial Wound Solution,Unknown,US,2026-04-27T22:47:41Z
2026-03-25,K253615,"Alphatec Spine, Inc.",Invictus Bands System,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-25,K253322,"Medline Industries, LP",Hudson RCI® Infant Dri-TechTM Breathing Circuits (HUD99060 / Dri-Tech with 78 I,Anesthesiology,US,2026-04-27T22:47:41Z
2026-03-25,K260274,Novastep SAS,Airlock® Ankle Plating System,Orthopedic,FR,2026-04-27T22:47:41Z
2026-03-25,K253184,"Zhuhai Wesee Meditech Co., Ltd.",Video Rhinolaryngoscope System (Disposable Video Rhinolaryngoscope SP11A Endosco,"Ear, Nose, Throat",CN,2026-04-27T22:47:41Z
2026-03-25,K252908,"Sandstone Medical (Suzhou), Inc.",Easydrip Classic Pen Needle; Easydrip Plus Pen Needle; Easydrip Classic Pro Pen ,General Hospital,CN,2026-04-27T22:47:41Z
2026-03-25,K252037,"Curexo, Inc.",CUVIS-joint (CJ150),Neurology,KR,2026-04-27T22:47:41Z
2026-03-25,K252432,"Spinepoint, LLC",Flex-Z Cervical Cage,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-25,K253406,"Mevion Medical Systems, Inc.",S250-FIT Proton Beam Radiation Therapy Device (S250-FIT),Radiology,US,2026-04-27T22:47:41Z
2026-03-25,K252052,"Bausch and Lomb, Incorporated","Stellaris Elite vision enhancement system (BL11145, BL14455, BL15455, SE14565, ",Ophthalmic,US,2026-04-27T22:47:41Z
2026-03-24,K260087,GE Medical Systems SCS,Senographe Pristina; SenoBright HD; Pristina Serena; Pristina Serena Bright,Radiology,FR,2026-04-27T22:47:41Z
2026-03-24,K253198,Angiodynamics,NanoKnife Generator (H78720300351US0),"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-03-24,K260787,"Lumos Diagnostics, Inc.",FebriDx Bacterial/Non-bacterial Assay,Microbiology,US,2026-04-27T22:47:41Z
2026-03-24,K252421,"JLK, Inc.",JLK-NCCT,Radiology,KR,2026-04-27T22:47:41Z
2026-03-24,K254012,"Nanjing CareMoving Rehabilitation Equipment Co.,Ltd",Electric Wheelchair (E201),Physical Medicine,CN,2026-04-27T22:47:41Z
2026-03-24,K254253,Aap Implantate AG,LOQTEQ® VA Proximal Humerus Plate 3.5,Orthopedic,DE,2026-04-27T22:47:41Z
2026-03-24,K253047,Nipro Medical Corporation,PRESSONE,General Hospital,US,2026-04-27T22:47:41Z
2026-03-24,K260673,GE Medical Systems Ultrasound and Primary Care Diagnostics,LOGIQ Vita; LOGIQ Vita Pro; LOGIQ Vita Express; LOGIQ Vita Plus; LOGIQ Vita Powe,Radiology,US,2026-04-27T22:47:41Z
2026-03-24,K252099,Shimadzu Corporation,Trinias,Radiology,JP,2026-04-27T22:47:41Z
2026-03-24,K252169,"Beckman Coulter, Inc.",Access BNP II,Clinical Chemistry,US,2026-04-27T22:47:41Z
2026-03-23,K254166,Streck,MDx-Chex for BCN,Microbiology,US,2026-04-27T22:47:41Z
2026-03-23,K260112,"Stabiliz Orthopaedics, Inc.",QuikFix External Fixator: Knee-Spanning Pack,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-23,K253686,Ge Healthcare Japan Corporation,True Definition DL,Radiology,JP,2026-04-27T22:47:41Z
2026-03-23,K252992,"Philips Healthcare (Suzhou) Co., Ltd.",CT Rembra RT; CT Areta RT; CT Rembra,Radiology,CN,2026-04-27T22:47:41Z
2026-03-23,K252031,"Adin Dental Implant Systems , Ltd.",Adin Long Dental Implant System,Dental,IL,2026-04-27T22:47:41Z
2026-03-23,K260202,"Guangdong Newdermo Biotech Co., Ltd.",LED Light Therapy Masks (LumiLips FAC07NA),"General, Plastic Surgery",CN,2026-04-27T22:47:41Z
2026-03-23,K254275,"Threadstone, LLC",HyperSuture All Green Extension Line,"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-03-23,K254288,"Skeletal Dynamics, Inc.",Clavicle Fixation System,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-20,K251980,"Icu Medical, Inc.",ClaveQS Bag,General Hospital,US,2026-04-27T22:47:41Z
2026-03-20,K252358,Nexstim Oyj,Nexstim Navigated Brain Stimulation (NBS) 6 System (NBS6),Neurology,FI,2026-04-27T22:47:41Z
2026-03-20,K252606,Voco GmbH,"Bifix Veneer LC, Bifix Veneer Try-In",Dental,DE,2026-04-27T22:47:41Z
2026-03-20,K260551,Instrumentation Laboratory (IL) Co.,HemosIL Factor V Leiden (APC Resistance V),Hematology,US,2026-04-27T22:47:41Z
2026-03-20,K252005,"Liviwell, Inc.",Livi Device,Obstetrics/Gynecology,US,2026-04-27T22:47:41Z
2026-03-20,K260437,"Dongguan TT Medical, Inc.",Valvuloplasty Balloon Catheter (ValvuloPro),Cardiovascular,CN,2026-04-27T22:47:41Z
2026-03-20,K253098,Nexstim Oyj,Nexstim Navigated Brain Stimulation (NBS) 6 System (NBS6),Neurology,FI,2026-04-27T22:47:41Z
2026-03-20,K260585,Nox Medical Ehf,Noxturnal Web,Neurology,IS,2026-04-27T22:47:41Z
2026-03-20,K253520,"Ge Medical Systems, LLC","Photonova Spectra, Photonova Spectra Select",Radiology,US,2026-04-27T22:47:41Z
2026-03-20,K253574,"Siemens Medical Solutions USA, Inc.",SOMATOM X.cite; SOMATOM X.ceed,Radiology,US,2026-04-27T22:47:41Z
2026-03-20,K260561,"Arthrex, Inc.",Arthrex FiberTak Suture Anchor,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-20,K252050,Olympus Medical Systems Corporation,"Disposable Biopsy Forceps FB-211D, FB-221D, FB-231D, FB-241D","Ear, Nose, Throat",JP,2026-04-27T22:47:41Z
2026-03-20,K251937,Nordicneurolab AS,nordicAudio (1.0),Radiology,NO,2026-04-27T22:47:41Z
2026-03-20,K253849,"ZheJiang J&J Mobility Co., Ltd.","Electric wheelchair (JJW-7002, JJW-7003)",Physical Medicine,CN,2026-04-27T22:47:41Z
2026-03-20,K252016,"Arthrex, Inc.",Arthrex Humeral Nails,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-20,K251950,"Hangzhou Tappa Medical Technology Co., Ltd.",Endobronchial Blocker Tube (EBT0109); Endobronchial Blocker Tube (EBT0107); Endo,Anesthesiology,CN,2026-04-27T22:47:41Z
2026-03-20,K260544,"FMD Co., Ltd.",FMD Peripheral Guide Wire F-14 Flex 6; FMD Peripheral Guide Wire F-14 Tapered 40,Cardiovascular,JP,2026-04-27T22:47:41Z
2026-03-20,K253864,Dental Imaging Technologies Corporation,NOMAD Pro 3,Dental,US,2026-04-27T22:47:41Z
2026-03-20,K254208,"Expanse Medical, Inc.",FLOWRUNNER Aspiration System,Cardiovascular,US,2026-04-27T22:47:41Z
2026-03-20,K254170,"Degania Silicone , Ltd.",Percutaneous Endoscopic Gastrostomy (PEG) Kit,"Gastroenterology, Urology",IL,2026-04-27T22:47:41Z
2026-03-20,K253604,"SurGenTec, LLC",TiLink-L Navigation Instruments,Neurology,US,2026-04-27T22:47:41Z
2026-03-20,K260519,"Philips Healthcare (Suzhou) Co., Ltd.",Smart Fit TorsoCardiac 1.5T,Radiology,CN,2026-04-27T22:47:41Z
2026-03-19,K260537,"Arbor Endovascular, LLC",Willow 24 Guidewire,Cardiovascular,US,2026-04-27T22:47:41Z
2026-03-19,K253432,"Vy Spine, LLC",DiversiVy Facet Screw System,Unknown,US,2026-04-27T22:47:41Z
2026-03-19,K260533,Nipro Medical Corporation,ELISIO-H,"Gastroenterology, Urology",US,2026-04-27T22:47:41Z
2026-03-19,K253139,"Mirco-Tech (Nanjing) Co., Ltd.",Disposable Distal Cap,"Gastroenterology, Urology",CN,2026-04-27T22:47:41Z
2026-03-19,K252101,"Yamaha Motor Co., Ltd.",JWG-1,Physical Medicine,JP,2026-04-27T22:47:41Z
2026-03-19,K254112,DiaDent Group International,Dia-X Sil Bite,Dental,KR,2026-04-27T22:47:41Z
2026-03-19,K260509,"Radformation, Inc.",AutoContour (RADAC V5),Radiology,US,2026-04-27T22:47:41Z
2026-03-19,K260448,"L&K BIOMED Co., Ltd.",CastleLoc Pectus Bar System,Orthopedic,KR,2026-04-27T22:47:41Z
2026-03-19,K254269,"St. shine Optical Co., Ltd.",Saview SH Optic 38 UV (Senofilcon A) Visibility Tinted Soft (Hydrophilic) Contac,Ophthalmic,TW,2026-04-27T22:47:41Z
2026-03-19,K253965,"Wuhan PHOMED Technology Company , Ltd.",CureLight Medical Diode Laser Systems (CureLight F2-A15;  CureLight F2-B15; Cure,Physical Medicine,CN,2026-04-27T22:47:41Z
2026-03-19,K260532,Geistlich Pharma AG,Derma-Gide,Unknown,CH,2026-04-27T22:47:41Z
2026-03-19,K253746,Lake Region Medical,Enroute 0.014'' Transcarotid Guidewire,Cardiovascular,IE,2026-04-27T22:47:41Z
2026-03-18,K260188,"LimFlow, Inc.",LimFlow Vector,Cardiovascular,US,2026-04-27T22:47:41Z
2026-03-18,K252304,"Varian Medical Systems, Inc.",syngo.via RT Image Suite VC10,Radiology,US,2026-04-27T22:47:41Z
2026-03-18,K251967,"O&M Halyard, Inc.",HALYARD* FLUIDSHIELD* 3 Fog-Free Procedure Mask with SO SOFT* Lining and SO SOFT,"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-03-18,K254110,"MedShape, Inc.",DynaNail Mini; DynaNail Hybrid; DynaNail Helix; DynaClip; DynaClip Forte; DynaCl,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-18,K253012,"Vision Rt, Ltd.",AlignRT Plus (8.0),Radiology,GB,2026-04-27T22:47:41Z
2026-03-18,K252961,"Fusion Orthopedics USA, LLC",Fusion FibFix Nail,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-18,K253444,"MiRus, LLC",EUROPA Posterior Cervical Fusion Navigated Instruments,Neurology,US,2026-04-27T22:47:41Z
2026-03-18,K253622,"Ningbo Medsun Medical Co., Ltd.",Safety Pen Needle,General Hospital,CN,2026-04-27T22:47:41Z
2026-03-18,K260830,"Sangi Co., Ltd.",APAPRO Desensitizer Homecare (Remineralizing Anti-sensitivity Toothpaste),Dental,JP,2026-04-27T22:47:41Z
2026-03-18,K253834,Carl Zeiss Vision GmbH,VISUREF 600,Ophthalmic,DE,2026-04-27T22:47:41Z
2026-03-17,K251926,Encore Guards,enCore Impression Material,Dental,US,2026-04-27T22:47:41Z
2026-03-17,DEN250014,"Tyto Care , Ltd.",Tyto Insights for Eardrum Bulging Detection,"Ear, Nose, Throat",IL,2026-04-27T22:47:41Z
2026-03-17,K252078,"Compal Electronics, Inc.",BreathePal Bilevel  (GFM50-MD2201),Anesthesiology,TW,2026-04-27T22:47:41Z
2026-03-17,K254167,"Streck, LLC",MDx-Chex for BCY,Microbiology,US,2026-04-27T22:47:41Z
2026-03-17,K260632,Elesta S.P.A,LASER THERMAL THERAPY KIT,"General, Plastic Surgery",IT,2026-04-27T22:47:41Z
2026-03-17,K253750,"BTL Industries, Inc.",BTL-785NEH,"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-03-17,K254053,"A Plus Biotechnology Co., Ltd.",APS Spear Locking Plate,Orthopedic,TW,2026-04-27T22:47:41Z
2026-03-17,K260390,GM Dos Reis Industria e Comercio Ltda.,Super Upper Limbs Versalock Plating System,Orthopedic,BR,2026-04-27T22:47:41Z
2026-03-17,K253886,"Paragon 28, Inc.",Grappler Suture Anchor PCFD Tether System,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-17,K252813,"Lerado Zhongshan Peaceful Cove Business Trading Co., Ltd.",Electrical Scooter (SM4226),Physical Medicine,CN,2026-04-27T22:47:41Z
2026-03-17,K253863,Serim Research,GUARDIAN Quick Dip Residual Chlorine (5212),"Gastroenterology, Urology",US,2026-04-27T22:47:41Z
2026-03-17,K252971,"C.R. Bard, Inc.",Elyra Thulium Fiber Laser System and Elyra Plus Thulium Fiber Laser System (La,"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-03-17,K253614,Philips Medical Systems Nederland B.V.,EchoNavigator R5.0,Radiology,NL,2026-04-27T22:47:41Z
2026-03-17,K253587,"Cala Health, Inc.",Cala kIQ Plus,Neurology,US,2026-04-27T22:47:41Z
2026-03-17,K260546,"K2m, Inc.",Q Pedicle Instruments,Neurology,US,2026-04-27T22:47:41Z
2026-03-16,K253447,"Orthocon, Inc.","Montage Flowable Settable, Resorbable Bone Paste (Burr Hole Cover)",Neurology,US,2026-04-27T22:47:41Z
2026-03-16,K252122,"Shanghai Achieva Medical Suzhou Co., Ltd.",DCwire Micro-guidewire,Cardiovascular,CN,2026-04-27T22:47:41Z
2026-03-16,K253838,"Lifemotion Medical Technology Co., Ltd.",Lifemotion Disposable Membrane Oxygenator,Cardiovascular,CN,2026-04-27T22:47:41Z
2026-03-16,K253334,"Izenimplant Co., Ltd.",ZENEX Implant System_Short (R-System),Dental,KR,2026-04-27T22:47:41Z
2026-03-16,K253916,Medartis AG,"APTUS Shoulder Proximal Humerus System, PentaLock 3.5",Orthopedic,CH,2026-04-27T22:47:41Z
2026-03-16,K254045,"CarboFix Orthopedics , Ltd.",CarboClear® Posterior Cervical Screw System; CarboClear® Hybrid Posterior Cervic,Orthopedic,IL,2026-04-27T22:47:41Z
2026-03-16,K253395,"Medtronic Navigation, Inc.",Stealth AXiS ENT clinical application,Neurology,US,2026-04-27T22:47:41Z
2026-03-16,K252282,Stryker Instruments,SurgiCount+ System,General Hospital,US,2026-04-27T22:47:41Z
2026-03-16,K252433,Sonio,Sonio Detect  (v3),Radiology,FR,2026-04-27T22:47:41Z
2026-03-16,K253705,"Healgen Scientific,, LLC",Healgen® Accurate Oral Fluid Drug Test,Clinical Toxicology,US,2026-04-27T22:47:41Z
2026-03-16,K253590,"Perfuze, Ltd.",Millipede System,Cardiovascular,IE,2026-04-27T22:47:41Z
2026-03-16,K254176,BAAT Medical Products B.V.,SINEFIX,Orthopedic,NL,2026-04-27T22:47:41Z
2026-03-16,K253944,Voronoi Health Analytics Incorporated,Data Analysis Facilitation Suite (DAFS),Radiology,CA,2026-04-27T22:47:41Z
2026-03-16,K254079,"Shenzhen Desida Technology Co., Ltd.","LED Light Therapy Mask (Models: T2, RLD10)","General, Plastic Surgery",CN,2026-04-27T22:47:41Z
2026-03-16,K260511,"Shenzhen Ulike Smart Electronics Co., Ltd.",Ulike Reglow Light Therapy Device (UM10),"General, Plastic Surgery",CN,2026-04-27T22:47:41Z
2026-03-15,K253581,Technomed Europe,Disposable Concentric Needle Electrode 0.30x25mm Red (TE/B50700-001); Disposable,Physical Medicine,NL,2026-04-27T22:47:41Z
2026-03-13,K252249,"Mars Bioimaging , Ltd.",Extremity CT Imaging System,Radiology,NZ,2026-04-27T22:47:41Z
2026-03-13,K254277,"Aspect Imaging, Ltd.",Embrace Neonatal MRI System,Radiology,IL,2026-04-27T22:47:41Z
2026-03-13,K252040,"Becton, Dickinson and Company","BD Vacutainer® Plasma Separator Tubes (PST), BD Vacutainer® Sodium Heparin Bloo",Clinical Chemistry,US,2026-04-27T22:47:41Z
2026-03-13,K252261,"Beijing Infervision Healthcare Medical Technology Co., Ltd.",InferCare RECIST,Radiology,CN,2026-04-27T22:47:41Z
2026-03-13,K253205,"Cortex, Inc.",OptiMap Catheter - 50mm (OPTI-CATH2-50),Cardiovascular,US,2026-04-27T22:47:41Z
2026-03-13,K260078,Canon Medical Systems Corporation,Aquilion ServeSP (TSX-307B) V2.0,Radiology,US,2026-04-27T22:47:41Z
2026-03-13,K253732,"Orthocon, Inc.","Permatage Flowable, Settable Bone Paste",Neurology,US,2026-04-27T22:47:41Z
2026-03-13,K260499,ABBOTT MEDICAL,Amplatzer Trevisio Intravascular Delivery System; 9-ATV06F45/609-ATV07F45/609-,Cardiovascular,US,2026-04-27T22:47:41Z
2026-03-13,K253987,GIE Medical,BARE Wireguided Balloon Dilation Catheter (1235),"Gastroenterology, Urology",US,2026-04-27T22:47:41Z
2026-03-13,K252923,Iasis Technologies,IASIS i2 Relaxation Neurofeedback System,Unknown,US,2026-04-27T22:47:41Z
2026-03-13,K251848,Oculus Optikgeräte GmbH,Pentacam® Cornea OCT,Ophthalmic,DE,2026-04-27T22:47:41Z
2026-03-13,K253391,"Medtronic Navigation, Inc.",Visualase Cooled Laser Applicator System (9735559); Visualase Cooled Laser Appli,"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-03-13,K253111,"Good Methods Global, Inc.",Aeka Imaging,Radiology,US,2026-04-27T22:47:41Z
2026-03-13,K254059,"Beckman Coulter, Inc.",Access anti-HBc IgM,Microbiology,US,2026-04-27T22:47:41Z
2026-03-13,K260147,"Shenzhen Kingboom Technology Co., Ltd.","Electric nasal aspirator (BC026, BC025, BC023, BC028, BC029, BC036)","General, Plastic Surgery",CN,2026-04-27T22:47:41Z
2026-03-13,K253261,"Weero Co., Ltd.",Apollo Quattro (APQ-10M),"General, Plastic Surgery",KR,2026-04-27T22:47:41Z
2026-03-13,K252385,Pegavision Corporation,Pegavision (Toufilcon B) Daily Disposable Soft (Hydrophilic) Contact Lenses; Peg,Ophthalmic,TW,2026-04-27T22:47:41Z
2026-03-13,K260479,Boston Scientific Corporation,TheraSphere 360 Y-90 Management Platform,Radiology,US,2026-04-27T22:47:41Z
2026-03-13,K260455,"Zeto, Inc.",New Wave System,Neurology,US,2026-04-27T22:47:41Z
2026-03-13,K252648,"Taewoong Medical Co., Ltd.",Niti-S SPAXUS Stent,"Gastroenterology, Urology",KR,2026-04-27T22:47:41Z
2026-03-13,K253799,"Pressure Products Medical Device Manufacturing, LLC",SafeSept RF Transseptal Guidewire (SSRF132; SSRF132R; SSRF232; SSRF232R; SSRF135,Cardiovascular,US,2026-04-27T22:47:41Z
2026-03-13,K251999,Solventum Germany GmbH,Promogran Prisma Collagen Matrix with ORC and Silver,Unknown,DE,2026-04-27T22:47:41Z
2026-03-13,K251916,Genbody.Inc.,GenBody COVID-19 Ag Home Test,Microbiology,KR,2026-04-27T22:47:41Z
2026-03-12,K251888,"Hsiner Co., Ltd.",VPAP Pediatric Face Mask,Anesthesiology,TW,2026-04-27T22:47:41Z
2026-03-12,K250794,Invera Medical,InVera Infusion Device,Cardiovascular,IE,2026-04-27T22:47:41Z
2026-03-12,K260453,Bionit Labs Srl,Remote Wave Electrode (AE03-50); Remote Wave Electrode (AE03-60),Neurology,IT,2026-04-27T22:47:41Z
2026-03-12,K254040,"Free Flow Medical, Inc.",LungFlow Basket Catheter,"Ear, Nose, Throat",US,2026-04-27T22:47:41Z
2026-03-12,K252110,"Guangzhou Ajax Medical Equipment Co., Ltd.",Dental X-RAY Unit (AJX200),Dental,CN,2026-04-27T22:47:41Z
2026-03-12,K260502,HR Healthcare,Liv Pre-lubricated Intermittent Catheter,"Gastroenterology, Urology",US,2026-04-27T22:47:41Z
2026-03-12,K252583,"A Cute Baby, Inc.",Mini Moon electric breast pump (PA221); Moon Wave electric breast pump (PA220),Obstetrics/Gynecology,US,2026-04-27T22:47:41Z
2026-03-12,K250655,Digestaid - Artificial Intelligence Development SA,Deep Capsule® (Deep Capsule US),"Gastroenterology, Urology",PT,2026-04-27T22:47:41Z
2026-03-12,K253525,"Prodeon Medical, Inc.",Urocross Expander System (Model Numbers ES2018 and ES3025),"Gastroenterology, Urology",US,2026-04-27T22:47:41Z
2026-03-12,K254233,Stryker Leibinger GmbH & Co KG,MEDPOR Customized Implant Kit,"General, Plastic Surgery",DE,2026-04-27T22:47:41Z
2026-03-12,K251584,"AIRICU, Inc.",Medical Mesh Nebulizer (AirICU Max+),Anesthesiology,US,2026-04-27T22:47:41Z
2026-03-12,K252541,Spectrum Medical S.R.L.,Quantum PureFlow Standard Heat Exchanger Medium Flow 1/4 W,Cardiovascular,IT,2026-04-27T22:47:41Z
2026-03-12,K253936,"Nanjing Mijo Technology Co., Ltd.","Power Mobility Scooter (MJMA01, MJMA02)",Physical Medicine,CN,2026-04-27T22:47:41Z
2026-03-12,K240934,Spectrum Medical S.R.L.,Quantum Perfusion Blood Oxygenator ECC VT160-E3 (VT160-E3); Quantum Perfusion Bl,Cardiovascular,IT,2026-04-27T22:47:41Z
2026-03-12,K253636,Termosalud S.L.,Zionic Pro Max (EMS),Physical Medicine,ES,2026-04-27T22:47:41Z
2026-03-12,K253566,"Zimmer, Inc.",Affixus Retrograde Femoral Nailing System,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-12,K251964,Materialise NV,Mimics Thoracic Planner,Radiology,BE,2026-04-27T22:47:41Z
2026-03-12,K253429,"Genadyne Biotechnologies, Inc.",Genadyne ASTRA NPWT,"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-03-12,K252824,"Signature Orthopaedics Pty, Ltd.","Evolve AP Cup, World Finned Cup, World G-Zero Liner and Oddball Femoral Head",Unknown,AU,2026-04-27T22:47:41Z
2026-03-12,K253743,"Medtronic Minimed, Inc.",MiniMed Flex pump,Clinical Chemistry,US,2026-04-27T22:47:41Z
2026-03-12,K252089,"Tyto Care , Ltd.",Tyto Stethoscope (G3),Cardiovascular,IL,2026-04-27T22:47:41Z
2026-03-12,K251750,"Trax Surgical, Inc.",Trax EX Anchor,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-12,K252546,"Allevion Medical, LLC",VantageTM Lumbar Decompression Kit,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-12,K253734,Taurus Endoscopy,Taurus Clip,"Gastroenterology, Urology",FR,2026-04-27T22:47:41Z
2026-03-12,K252401,Implantcast GmbH,implaFit® short stems,Orthopedic,DE,2026-04-27T22:47:41Z
2026-03-12,K253062,"Rapid Medical , Ltd.",Tigertriever 25 Revascularization Device,Cardiovascular,IL,2026-04-27T22:47:41Z
2026-03-11,K252028,"Huizhou Foryou Medical Co., Ltd.",LUOFUCON® Antimicrobial Wound Gel,Unknown,CN,2026-04-27T22:47:41Z
2026-03-11,K253624,Depuy Ireland UC,INHANCE Reverse Shoulder System,Orthopedic,IE,2026-04-27T22:47:41Z
2026-03-11,K254047,"Shenzhen Chuangtong Yigou Technology Co., Ltd.","Hair Removal Device (CT10, CT10 Pro, CT11, CT11 Pro, CT12, CT12 Pro, CTU05, CTU0","General, Plastic Surgery",CN,2026-04-27T22:47:41Z
2026-03-11,K253693,"Riverpoint Medical, LLC",Strut Suture; No-Tie Button,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-11,K260783,"Kulzer, LLC",Venus Diamond; Venus Diamond Flow; Venus Pearl; Venus Bulk Flow One,Dental,US,2026-04-27T22:47:41Z
2026-03-11,K253906,Newclip Technics,Xpert Hand,Orthopedic,FR,2026-04-27T22:47:41Z
2026-03-11,K250937,"LivaNova USA, Inc.",Venous Return Cannulae,Cardiovascular,US,2026-04-27T22:47:41Z
2026-03-11,K253986,"Intuitive Surgical, Inc.",da Vinci Force Feedback Instruments,"Gastroenterology, Urology",US,2026-04-27T22:47:41Z
2026-03-11,K253185,Carestream Health,"Lux HD Detectors, DRX-LC Detector, DRX-Revolution Mobile X-Ray System",Radiology,US,2026-04-27T22:47:41Z
2026-03-11,K254197,"CAO Group, Inc.",Picasso Pro Diode Laser (002-00460),"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-03-10,K253953,"Ivoclar Vivadent, Inc.",IPS e.max Zirconia,Dental,US,2026-04-27T22:47:41Z
2026-03-10,K260765,"Azena Medical, LLC",Gemini NOVA 810+980 Soft Tissue Laser,"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-03-10,K254093,Synthes GmbH,DePuy Synthes VOLT Medial Distal Femur 3.5 Plating System,Unknown,CH,2026-04-27T22:47:41Z
2026-03-10,K260595,"FUJIFILM Sonosite, Inc.",Sonosite iLOOK Ultrasound System,Radiology,US,2026-04-27T22:47:41Z
2026-03-10,K252168,Institut Straumann AG,Straumann® BLC Implants - Indication Widening,Dental,CH,2026-04-27T22:47:41Z
2026-03-10,K253517,"Reselute, Inc.",Reselute Tibial Nail,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-10,K252353,Cefla S.C.,myray ProXIma X6,Radiology,IT,2026-04-27T22:47:41Z
2026-03-10,K253584,Canon Medical Systems Corporation,"Alphenix, INFX-8000V/B, INFX-8000V/S, V9.6 with aEvolve Imaging (FOV Extension)",Radiology,JP,2026-04-27T22:47:41Z
2026-03-10,K260773,"Nakanishi, Inc.",Varios Combi Pro2,Dental,JP,2026-04-27T22:47:41Z
2026-03-09,K260069,Synthes GmbH,DePuy Synthes VOLT Proximal Tibia 3.5 Plating System,Orthopedic,CH,2026-04-27T22:47:41Z
2026-03-09,K251861,Fujifilm Corporation,FUJIFILM Endoscope Model ED-S100TP; FUJIFILM Endoscope Model ED-S100XP; FUJIFILM,"Gastroenterology, Urology",JP,2026-04-27T22:47:41Z
2026-03-09,K253934,"Shenzhen Root Innovation Technology Co., Ltd.","Momcozy Wearable Breast Pump (BP380, BP380-A, BP380-B, BP380-C, M5, M5-A, M5-B, ",Obstetrics/Gynecology,CN,2026-04-27T22:47:41Z
2026-03-09,K260355,"WEBEST Biotech,, LLC",Webest Multi-Drug Urine Cup; Webest Home Multi-Drug Urine Cup,Clinical Toxicology,US,2026-04-27T22:47:41Z
2026-03-09,K253960,"Medicell Healthcare Co.,LTD",Medicell Mycosis Laser (MCML24004),"General, Plastic Surgery",KR,2026-04-27T22:47:41Z
2026-03-09,K253189,"Zimmer, Inc.",Persona the Personalized Knee System (Persona Porous Plasma Spray PPS Femurs),Orthopedic,US,2026-04-27T22:47:41Z
2026-03-09,K252888,"S&M Medical Co., Ltd.",NeoSculpt Plus,"General, Plastic Surgery",KR,2026-04-27T22:47:41Z
2026-03-09,K254032,QIAGEN GmbH,QIAstat-Dx Gastrointestinal Panel 2; QIAstat-Dx GI Panel 2 Mini B&V; QIAstat-Dx ,Microbiology,DE,2026-04-27T22:47:41Z
2026-03-09,K260405,"Arthrex, Inc.",FiberTape Button,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-09,K253413,"Perspectum, Ltd.",LiverMultiScan (v6.0),Radiology,GB,2026-04-27T22:47:41Z
2026-03-08,K253668,Onera B.V.,Onera SleepMap (SLEEPMAP),Neurology,NL,2026-04-27T22:47:41Z
2026-03-06,K260361,"Treace Medical Concepts, Inc.",Treace Medical Concepts (TMC) Screw Fixation System,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-06,K251807,Olympus Medical Systems Corp.,"Single Use Electrosurgical Hemostatic Forceps FD-410LR, FD-411UR, FD-412LR","Gastroenterology, Urology",JP,2026-04-27T22:47:41Z
2026-03-06,K253538,Theramicro,TeKBrace Knotless Anchor,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-06,K253132,"Zhejiang Chuangxiang Medical Technology Co., Ltd.",Single use stone retrieval balloons,"Gastroenterology, Urology",CN,2026-04-27T22:47:41Z
2026-03-06,K253951,"Guangzhou Potent Medical Equipment Joint-Stock Co., Ltd.",Holmium Laser Therapeutic Apparatus (HZ-A); Holmium Laser Therapeutic Apparatus ,"General, Plastic Surgery",CN,2026-04-27T22:47:41Z
2026-03-06,K260167,BunkerHill Health,Bunkerhill Contrast AVC,Radiology,US,2026-04-27T22:47:41Z
2026-03-06,K260013,"Calyxo, Inc.",CVAC Image Processor,"Gastroenterology, Urology",US,2026-04-27T22:47:41Z
2026-03-06,K253772,Adeor Medical AG,Velocity Alpha MR High Speed Surgical Drill System,Neurology,DE,2026-04-27T22:47:41Z
2026-03-06,K253262,Nano4imaging GmbH,EmeryGlide (EG18008901),Cardiovascular,DE,2026-04-27T22:47:41Z
