manager_cik,manager_name,filed_date,period,filing_url,watched
0002007171,"Turtle Creek Wealth Advisors, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/2007171/000139834426007299/0001398344-26-007299-index.htm,
0001802459,"CWS Financial Advisors, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1802459/000110465926049318/0001104659-26-049318-index.htm,
0001255435,CUMBERLAND ADVISORS INC,2026-04-27,,https://www.sec.gov/Archives/edgar/data/1255435/000142050626000753/0001420506-26-000753-index.htm,
0001843715,"Latitude Advisors, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1843715/000175496026000335/0001754960-26-000335-index.htm,
0002104898,"Geremia Financial Services, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/2104898/000210489826000002/0002104898-26-000002-index.htm,
0001973224,"PFG Investments, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1973224/000175496026000334/0001754960-26-000334-index.htm,
0001972835,Consolidated Portfolio Review Corp,2026-04-27,,https://www.sec.gov/Archives/edgar/data/1972835/000175496026000333/0001754960-26-000333-index.htm,
0001590214,"BIP Wealth, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1590214/000159021426000004/0001590214-26-000004-index.htm,
0001672067,"Kelman-Lazarov, Inc.",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1672067/000139834426007296/0001398344-26-007296-index.htm,
0002057153,Baer Investment Advisory LLC,2026-04-27,,https://www.sec.gov/Archives/edgar/data/2057153/000175496026000332/0001754960-26-000332-index.htm,
0002103359,JM2 Capital Inc.,2026-04-27,,https://www.sec.gov/Archives/edgar/data/2103359/000175496026000331/0001754960-26-000331-index.htm,
0002076040,"Charter Capital Management, LLC\DE",2026-04-27,,https://www.sec.gov/Archives/edgar/data/2076040/000207604026000004/0002076040-26-000004-index.htm,
0002106605,"Vavra Capital Management, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/2106605/000142050626000751/0001420506-26-000751-index.htm,
0001944780,"ACUTE INVESTMENT ADVISORY, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1944780/000175496026000330/0001754960-26-000330-index.htm,
0002055620,"CERTIOR FINANCIAL GROUP, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/2055620/000110465926049297/0001104659-26-049297-index.htm,
0000092230,TRUIST FINANCIAL CORP,2026-04-27,,https://www.sec.gov/Archives/edgar/data/92230/000009223026000059/0000092230-26-000059-index.htm,
0001703080,"MONEYWISE, INC.",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1703080/000175496026000329/0001754960-26-000329-index.htm,
0001551017,TD PRIVATE CLIENT WEALTH LLC,2026-04-27,,https://www.sec.gov/Archives/edgar/data/1551017/000205259526000059/0002052595-26-000059-index.htm,
0002127791,"Navigate Wealth Management, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/2127791/000212779126000001/0002127791-26-000001-index.htm,
0001564835,"ASAHI LIFE ASSET MANAGEMENT CO., LTD.",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1564835/000175496026000328/0001754960-26-000328-index.htm,
0001940869,GDS Wealth Management,2026-04-27,,https://www.sec.gov/Archives/edgar/data/1940869/000194086926000002/0001940869-26-000002-index.htm,
0001802530,Soltis Investment Advisors LLC,2026-04-27,,https://www.sec.gov/Archives/edgar/data/1802530/000180253026000003/0001802530-26-000003-index.htm,
0002101909,Liberty Atlantic Advisors LLC,2026-04-27,,https://www.sec.gov/Archives/edgar/data/2101909/000175496026000327/0001754960-26-000327-index.htm,
0002011333,"VICTORY FINANCIAL GROUP, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/2011333/000175496026000326/0001754960-26-000326-index.htm,
0000811360,"Capital Investment Services of America, Inc.",2026-04-27,,https://www.sec.gov/Archives/edgar/data/811360/000081136026000005/0000811360-26-000005-index.htm,
0001947670,"Cresta Advisors, Ltd.",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1947670/000175496026000325/0001754960-26-000325-index.htm,
0001767699,"ALTERNA WEALTH MANAGEMENT, INC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1767699/000176769926000002/0001767699-26-000002-index.htm,
0001929662,"Quantum Private Wealth, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1929662/000110465926049289/0001104659-26-049289-index.htm,
0001596055,"Silver Lake Advisory, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1596055/000175496026000324/0001754960-26-000324-index.htm,
0001697493,"Symmetry Partners, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1697493/000169749326000003/0001697493-26-000003-index.htm,
