time_tag,satellite,flux,observed_flux,flare_class,captured_at
2026-04-27T22:25:00Z,18,1.069e-06,1.080e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:24:00Z,18,3.273e-08,3.754e-08,A3.8,2026-04-27T23:11:52Z
2026-04-27T22:24:00Z,18,1.066e-06,1.076e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:23:00Z,18,2.832e-08,3.296e-08,A3.3,2026-04-27T23:11:52Z
2026-04-27T22:23:00Z,18,1.014e-06,1.024e-06,C1.0,2026-04-27T23:11:52Z
2026-04-27T22:22:00Z,18,2.351e-08,2.816e-08,A2.8,2026-04-27T23:11:52Z
2026-04-27T22:22:00Z,18,9.493e-07,9.593e-07,B9.6,2026-04-27T23:11:52Z
2026-04-27T22:21:00Z,18,1.670e-08,2.147e-08,A2.1,2026-04-27T23:11:52Z
2026-04-27T22:21:00Z,18,8.788e-07,8.889e-07,B8.9,2026-04-27T23:11:52Z
2026-04-27T22:20:00Z,18,9.186e-09,1.432e-08,A1.4,2026-04-27T23:11:52Z
2026-04-27T22:20:00Z,18,8.219e-07,8.322e-07,B8.3,2026-04-27T23:11:52Z
2026-04-27T22:19:00Z,18,7.684e-09,1.285e-08,A1.3,2026-04-27T23:11:52Z
2026-04-27T22:19:00Z,18,8.158e-07,8.257e-07,B8.3,2026-04-27T23:11:52Z
2026-04-27T22:18:00Z,18,8.099e-09,1.313e-08,A1.3,2026-04-27T23:11:52Z
2026-04-27T22:18:00Z,18,8.145e-07,8.248e-07,B8.2,2026-04-27T23:11:52Z
2026-04-27T22:17:00Z,18,8.084e-09,1.293e-08,A1.3,2026-04-27T23:11:52Z
2026-04-27T22:17:00Z,18,8.201e-07,8.302e-07,B8.3,2026-04-27T23:11:52Z
2026-04-27T22:16:00Z,18,9.225e-09,1.418e-08,A1.4,2026-04-27T23:11:52Z
2026-04-27T22:16:00Z,18,8.253e-07,8.355e-07,B8.4,2026-04-27T23:11:52Z
2026-04-27T22:15:00Z,18,1.013e-08,1.506e-08,A1.5,2026-04-27T23:11:52Z
2026-04-27T22:15:00Z,18,8.340e-07,8.444e-07,B8.4,2026-04-27T23:11:52Z
2026-04-27T22:14:00Z,18,8.599e-09,1.341e-08,A1.3,2026-04-27T23:11:52Z
2026-04-27T22:14:00Z,18,8.390e-07,8.494e-07,B8.5,2026-04-27T23:11:52Z
2026-04-27T22:13:00Z,18,1.001e-08,1.476e-08,A1.5,2026-04-27T23:11:52Z
2026-04-27T22:13:00Z,18,8.501e-07,8.604e-07,B8.6,2026-04-27T23:11:52Z
2026-04-27T22:12:00Z,18,1.044e-08,1.524e-08,A1.5,2026-04-27T23:11:52Z
2026-04-27T22:12:00Z,18,8.612e-07,8.718e-07,B8.7,2026-04-27T23:11:52Z
2026-04-27T22:11:00Z,18,1.045e-08,1.530e-08,A1.5,2026-04-27T23:11:52Z
2026-04-27T22:11:00Z,18,8.739e-07,8.845e-07,B8.8,2026-04-27T23:11:52Z
2026-04-27T22:10:00Z,18,1.234e-08,1.734e-08,A1.7,2026-04-27T23:11:52Z
2026-04-27T22:10:00Z,18,8.876e-07,8.983e-07,B9.0,2026-04-27T23:11:52Z
2026-04-27T22:09:00Z,18,1.210e-08,1.694e-08,A1.7,2026-04-27T23:11:52Z
2026-04-27T22:09:00Z,18,8.993e-07,9.102e-07,B9.1,2026-04-27T23:11:52Z
2026-04-27T22:08:00Z,18,1.388e-08,1.901e-08,A1.9,2026-04-27T23:11:52Z
2026-04-27T22:08:00Z,18,9.070e-07,9.177e-07,B9.2,2026-04-27T23:11:52Z
2026-04-27T22:07:00Z,18,1.499e-08,1.999e-08,A2.0,2026-04-27T23:11:52Z
2026-04-27T22:07:00Z,18,9.154e-07,9.263e-07,B9.3,2026-04-27T23:11:52Z
2026-04-27T22:06:00Z,18,1.330e-08,1.824e-08,A1.8,2026-04-27T23:11:52Z
2026-04-27T22:06:00Z,18,9.258e-07,9.368e-07,B9.4,2026-04-27T23:11:52Z
2026-04-27T22:05:00Z,18,1.580e-08,2.088e-08,A2.1,2026-04-27T23:11:52Z
2026-04-27T22:05:00Z,18,9.451e-07,9.564e-07,B9.6,2026-04-27T23:11:52Z
2026-04-27T22:04:00Z,18,1.583e-08,2.118e-08,A2.1,2026-04-27T23:11:52Z
2026-04-27T22:04:00Z,18,9.370e-07,9.486e-07,B9.5,2026-04-27T23:11:52Z
2026-04-27T22:03:00Z,18,1.461e-08,1.962e-08,A2.0,2026-04-27T23:11:52Z
2026-04-27T22:03:00Z,18,9.261e-07,9.375e-07,B9.4,2026-04-27T23:11:52Z
2026-04-27T22:02:00Z,18,1.570e-08,2.076e-08,A2.1,2026-04-27T23:11:52Z
2026-04-27T22:02:00Z,18,9.208e-07,9.322e-07,B9.3,2026-04-27T23:11:52Z
2026-04-27T22:01:00Z,18,1.897e-08,2.443e-08,A2.4,2026-04-27T23:11:52Z
2026-04-27T22:01:00Z,18,9.339e-07,9.453e-07,B9.5,2026-04-27T23:11:52Z
2026-04-27T22:00:00Z,18,1.964e-08,2.489e-08,A2.5,2026-04-27T23:11:52Z
2026-04-27T22:00:00Z,18,9.324e-07,9.437e-07,B9.4,2026-04-27T23:11:52Z
2026-04-27T21:59:00Z,18,1.864e-08,2.394e-08,A2.4,2026-04-27T23:11:52Z
2026-04-27T21:59:00Z,18,9.240e-07,9.354e-07,B9.4,2026-04-27T23:11:52Z
2026-04-27T21:58:00Z,18,1.861e-08,2.388e-08,A2.4,2026-04-27T23:11:52Z
2026-04-27T21:58:00Z,18,9.228e-07,9.343e-07,B9.3,2026-04-27T23:11:52Z
2026-04-27T21:57:00Z,18,1.724e-08,2.239e-08,A2.2,2026-04-27T23:11:52Z
2026-04-27T21:57:00Z,18,9.110e-07,9.224e-07,B9.2,2026-04-27T23:11:52Z
2026-04-27T21:56:00Z,18,1.630e-08,2.145e-08,A2.1,2026-04-27T23:11:52Z
2026-04-27T21:56:00Z,18,9.093e-07,9.205e-07,B9.2,2026-04-27T23:11:52Z
2026-04-27T21:55:00Z,18,1.756e-08,2.257e-08,A2.3,2026-04-27T23:11:52Z
2026-04-27T21:55:00Z,18,8.983e-07,9.096e-07,B9.1,2026-04-27T23:11:52Z
2026-04-27T21:54:00Z,18,1.646e-08,2.132e-08,A2.1,2026-04-27T23:11:52Z
2026-04-27T21:54:00Z,18,8.649e-07,8.764e-07,B8.8,2026-04-27T23:11:52Z
2026-04-27T21:53:00Z,18,1.119e-08,1.599e-08,A1.6,2026-04-27T23:11:52Z
2026-04-27T21:53:00Z,18,8.289e-07,8.405e-07,B8.4,2026-04-27T23:11:52Z
2026-04-27T21:52:00Z,18,1.163e-08,1.659e-08,A1.7,2026-04-27T23:11:52Z
2026-04-27T21:52:00Z,18,8.369e-07,8.482e-07,B8.5,2026-04-27T23:11:52Z
2026-04-27T21:51:00Z,18,9.417e-09,1.454e-08,A1.5,2026-04-27T23:11:52Z
2026-04-27T21:51:00Z,18,8.523e-07,8.640e-07,B8.6,2026-04-27T23:11:52Z
2026-04-27T21:50:00Z,18,1.111e-08,1.635e-08,A1.6,2026-04-27T23:11:52Z
2026-04-27T21:50:00Z,18,8.834e-07,8.953e-07,B9.0,2026-04-27T23:11:52Z
2026-04-27T21:49:00Z,18,1.407e-08,1.962e-08,A2.0,2026-04-27T23:11:52Z
2026-04-27T21:49:00Z,18,9.040e-07,9.158e-07,B9.2,2026-04-27T23:11:52Z
2026-04-27T21:48:00Z,18,1.489e-08,1.997e-08,A2.0,2026-04-27T23:11:52Z
2026-04-27T21:48:00Z,18,9.198e-07,9.319e-07,B9.3,2026-04-27T23:11:52Z
2026-04-27T21:47:00Z,18,1.602e-08,2.160e-08,A2.2,2026-04-27T23:11:52Z
2026-04-27T21:47:00Z,18,9.503e-07,9.624e-07,B9.6,2026-04-27T23:11:52Z
2026-04-27T21:46:00Z,18,2.011e-08,2.542e-08,A2.5,2026-04-27T23:11:52Z
2026-04-27T21:46:00Z,18,9.943e-07,1.006e-06,C1.0,2026-04-27T23:11:52Z
2026-04-27T21:45:00Z,18,2.791e-08,3.326e-08,A3.3,2026-04-27T23:11:52Z
2026-04-27T21:45:00Z,18,1.049e-06,1.061e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T21:44:00Z,18,3.480e-08,4.007e-08,A4.0,2026-04-27T23:11:52Z
2026-04-27T21:44:00Z,18,1.080e-06,1.092e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T21:43:00Z,18,3.253e-08,3.770e-08,A3.8,2026-04-27T23:11:52Z
2026-04-27T21:43:00Z,18,1.029e-06,1.040e-06,C1.0,2026-04-27T23:11:52Z
2026-04-27T21:42:00Z,18,1.597e-08,2.123e-08,A2.1,2026-04-27T23:11:52Z
2026-04-27T21:42:00Z,18,8.886e-07,9.004e-07,B9.0,2026-04-27T23:11:52Z
2026-04-27T21:41:00Z,18,8.476e-09,1.359e-08,A1.4,2026-04-27T23:11:52Z
2026-04-27T21:41:00Z,18,8.187e-07,8.308e-07,B8.3,2026-04-27T23:11:52Z
2026-04-27T21:40:00Z,18,7.641e-09,1.300e-08,A1.3,2026-04-27T23:11:52Z
2026-04-27T21:40:00Z,18,8.105e-07,8.222e-07,B8.2,2026-04-27T23:11:52Z
2026-04-27T21:39:00Z,18,8.278e-09,1.353e-08,A1.4,2026-04-27T23:11:52Z
2026-04-27T21:39:00Z,18,8.137e-07,8.254e-07,B8.3,2026-04-27T23:11:52Z
2026-04-27T21:38:00Z,18,6.883e-09,1.225e-08,A1.2,2026-04-27T23:11:52Z
2026-04-27T21:38:00Z,18,8.172e-07,8.289e-07,B8.3,2026-04-27T23:11:52Z
2026-04-27T21:37:00Z,18,7.388e-09,1.266e-08,A1.3,2026-04-27T23:11:52Z
2026-04-27T21:37:00Z,18,8.167e-07,8.285e-07,B8.3,2026-04-27T23:11:52Z
2026-04-27T21:36:00Z,18,9.678e-09,1.520e-08,A1.5,2026-04-27T23:11:52Z
2026-04-27T21:36:00Z,18,8.245e-07,8.361e-07,B8.4,2026-04-27T23:11:52Z
2026-04-27T21:35:00Z,18,7.968e-09,1.364e-08,A1.4,2026-04-27T23:11:52Z
2026-04-27T21:35:00Z,18,8.170e-07,8.291e-07,B8.3,2026-04-27T23:11:52Z
2026-04-27T21:34:00Z,18,9.289e-09,1.468e-08,A1.5,2026-04-27T23:11:52Z
2026-04-27T21:34:00Z,18,8.209e-07,8.328e-07,B8.3,2026-04-27T23:11:52Z
2026-04-27T21:33:00Z,18,8.532e-09,1.409e-08,A1.4,2026-04-27T23:11:52Z
2026-04-27T21:33:00Z,18,8.266e-07,8.387e-07,B8.4,2026-04-27T23:11:52Z
2026-04-27T21:32:00Z,18,8.721e-09,1.408e-08,A1.4,2026-04-27T23:11:52Z
2026-04-27T21:32:00Z,18,8.359e-07,8.477e-07,B8.5,2026-04-27T23:11:52Z
2026-04-27T21:31:00Z,18,1.013e-08,1.516e-08,A1.5,2026-04-27T23:11:52Z
2026-04-27T21:31:00Z,18,8.451e-07,8.569e-07,B8.6,2026-04-27T23:11:52Z
2026-04-27T21:30:00Z,18,1.044e-08,1.570e-08,A1.6,2026-04-27T23:11:52Z
2026-04-27T21:30:00Z,18,8.635e-07,8.752e-07,B8.8,2026-04-27T23:11:52Z
2026-04-27T21:29:00Z,18,1.157e-08,1.678e-08,A1.7,2026-04-27T23:11:52Z
2026-04-27T21:29:00Z,18,8.897e-07,9.014e-07,B9.0,2026-04-27T23:11:52Z
2026-04-27T21:28:00Z,18,1.435e-08,1.951e-08,A2.0,2026-04-27T23:11:52Z
2026-04-27T21:28:00Z,18,9.240e-07,9.355e-07,B9.4,2026-04-27T23:11:52Z
2026-04-27T21:27:00Z,18,1.670e-08,2.211e-08,A2.2,2026-04-27T23:11:52Z
2026-04-27T21:27:00Z,18,9.416e-07,9.533e-07,B9.5,2026-04-27T23:11:52Z
2026-04-27T21:26:00Z,18,1.847e-08,2.396e-08,A2.4,2026-04-27T23:11:52Z
2026-04-27T21:26:00Z,18,9.447e-07,9.563e-07,B9.6,2026-04-27T23:11:52Z
2026-04-27T21:25:00Z,18,1.700e-08,2.222e-08,A2.2,2026-04-27T23:11:52Z
2026-04-27T21:25:00Z,18,9.125e-07,9.246e-07,B9.2,2026-04-27T23:11:52Z
2026-04-27T21:24:00Z,18,1.327e-08,1.886e-08,A1.9,2026-04-27T23:11:52Z
2026-04-27T21:24:00Z,18,8.791e-07,8.910e-07,B8.9,2026-04-27T23:11:52Z
2026-04-27T21:23:00Z,18,1.285e-08,1.836e-08,A1.8,2026-04-27T23:11:52Z
2026-04-27T21:23:00Z,18,8.782e-07,8.901e-07,B8.9,2026-04-27T23:11:52Z
2026-04-27T21:22:00Z,18,1.378e-08,1.904e-08,A1.9,2026-04-27T23:11:52Z
2026-04-27T21:22:00Z,18,8.795e-07,8.917e-07,B8.9,2026-04-27T23:11:52Z
2026-04-27T21:21:00Z,18,1.209e-08,1.751e-08,A1.8,2026-04-27T23:11:52Z
2026-04-27T21:21:00Z,18,8.742e-07,8.865e-07,B8.9,2026-04-27T23:11:52Z
2026-04-27T21:20:00Z,18,1.254e-08,1.797e-08,A1.8,2026-04-27T23:11:52Z
2026-04-27T21:20:00Z,18,8.802e-07,8.927e-07,B8.9,2026-04-27T23:11:52Z
2026-04-27T21:19:00Z,18,1.429e-08,1.959e-08,A2.0,2026-04-27T23:11:52Z
2026-04-27T21:19:00Z,18,8.779e-07,8.903e-07,B8.9,2026-04-27T23:11:52Z
2026-04-27T21:18:00Z,18,1.265e-08,1.793e-08,A1.8,2026-04-27T23:11:52Z
2026-04-27T21:18:00Z,18,8.663e-07,8.788e-07,B8.8,2026-04-27T23:11:52Z
2026-04-27T21:17:00Z,18,1.158e-08,1.710e-08,A1.7,2026-04-27T23:11:52Z
2026-04-27T21:17:00Z,18,8.600e-07,8.725e-07,B8.7,2026-04-27T23:11:52Z
2026-04-27T21:16:00Z,18,1.012e-08,1.550e-08,A1.6,2026-04-27T23:11:52Z
2026-04-27T21:16:00Z,18,8.528e-07,8.650e-07,B8.7,2026-04-27T23:11:52Z
2026-04-27T21:15:00Z,18,9.519e-09,1.496e-08,A1.5,2026-04-27T23:11:52Z
2026-04-27T21:15:00Z,18,8.619e-07,8.741e-07,B8.7,2026-04-27T23:11:52Z
2026-04-27T21:14:00Z,18,1.164e-08,1.679e-08,A1.7,2026-04-27T23:11:52Z
2026-04-27T21:14:00Z,18,8.779e-07,8.902e-07,B8.9,2026-04-27T23:11:52Z
2026-04-27T21:13:00Z,18,1.333e-08,1.863e-08,A1.9,2026-04-27T23:11:52Z
2026-04-27T21:13:00Z,18,9.035e-07,9.158e-07,B9.2,2026-04-27T23:11:52Z
2026-04-27T21:12:00Z,18,1.830e-08,2.360e-08,A2.4,2026-04-27T23:11:52Z
2026-04-27T21:12:00Z,18,9.360e-07,9.482e-07,B9.5,2026-04-27T23:11:52Z
2026-04-27T21:11:00Z,18,1.943e-08,2.473e-08,A2.5,2026-04-27T23:11:52Z
2026-04-27T21:11:00Z,18,9.414e-07,9.536e-07,B9.5,2026-04-27T23:11:52Z
2026-04-27T21:10:00Z,18,1.357e-08,1.891e-08,A1.9,2026-04-27T23:11:52Z
2026-04-27T21:10:00Z,18,9.137e-07,9.258e-07,B9.3,2026-04-27T23:11:52Z
2026-04-27T21:09:00Z,18,1.487e-08,2.004e-08,A2.0,2026-04-27T23:11:52Z
2026-04-27T21:09:00Z,18,9.124e-07,9.244e-07,B9.2,2026-04-27T23:11:52Z
2026-04-27T21:08:00Z,18,1.461e-08,1.994e-08,A2.0,2026-04-27T23:11:52Z
2026-04-27T21:08:00Z,18,9.048e-07,9.166e-07,B9.2,2026-04-27T23:11:52Z
2026-04-27T21:07:00Z,18,1.406e-08,1.920e-08,A1.9,2026-04-27T23:11:52Z
2026-04-27T21:07:00Z,18,9.173e-07,9.295e-07,B9.3,2026-04-27T23:11:52Z
2026-04-27T21:06:00Z,18,1.481e-08,1.970e-08,A2.0,2026-04-27T23:11:52Z
2026-04-27T21:06:00Z,18,9.178e-07,9.299e-07,B9.3,2026-04-27T23:11:52Z
2026-04-27T21:05:00Z,18,1.661e-08,2.187e-08,A2.2,2026-04-27T23:11:52Z
2026-04-27T21:05:00Z,18,9.504e-07,9.627e-07,B9.6,2026-04-27T23:11:52Z
2026-04-27T21:04:00Z,18,1.967e-08,2.483e-08,A2.5,2026-04-27T23:11:52Z
2026-04-27T21:04:00Z,18,9.911e-07,1.003e-06,C1.0,2026-04-27T23:11:52Z
2026-04-27T21:03:00Z,18,2.234e-08,2.770e-08,A2.8,2026-04-27T23:11:52Z
2026-04-27T21:03:00Z,18,1.011e-06,1.023e-06,C1.0,2026-04-27T23:11:52Z
2026-04-27T21:02:00Z,18,2.030e-08,2.575e-08,A2.6,2026-04-27T23:11:52Z
2026-04-27T21:02:00Z,18,9.863e-07,9.985e-07,B10.0,2026-04-27T23:11:52Z
2026-04-27T21:01:00Z,18,1.760e-08,2.323e-08,A2.3,2026-04-27T23:11:52Z
2026-04-27T21:01:00Z,18,9.652e-07,9.776e-07,B9.8,2026-04-27T23:11:52Z
2026-04-27T21:00:00Z,18,1.996e-08,2.588e-08,A2.6,2026-04-27T23:11:52Z
2026-04-27T21:00:00Z,18,9.882e-07,1.001e-06,C1.0,2026-04-27T23:11:52Z
2026-04-27T20:59:00Z,18,2.277e-08,2.848e-08,A2.8,2026-04-27T23:11:52Z
2026-04-27T20:59:00Z,18,1.022e-06,1.035e-06,C1.0,2026-04-27T23:11:52Z
2026-04-27T20:58:00Z,18,2.446e-08,3.007e-08,A3.0,2026-04-27T23:11:52Z
2026-04-27T20:58:00Z,18,1.038e-06,1.051e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T20:57:00Z,18,2.738e-08,3.292e-08,A3.3,2026-04-27T23:11:52Z
2026-04-27T20:57:00Z,18,1.045e-06,1.057e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T20:56:00Z,18,2.952e-08,3.479e-08,A3.5,2026-04-27T23:11:52Z
2026-04-27T20:56:00Z,18,1.066e-06,1.079e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T20:55:00Z,18,2.949e-08,3.469e-08,A3.5,2026-04-27T23:11:52Z
2026-04-27T20:55:00Z,18,1.070e-06,1.083e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T20:54:00Z,18,2.772e-08,3.298e-08,A3.3,2026-04-27T23:11:52Z
2026-04-27T20:54:00Z,18,1.054e-06,1.067e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T20:53:00Z,18,2.806e-08,3.315e-08,A3.3,2026-04-27T23:11:52Z
2026-04-27T20:53:00Z,18,1.047e-06,1.059e-06,C1.1,2026-04-27T23:11:52Z
