filed,form,ticker,target,ciks,accession,captured_at
2026-03-27,DEFM14A,FARM,FARMER BROTHERS CO,0000034563,0001104659-26-035700,2026-04-27T22:55:17Z
2026-03-27,DEFM14A,SLAB,SILICON LABORATORIES INC.,0001038074,0001193125-26-128959,2026-04-27T22:55:17Z
2026-03-26,DEFM14A,WBD,"Warner Bros. Discovery, Inc.",0001437107,0001193125-26-125075,2026-04-27T22:55:17Z
2026-03-25,PREM14A,VRE,"Veris Residential, Inc.",0000924901,0001104659-26-034614,2026-04-27T22:55:17Z
2026-03-25,PREM14A,NVRI,ENVIRI Corp,0000045876,0001628280-26-020930,2026-04-27T22:55:17Z
2026-03-24,DEFM14A,,"DigitalBridge Group, Inc.",0001679688,0001104659-26-033634,2026-04-27T22:55:17Z
2026-03-23,DEFM14A,,Technology & Telecommunication Acquisition Corp,0001900679,0001493152-26-012048,2026-04-27T22:55:17Z
2026-03-23,DEFM14A,ARI,"Apollo Commercial Real Estate Finance, Inc.",0001467760,0001193125-26-119995,2026-04-27T22:55:17Z
2026-03-20,PREM14A,KW,"Kennedy-Wilson Holdings, Inc.",0001408100,0001140361-26-010566,2026-04-27T22:55:17Z
2026-03-20,DEFM14A,CVGW,CALAVO GROWERS INC,0001133470,0001193125-26-117814,2026-04-27T22:55:17Z
2026-03-20,PREM14C,EKSO,"EKSO BIONICS HOLDINGS, INC.",0001549084,0001437749-26-009267,2026-04-27T22:55:17Z
2026-03-18,PREM14A,MASI,MASIMO CORP,0000937556,0001104659-26-031261,2026-04-27T22:55:17Z
2026-03-18,DEFM14A,STKL,SunOpta Inc.,0000351834,0001193125-26-112429,2026-04-27T22:55:17Z
2026-03-17,PREM14A,FARM,FARMER BROTHERS CO,0000034563,0001104659-26-029601,2026-04-27T22:55:17Z
2026-03-17,DEFM14A,TPH,"Tri Pointe Homes, Inc.",0001561680,0001193125-26-110678,2026-04-27T22:55:17Z
2026-03-16,PREM14A,WBD,"Warner Bros. Discovery, Inc.",0001437107,0001193125-26-108369,2026-04-27T22:55:17Z
2026-03-16,DEFM14A,PKST,Peakstone Realty Trust,0001600626,0001140361-26-009458,2026-04-27T22:55:17Z
2026-03-16,DEFM14A,,Vine Hill Capital Investment Corp.,0002025396,0001213900-26-028308,2026-04-27T22:55:17Z
2026-03-13,PREM14A,SLAB,SILICON LABORATORIES INC.,0001038074,0001193125-26-106334,2026-04-27T22:55:17Z
