filed,form,ticker,issuer,ciks,accession,cluster_count,captured_at
2026-04-02,NT 10-K,SKFG,"Stark Focus Group, Inc.",0001794942,0001640334-26-000619,1,2026-04-27T23:00:08Z
2026-04-02,NT 10-K,,Patria Latin American Opportunity Acquisition Corp.,0001849737,0001213900-26-038750,0,2026-04-27T23:00:08Z
2026-04-02,NT 10-K/A,MTEX,MANNATECH INC,0001056358,0001437749-26-011099,2,2026-04-27T23:00:08Z
2026-04-02,NT 10-K,AIXN,"AiXin Life International, Inc.",0000835662,0001493152-26-014729,1,2026-04-27T23:00:08Z
2026-04-02,NT 10-K,ROYL,"Royale Energy, Inc.",0001694617,0001185185-26-001236,1,2026-04-27T23:00:08Z
2026-04-02,NT 10-K,ASFT,"Appsoft Technologies, Inc.",0001651992,0001477932-26-001951,1,2026-04-27T23:00:08Z
2026-04-02,NT 10-K,BLNC,"Balance Labs, Inc.",0001632121,0001493152-26-014846,1,2026-04-27T23:00:08Z
2026-04-02,NT 10-K,,Oak Woods Acquisition Corp,0001945422,0001213900-26-038842,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,CFOO,China Foods Holdings Ltd.,0001310630,0001493152-26-014425,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,IVF,"INVO Fertility, Inc.",0001417926,0001493152-26-014527,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,Greenland Mines Ltd,0001907223,0001213900-26-038209,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,GLVT,GREENLIT VENTURES INC.,0001693687,0001640334-26-000611,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,QVC INC,0001254699,0001104659-26-037942,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,BRGX,"BIOREGENX, INC.",0001593184,0001683168-26-002567,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,STQN,STRATEGIC ACQUISITIONS INC /NV/,0000847942,0001493152-26-014487,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,BIXT,"BIOXYTRAN, INC",0001445815,0001493152-26-014474,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,TXMD,"TherapeuticsMD, Inc.",0000025743,0001213900-26-037914,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,"CERO THERAPEUTICS HOLDINGS, INC.",0001870404,0001213900-26-038509,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,Constellation Acquisition Corp I,0001834032,0001213900-26-038529,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,QWTR,"Quest Water Global, Inc.",0001487091,0001493152-26-014393,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,ASFH,ASIAFIN HOLDINGS CORP.,0001828748,0001493152-26-014445,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,Alchemy Investments Acquisition Corp 1,0001901336,0001104659-26-038242,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,Zeo Energy Corp.,0001865506,0001213900-26-037780,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,BRQL,DYNAMIC AEROSPACE SYSTEMS Corp,0001854526,0001477932-26-001912,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,RBTK,ZHEN DING RESOURCES INC.,0001594204,0001214659-26-004137,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,MNTR,"Mentor Capital, Inc.",0001599117,0001493152-26-014585,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,Pyrophyte Acquisition Corp.,0001848756,0001213900-26-038526,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,AAPI,"Apple iSports Group, Inc.",0001134982,0001477932-26-001904,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,AUMN,Golden Minerals Co,0001011509,0001176256-26-000038,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,OBTC,Osprey Bitcoin Trust,0001767057,0001493152-26-014436,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,SNYR,Synergy CHC Corp.,0001562733,0001213900-26-037819,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,WINDTREE THERAPEUTICS INC /DE/,0000946486,0001437749-26-010838,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,IPST,"IP STRATEGY HOLDINGS, INC.",0001788230,0001788230-26-000031,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,PMHS,"Polomar Health Services, Inc.",0001265521,0001493152-26-014496,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,"Rain Enhancement Technologies Holdco, Inc.",0002028293,0001213900-26-038025,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,"Nixxy, Inc.",0001462223,0001683168-26-002569,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,AAME,ATLANTIC AMERICAN CORP,0000008177,0001140361-26-012660,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,Scilex Holding Co,0001820190,0001193125-26-135582,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,SGA,SAGA COMMUNICATIONS INC,0000886136,0001104659-26-038286,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,"SHF Holdings, Inc.",0001854963,0001493152-26-014395,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,PNRG,PRIMEENERGY RESOURCES CORP,0000056868,0001437749-26-010798,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,TGLO,THEGLOBE COM INC,0001066684,0001104659-26-038013,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,IX Acquisition Corp.,0001852019,0001104659-26-038087,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,QNCX,"Quince Therapeutics, Inc.",0001662774,0001193125-26-138017,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,Integrated Wellness Acquisition Corp,0001877557,0001104659-26-038495,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,AMZE,"AMAZE HOLDINGS, INC.",0001880343,0001493152-26-014428,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,OZSC,"OZOP ENERGY SOLUTIONS, INC.",0001679817,0001493152-26-014607,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,Plum Acquisition Corp. III,0001845550,0001213900-26-038504,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,OLOX,OLENOX INDUSTRIES INC.,0001023994,0001213900-26-038062,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,TKLS,"Trutankless, Inc.",0001429393,0001477932-26-001893,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,APTN,"ADAPTIN BIO, INC.",0001938571,0001213900-26-038402,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,"Aimei Health Technology Co., Ltd.",0001979005,0001493152-26-014635,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,VS,Versus Systems Inc.,0001701963,0001213900-26-038582,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,Data Storage Corp,0001419951,0001731122-26-000513,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,ATLANTIC INTERNATIONAL CORP.,0001605888,0001605888-26-000009,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,"HARBOR DIVERSIFIED, INC.",0000899394,0001193125-26-138185,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,MTEX,MANNATECH INC,0001056358,0001437749-26-010913,2,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,OLB,"OLB GROUP, INC.",0001314196,0001213900-26-037815,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,NFSN,"Nongfu Shop Digital New Retail Co., Ltd",0001284454,0001477932-26-001914,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,Elite Performance Holding Corp,0001753681,0001477932-26-001885,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,D. Boral Acquisition I Corp.,0002095161,0001213900-26-037901,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,ILAL,International Land Alliance Inc.,0001657214,0001493152-26-014604,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,MLP,MAUI LAND & PINEAPPLE CO INC,0000063330,0001437749-26-010800,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,Drugs Made In America Acquisition Corp.,0002028614,0001213900-26-038499,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,Texas Republic Capital Corp,0001560452,0001185185-26-001207,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,VERI,"Veritone, Inc.",0001615165,0001628280-26-022577,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,PPSI,"PIONEER POWER SOLUTIONS, INC.",0001449792,0001493152-26-014643,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,BRBF,BRB Foods Inc.,0001976870,0001477932-26-001933,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,CHUC,"Charlie's Holdings, Inc.",0001134765,0001437749-26-010784,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,Sotherly Hotels Inc.,0001301236|0001313536,0001193125-26-135570,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,Graf Global Corp.,0001897463,0001104659-26-038217,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,RENX,RenX Enterprises Corp.,0001959023,0001213900-26-037997,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,FOFA,"FAMILY OFFICE OF AMERICA, INC.",0001871181,0001493152-26-014420,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,"Nauticus Robotics, Inc.",0001849820,0001849820-26-000037,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,FTII,FutureTech II Acquisition Corp.,0001889450,0001493152-26-014528,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,EHSI,Elite Health Systems Inc.,0001089815,0001437749-26-010876,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,XWEL,"XWELL, Inc.",0001410428,0001104659-26-037976,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,JUNS,"JUPITER NEUROSCIENCES, INC.",0001679628,0001493152-26-014681,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,DREM,Dream Homes & Development Corp.,0001518336,0001493152-26-014712,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,HYEX,HEALTHY EXTRACTS INC.,0001630176,0001096906-26-000452,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,EON Resources Inc.,0001842556,0001213900-26-038008,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,WSTRF,Western Uranium & Vanadium Corp.,0001621906,0001213900-26-038555,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,CNFN,CFN Enterprises Inc.,0001352952,0001096906-26-000467,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,OMQS,OMNIQ Corp.,0000278165,0001493152-26-014708,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,"GENERATION INCOME PROPERTIES, INC.",0001651721,0001193125-26-138232,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,RIME,"Algorhythm Holdings, Inc.",0000923601,0001493152-26-014652,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,FJET,"Starfighters Space, Inc.",0001947016,0001062993-26-001767,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,Sound Cave Technology Inc.,0001912540,0001477932-26-001888,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,,Keenova Therapeutics plc,0001567892,0001628280-26-022689,0,2026-04-27T23:00:08Z
2026-04-01,NT 10-K,SIDU,Sidus Space Inc.,0001879726,0001493152-26-014466,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-Q,CYCA,CYTTA CORP.,0001383088,0001477932-26-001938,1,2026-04-27T23:00:08Z
2026-04-01,NT 10-K/A,LRHC,La Rosa Holdings Corp.,0001879403,0001213900-26-038513,1,2026-04-27T23:00:08Z
