ticker,company,cik,q_current,val_current_usd,q_prior,val_prior_usd,yoy_pct,filed_current,accn_current,captured_at
LDDD,LONGDUODUO COMPANY LIMITED,0001892316,CY2025Q4,345265,CY2024Q4,1775495,-80.55,,0001213900-26-013420,2026-04-27T23:04:08Z
UNG,"United States Natural Gas Fund, LP",0001376227,CY2025Q4,5373309,CY2024Q4,56237000,-90.45,,0001104659-26-021507,2026-04-27T23:04:08Z
GGRP,"THE GLIMPSE GROUP, INC.",0001854445,CY2025Q4,10000,CY2024Q4,130000,-92.31,,0001493152-26-006951,2026-04-27T23:04:08Z
MGSD,"MAITONG SUNSHINE CULTURAL DEVELOPMENT CO., LIMITED",0002003750,CY2025Q4,24905,CY2024Q4,1022155,-97.56,,0001213900-26-018584,2026-04-27T23:04:08Z
TAAG,"THE AWARENESS GROUP, INC.",0001386044,CY2025Q4,331956,CY2024Q4,14793455,-97.76,,0001477932-26-002319,2026-04-27T23:04:08Z
UUU,"UNIVERSAL SAFETY PRODUCTS, INC.",0000102109,CY2025Q4,22549,CY2024Q4,5535148,-99.59,,0001104659-26-017568,2026-04-27T23:04:08Z
TEVJF,TEVA PHARMACEUTICAL INDUSTRIES LIMITED,0000818686,CY2025Q4,1500000000,CY2024Q4,,,,0001193125-26-034532,2026-04-27T23:04:08Z
AUSI,"AURA SYSTEMS, INC.",0000826253,CY2025Q4,80000,CY2024Q4,,,,0001213900-26-005589,2026-04-27T23:04:08Z
LII,LENNOX INTERNATIONAL INC.,0001069202,CY2025Q4,1195000000,CY2024Q4,,,,0001069202-26-000028,2026-04-27T23:04:08Z
PED,PEDEVCO CORP.,0001141197,CY2025Q4,14200000,CY2024Q4,,,,0001654954-26-003098,2026-04-27T23:04:08Z
MYSZ,"MY SIZE, INC.",0001211805,CY2025Q4,66000,CY2024Q4,,,,0001493152-26-016874,2026-04-27T23:04:08Z
TMGI,"The Marquie Group, Inc.",0001434601,CY2025Q4,15200,CY2024Q4,,,,0001683168-26-000422,2026-04-27T23:04:08Z
TRXA,T-REX Acquisition Corp.,0001437750,CY2025Q4,2131,CY2024Q4,,,,0001477932-26-000986,2026-04-27T23:04:08Z
BNCWW,CEA INDUSTRIES INC.,0001482541,CY2025Q4,7334626,CY2024Q4,,,,0001493152-26-010296,2026-04-27T23:04:08Z
