month,category,structure,value_sa,yoy_pct,captured_at
2024-02,ASTARTS,MULTI,396,,2026-04-27T23:04:27Z
2024-02,APERMITS,TOTAL,1577,,2026-04-27T23:04:27Z
2024-02,APERMITS,SINGLE,1032,,2026-04-27T23:04:27Z
2024-02,APERMITS,MULTI,487,,2026-04-27T23:04:27Z
2024-02,ACOMPLETIONS,TOTAL,1674,,2026-04-27T23:04:27Z
2024-02,ACOMPLETIONS,SINGLE,1059,,2026-04-27T23:04:27Z
2024-02,ACOMPLETIONS,MULTI,602,,2026-04-27T23:04:27Z
2024-01,ASTARTS,TOTAL,1381,,2026-04-27T23:04:27Z
2024-01,ASTARTS,SINGLE,1013,,2026-04-27T23:04:27Z
2024-01,ASTARTS,MULTI,350,,2026-04-27T23:04:27Z
2024-01,APERMITS,TOTAL,1545,,2026-04-27T23:04:27Z
2024-01,APERMITS,SINGLE,1039,,2026-04-27T23:04:27Z
2024-01,APERMITS,MULTI,454,,2026-04-27T23:04:27Z
2024-01,ACOMPLETIONS,TOTAL,1500,,2026-04-27T23:04:27Z
2024-01,ACOMPLETIONS,SINGLE,898,,2026-04-27T23:04:27Z
2024-01,ACOMPLETIONS,MULTI,583,,2026-04-27T23:04:27Z
