week_end,metric,jurisdiction,level,trend_2wk,captured_at
2025-09-07,SARS-CoV-2,Indiana,82.75,31,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Missouri,24.667,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Indiana,42.286,22,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Michigan,2.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Montana,39.4,2147483647,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,65.6,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Rhode Island,64.2,17,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wisconsin,29.5,1556,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Connecticut,92.5,125,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Minnesota,44.8,-52,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Mississippi,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,South Carolina,95.5,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wisconsin,26.222,-95,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,21.75,7,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wisconsin,66.4,-87,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Florida,78.833,-5,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,46.6,1,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wisconsin,23.6,1157,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Iowa,39.5,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,62.4,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,37.5,-66,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,65.667,3960,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,87.25,-76,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Missouri,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New Hampshire,26.0,4,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Nevada,62.4,121,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York City,50.5,18,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,51.0,232,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,85.0,4708362,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,71.0,266417359,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,70.667,-8,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Chicago,43.25,26,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Michigan,13.333,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Missouri,25.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,64.75,614,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,51.4,11724995,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Hawaii,79.4,29,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Missouri,14.333,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,South Carolina,60.5,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wisconsin,31.667,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,West Virginia,30.333,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,78.571,-9,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Kentucky,51.6,218644,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Missouri,54.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Missouri,28.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York City,38.25,-67,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Pennsylvania,52.8,96,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,40.0,-30,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Florida,64.0,-6,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Indiana,47.429,-2,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Mississippi,58.0,1,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New Jersey,53.333,3,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Hawaii,82.8,-23,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Arizona,56.0,258,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,24.2,116,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Missouri,23.333,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,71.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Virginia,81.5,871,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New Jersey,34.2,148,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,30.25,-87,2026-04-27T23:12:20Z
