cve_id,vendor,product,vulnerability,date_added,due_date,known_ransomware,tickers_affected,short_desc,captured_at
CVE-2026-21519,Microsoft,Windows,Microsoft Windows Type Confusion Vulnerability,2026-02-10,2026-03-03,Unknown,MSFT,Microsoft Desktop Windows Manager contains a type confusion vulnerability that could allow an authorized attacker to elevate privileges locally.,2026-04-27T23:12:22Z
CVE-2026-21514,Microsoft,Office,Microsoft Office Word Reliance on Untrusted Inputs in a Security Decision Vulnerability,2026-02-10,2026-03-03,Unknown,MSFT,Microsoft Office Word contains a reliance on untrusted inputs in a security decision vulnerability that could allow an authorized attacker to elevate privileges locally.,2026-04-27T23:12:22Z
CVE-2025-11953,React Native Community,CLI,React Native Community CLI OS Command Injection Vulnerability,2026-02-05,2026-02-26,Unknown,,React Native Community CLI contains an OS command injection vulnerability which could allow unauthenticated network attackers to send POST requests to the Metro Development Server and run arbitrary ex,2026-04-27T23:12:22Z
CVE-2026-24423,SmarterTools,SmarterMail,SmarterTools SmarterMail Missing Authentication for Critical Function Vulnerability,2026-02-05,2026-02-26,Known,,SmarterTools SmarterMail contains a missing authentication for critical function vulnerability in the ConnectToHub API method. This could allow the attacker to point the SmarterMail instance to a mali,2026-04-27T23:12:22Z
CVE-2021-39935,GitLab,Community and Enterprise Editions,GitLab Community and Enterprise Editions Server-Side Request Forgery (SSRF) Vulnerability,2026-02-03,2026-02-24,Unknown,,GitLab Community and Enterprise Editions contain a server-side request forgery vulnerability which could allow unauthorized external users to perform Server Side Requests via the CI Lint API. ,2026-04-27T23:12:22Z
CVE-2025-64328,Sangoma,FreePBX ,Sangoma FreePBX OS Command Injection Vulnerability,2026-02-03,2026-02-24,Unknown,,Sangoma FreePBX Endpoint Manager contains an OS command injection vulnerability that could allow for a post-authentication command injection by an authenticated known user via the testconnection -> ch,2026-04-27T23:12:22Z
CVE-2019-19006,Sangoma,FreePBX, Sangoma FreePBX Improper Authentication Vulnerability,2026-02-03,2026-02-24,Unknown,,Sangoma FreePBX contains an improper authentication vulnerability that potentially allows unauthorized users to bypass password authentication and access services provided by the FreePBX admin.,2026-04-27T23:12:22Z
CVE-2025-40551,SolarWinds,Web Help Desk,SolarWinds Web Help Desk Deserialization of Untrusted Data Vulnerability,2026-02-03,2026-02-06,Unknown,,"SolarWinds Web Help Desk contains a deserialization of untrusted data vulnerability that could lead to remote code execution, which would allow an attacker to run commands on the host machine. This co",2026-04-27T23:12:22Z
CVE-2026-1281,Ivanti,Endpoint Manager Mobile (EPMM),Ivanti Endpoint Manager Mobile (EPMM) Code Injection Vulnerability,2026-01-29,2026-02-01,Unknown,,Ivanti Endpoint Manager Mobile (EPMM) contains a code injection vulnerability that could allow attackers to achieve unauthenticated remote code execution.,2026-04-27T23:12:22Z
CVE-2026-24858,Fortinet,Multiple Products,Fortinet Multiple Products Authentication Bypass Using an Alternate Path or Channel Vulnerability,2026-01-27,2026-01-30,Unknown,FTNT,"Fortinet FortiAnalyzer, FortiManager, FortiOS, and FortiProxy contain an authentication bypass using an alternate path or channel that could allow an attacker with a FortiCloud account and a registere",2026-04-27T23:12:22Z
CVE-2018-14634,Linux,Kernel,Linux Kernel Integer Overflow Vulnerability,2026-01-26,2026-02-16,Unknown,,Linux Kernel contains an integer overflow vulnerability in the create_elf_tables() function which could allow an unprivileged local user with access to SUID (or otherwise privileged) binary to escalat,2026-04-27T23:12:22Z
CVE-2025-52691,SmarterTools,SmarterMail,SmarterTools SmarterMail Unrestricted Upload of File with Dangerous Type Vulnerability,2026-01-26,2026-02-16,Known,,SmarterTools SmarterMail contains an unrestricted upload of file with dangerous type vulnerability that could allow an unauthenticated attacker to upload arbitrary files to any location on the mail se,2026-04-27T23:12:22Z
CVE-2026-23760,SmarterTools,SmarterMail,SmarterTools SmarterMail Authentication Bypass Using an Alternate Path or Channel Vulnerability,2026-01-26,2026-02-16,Known,,SmarterTools SmarterMail contains an authentication bypass using an alternate path or channel vulnerability in the password reset API. The force-reset-password endpoint permits anonymous requests and ,2026-04-27T23:12:22Z
CVE-2026-24061,GNU,InetUtils,GNU InetUtils Argument Injection Vulnerability,2026-01-26,2026-02-16,Unknown,,"GNU InetUtils contains an argument injection vulnerability in telnetd that could allow for remote authentication bypass via a ""-f root"" value for the USER environment variable.",2026-04-27T23:12:22Z
CVE-2026-21509,Microsoft,Office,Microsoft Office Security Feature Bypass Vulnerability,2026-01-26,2026-02-16,Unknown,MSFT,Microsoft Office contains a security feature bypass vulnerability in which reliance on untrusted inputs in a security decision in Microsoft Office could allow an unauthorized attacker to bypass a secu,2026-04-27T23:12:22Z
CVE-2024-37079,Broadcom,VMware vCenter Server,Broadcom VMware vCenter Server Out-of-bounds Write Vulnerability,2026-01-23,2026-02-13,Unknown,,Broadcom VMware vCenter Server contains an out-of-bounds write vulnerability in the implementation of the DCERPC protocol. This could allow a malicious actor with network access to vCenter Server to s,2026-04-27T23:12:22Z
CVE-2025-68645,Synacor, Zimbra Collaboration Suite (ZCS),Synacor Zimbra Collaboration Suite (ZCS) PHP Remote File Inclusion Vulnerability,2026-01-22,2026-02-12,Unknown,,Synacor Zimbra Collaboration Suite (ZCS) contains a PHP remote file inclusion vulnerability that could allow for remote attackers to craft requests to the /h/rest endpoint to influence internal reques,2026-04-27T23:12:22Z
CVE-2025-34026,Versa,Concerto,Versa Concerto Improper Authentication Vulnerability,2026-01-22,2026-02-12,Unknown,,"Versa Concerto SD-WAN orchestration platform contains an improper authentication vulnerability in the Traefik reverse proxy configuration, allowing at attacker to access administrative endpoints. The ",2026-04-27T23:12:22Z
CVE-2025-31125,Vite,Vitejs,Vite Vitejs Improper Access Control Vulnerability,2026-01-22,2026-02-12,Unknown,,Vite Vitejs contains an improper access control vulnerability that exposes content of non-allowed files using ?inline&import or ?raw?import. Only apps explicitly exposing the Vite dev server to the ne,2026-04-27T23:12:22Z
CVE-2025-54313,Prettier,eslint-config-prettier,Prettier eslint-config-prettier Embedded Malicious Code Vulnerability,2026-01-22,2026-02-12,Unknown,,Prettier eslint-config-prettier contains an embedded malicious code vulnerability. Installing an affected package executes an install.js file that launches the node-gyp.dll malware on Windows.,2026-04-27T23:12:22Z
